"category","count"
"Large accelerated filer","2366"
"Non-accelerated filer<br>Smaller reporting company","1439"
"Non-accelerated filer<br>Smaller reporting company<br>Emerging growth company","648"
"Accelerated filer","573"
"<br>Emerging growth company","473"
"Non-accelerated filer<br>Emerging growth company","406"
"Non-accelerated filer","287"
"Accelerated filer<br>Smaller reporting company","212"
"Accelerated filer<br>Emerging growth company","93"
"Accelerated filer<br>Smaller reporting company<br>Emerging growth company","36"
"Smaller reporting company","25"
"Large Accelerated","3"
"Large Accelerated<br>Well Known Seasoned Issuer","1"
"Large accelerated filer<br>Smaller reporting company","1"
