"fiscalYearEnd","count"
"1231","5419"
"0630","327"
"0331","280"
"0930","248"
"1031","153"
"0131","93"
"1130","76"
"0430","74"
"0531","65"
"0731","64"
"0831","60"
"1228","57"
"0228","52"
"0201","39"
"1229","21"
"0103","19"
"0927","15"
"1227","12"
"0928","11"
"1230","11"
"0329","10"
"1003","7"
"0628","7"
"0202","7"
"0629","5"
"0101","5"
"0525","4"
"0426","4"
"1226","4"
"0330","4"
"0830","4"
"0203","4"
"0102","4"
"1129","3"
"0328","3"
"0503","3"
"1225","3"
"1101","2"
"1026","2"
"0530","2"
"0926","2"
"0125","2"
"0703","2"
"1102","2"
"0626","2"
"1117","2"
"0129","2"
"0627","2"
"0229","2"
"0301","1"
"0803","1"
"1004","1"
"0929","1"
"1105","1"
"0303","1"
"0119","1"
"0126","1"
"1201","1"
"0727","1"
"0828","1"
"0428","1"
"0829","1"
"0625","1"
"1211","1"
"0924","1"
"0726","1"
"1223","1"
"0127","1"
"0801","1"
"0524","1"
"0427","1"
"0420","1"
"0429","1"
"0204","1"
"0222","1"
"1207","1"
"0128","1"
"0802","1"
"0425","1"
"0826","1"
"0120","1"
"0106","1"
"0315","1"
