"stateOfIncorporationDescription","count"
"DE","2918"
"NV","617"
"Cayman Islands","514"
"MD","368"
"British Columbia, Canada","199"
"MA","149"
"FL","109"
"NY","103"
"Israel","93"
"Ontario, Canada","76"
"Virgin Islands, British","75"
"PA","74"
"TX","72"
"OH","61"
"United Kingdom","61"
"CA","57"
"VA","57"
"Bermuda","52"
"WY","50"
"Canada (Federal Level)","49"
"CO","43"
"MN","42"
"Netherlands","41"
"NJ","39"
"Marshall Islands","35"
"IN","33"
"WA","33"
"WI","32"
"Japan","32"
"Ireland","29"
"MI","27"
"Alberta, Canada","27"
"GA","26"
"Australia","25"
"Switzerland","25"
"NC","24"
"UT","24"
"MO","17"
"IL","16"
"Brazil","16"
"France","16"
"United States","14"
"TN","14"
"OR","14"
"OK","12"
"Singapore","12"
"Quebec, Canada","11"
"LA","11"
"China","11"
"CT","10"
"Luxembourg","10"
"Germany","10"
"SC","9"
"Mexico","9"
"Hong Kong","8"
"Jersey","8"
"MS","7"
"IA","7"
"Argentina","7"
"Korea, Republic of","7"
"HI","6"
"Belgium","6"
"AR","5"
"Spain","5"
"Taiwan, Province of China","5"
"RI","4"
"KY","4"
"WV","4"
"PR","4"
"ID","4"
"DC","3"
"AZ","3"
"ME","3"
"Sweden","3"
"NE","3"
"KS","3"
"SD","3"
"Malaysia","3"
"Guernsey","3"
"AL","3"
"Denmark","3"
"NH","2"
"NM","2"
"Netherlands Antilles","2"
"MT","2"
"South Africa","2"
"VT","2"
"Panama","2"
"Mauritius","2"
"Chile","2"
"Turkey","2"
"Colombia","2"
"India","2"
"ND","1"
"Italy","1"
"Finland","1"
"Antigua and Barbuda","1"
"New Brunswick, Canada","1"
"AK","1"
"Newfoundland, Canada","1"
"Anguilla","1"
"British Indian Ocean Territory","1"
"XX","1"
"GU","1"
"Bahamas","1"
"Manitoba, Canada","1"
"Gibraltar","1"
"Isle of Man","1"
"Kazakhstan","1"
"United Arab Emirates","1"
