"fiscalYearEnd","count"
"1231","435969"
"0930","6846"
"0331","6288"
"0630","6229"
"1031","2777"
"1130","1794"
"0831","1678"
"0131","1604"
"0228","1433"
"0531","1281"
"0731","1251"
"0430","1170"
"1214","737"
"1213","661"
"1212","643"
"1228","602"
"1230","562"
"1216","562"
"1200","523"
"1210","477"
"1211","463"
"1209","461"
"1013","346"
"1215","318"
"1227","296"
"0615","294"
"0227","261"
"1219","228"
"1218","223"
"1229","196"
"1221","180"
"0130","160"
"1217","156"
"0102","152"
"1220","144"
"0928","139"
"0101","121"
"0103","116"
"0530","115"
"1205","105"
"1222","101"
"1223","99"
"1224","96"
"1225","79"
"1226","77"
"0201","72"
"1208","67"
"0129","62"
"0627","60"
"0330","54"
"1003","52"
"1207","50"
"0202","48"
"1201","46"
"0927","37"
"0329","37"
"0405","37"
"0128","36"
"0427","36"
"1030","35"
"1206","35"
"0401","35"
"0600","33"
"0925","32"
"0913","30"
"0628","29"
"1204","28"
"0203","27"
"0429","27"
"0614","26"
"0910","26"
"0310","25"
"0900","24"
"1001","24"
"0730","24"
"0422","24"
"0215","24"
"0612","24"
"0626","23"
"0629","23"
"0125","22"
"0300","22"
"0929","22"
"1203","22"
"0611","22"
"0604","22"
"0926","21"
"0301","21"
"0703","20"
"0313","20"
"1026","19"
"0403","19"
"0828","19"
"0122","19"
"0315","19"
"0220","19"
"1022","19"
"0312","19"
"0911","19"
"1102","18"
"0222","18"
"0830","18"
"0326","18"
"1121","18"
"0322","18"
"1021","17"
"0118","17"
"0624","17"
"0802","17"
"0426","16"
"0319","16"
"0415","15"
"0325","15"
"0314","15"
"1020","15"
"0622","15"
"0618","15"
"0625","14"
"0920","14"
"0923","14"
"0223","14"
"0924","14"
"0117","14"
"0124","14"
"0522","14"
"0609","14"
"0328","13"
"0819","13"
"0515","13"
"0421","13"
"0701","13"
"0501","13"
"0919","13"
"0210","13"
"0921","13"
"1120","13"
"0722","13"
"0523","13"
"1028","12"
"0320","12"
"0327","12"
"0822","12"
"0115","12"
"0813","12"
"0121","12"
"0308","12"
"0519","12"
"0621","12"
"1018","12"
"0110","12"
"0127","11"
"0402","11"
"0112","11"
"0901","11"
"0607","11"
"0620","11"
"0912","11"
"0714","11"
"0915","11"
"0820","11"
"0823","11"
"0918","11"
"0323","11"
"0821","11"
"0512","11"
"0814","10"
"1025","10"
"0619","10"
"1103","10"
"0601","10"
"1116","10"
"1019","10"
"0720","10"
"0408","10"
"0413","10"
"0617","10"
"0922","10"
"0321","10"
"0909","10"
"0524","10"
"0417","10"
"0418","10"
"0305","10"
"1117","10"
"0221","10"
"1010","10"
"0529","9"
"0826","9"
"0602","9"
"1101","9"
"1127","9"
"0318","9"
"0229","9"
"0317","9"
"0518","9"
"0721","9"
"0506","9"
"0123","9"
"0113","9"
"0916","9"
"1015","9"
"0815","9"
"0516","9"
"1123","9"
"0219","9"
"0423","9"
"0521","9"
"0511","9"
"0719","9"
"0517","9"
"0120","9"
"0514","9"
"1014","9"
"0712","9"
"0119","9"
"0812","9"
"0702","8"
"0801","8"
"0303","8"
"1027","8"
"1002","8"
"1202","8"
"0218","8"
"0307","8"
"0208","8"
"0214","8"
"0616","8"
"1029","8"
"0428","8"
"0809","8"
"1126","8"
"1112","8"
"0715","8"
"0224","8"
"0613","8"
"1122","8"
"1012","8"
"0811","8"
"0410","8"
"1119","8"
"0800","7"
"1128","7"
"0425","7"
"0104","7"
"0727","7"
"1107","7"
"0324","7"
"0216","7"
"0904","7"
"0713","7"
"0718","7"
"0818","7"
"0716","7"
"0309","7"
"0212","6"
"0606","6"
"0827","6"
"0726","6"
"0907","6"
"1109","6"
"0605","6"
"1129","6"
"0105","6"
"0603","6"
"0225","6"
"0903","6"
"0108","6"
"0723","6"
"0510","6"
"0817","6"
"0412","6"
"0111","6"
"0116","6"
"0914","6"
"0411","6"
"0709","6"
"1006","6"
"0707","6"
"0705","6"
"0404","6"
"0114","6"
"0226","5"
"0400","5"
"0126","5"
"0908","5"
"5555","5"
"0302","5"
"0100","5"
"0508","5"
"0724","5"
"1111","5"
"0213","5"
"1017","5"
"0109","5"
"1114","5"
"0107","5"
"0824","5"
"0420","5"
"0416","5"
"0623","5"
"0311","5"
"1023","5"
"0520","5"
"0316","5"
"0905","5"
"0728","5"
"1016","5"
"1009","5"
"0810","5"
"0610","5"
"0608","5"
"0711","5"
"0414","5"
"1113","5"
"0419","5"
"0816","4"
"0500","4"
"0200","4"
"0306","4"
"0902","4"
"1118","4"
"0706","4"
"0528","4"
"1105","4"
"0804","4"
"0304","4"
"0207","4"
"1124","4"
"0917","4"
"0513","4"
"0409","4"
"1110","4"
"0209","4"
"0204","4"
"1005","4"
"0424","3"
"0503","3"
"0825","3"
"1000","3"
"1115","3"
"1131","3"
"0206","3"
"0725","3"
"1100","3"
"0931","3"
"0829","3"
"1104","3"
"0406","3"
"1008","3"
"0205","3"
"0407","3"
"0717","3"
"0708","3"
"0710","3"
"1011","3"
"0211","3"
"0509","3"
"1007","3"
"0807","3"
"0805","3"
"0631","3"
"0803","2"
"0806","2"
"0700","2"
"0906","2"
"1004","2"
"0527","2"
"0106","2"
"0526","2"
"0525","2"
"1108","2"
"0704","2"
"0217","2"
"0504","2"
"0505","2"
"0000","2"
"0729","1"
"0502","1"
"0507","1"
"522","1"
"1024","1"
"1106","1"
"1286","1"
