"sic","sicDescription","count"
"6189","Asset-Backed Securities","12358"
"0000","unknown","6301"
"6770","Blank Checks","2884"
"7372","Services-Prepackaged Software","1421"
"7389","Services-Business Services, NEC","1319"
"1311","Crude Petroleum & Natural Gas","1252"
"2834","Pharmaceutical Preparations","1219"
"6022","State Commercial Banks","1114"
"6798","Real Estate Investment Trusts","1027"
"6500","Real Estate","995"
"8880","American Depositary Receipts","978"
"6021","National Commercial Banks","954"
"6035","Savings Institution, Federally Chartered","754"
"9995","Non-Operating Establishments","700"
"4813","Telephone Communications (No Radiotelephone)","626"
"4911","Electric Services","624"
"1000","Metal Mining","512"
"6311","Life Insurance","471"
"6321","Accident & Health Insurance","470"
"7011","Hotels & Motels","451"
"7373","Services-Computer Integrated Systems Design","443"
"5812","Retail-Eating  Places","423"
"5990","Retail-Retail Stores, NEC","419"
"3841","Surgical & Medical Instruments & Apparatus","417"
"7374","Services-Computer Processing & Data Preparation","408"
"1040","Gold and Silver Ores","407"
"6199","Finance Services","407"
"3674","Semiconductors & Related Devices","389"
"6331","Fire, Marine & Casualty Insurance","388"
"4832","Radio Broadcasting Stations","360"
"7990","Services-Miscellaneous Amusement & Recreation","357"
"5500","Retail-Auto Dealers & Gasoline Stations","310"
"7371","Services-Computer Programming Services","306"
"4812","Radiotelephone Communications","306"
"7370","Services-Computer Programming, Data Processing, Etc.","290"
"7359","Services-Equipment Rental & Leasing, NEC","282"
"4841","Cable & Other Pay Television Services","279"
"3714","Motor Vehicle Parts & Accessories","279"
"2836","Biological Products, (No Diagnostic Substances)","279"
"1381","Drilling Oil & Gas Wells","274"
"8742","Services-Management Consulting Services","260"
"6221","Commodity Contracts Brokers & Dealers","245"
"4899","Communications Services, NEC","244"
"6036","Savings Institutions, Not Federally Chartered","240"
"8051","Services-Skilled Nursing Care Facilities","236"
"6162","Mortgage Bankers & Loan Correspondents","231"
"7900","Services-Amusement & Recreation Services","230"
"3663","Radio & Tv Broadcasting & Communications Equipment","229"
"2860","Industrial Organic Chemicals","225"
"5961","Retail-Catalog & Mail-Order Houses","223"
"7812","Services-Motion Picture & Video Tape Production","221"
"3845","Electromedical & Electrotherapeutic Apparatus","220"
"6211","Security Brokers, Dealers & Flotation Companies","211"
"1382","Oil & Gas Field Exploration Services","208"
"3661","Telephone & Telegraph Apparatus","199"
"1400","Mining & Quarrying of  Nonmetallic Minerals (No Fuels)","197"
"6512","Opeators of  Nonresidential Buildings","189"
"8090","Services-Misc Health & Allied Services, NEC","178"
