"zip_code","count"
"98104","21639"
"10022","13499"
"60187","10939"
"84117","8828"
"10017","8327"
"10019","7447"
"60606","6784"
"60532","4720"
"10036","4687"
"94111","4423"
"60181","3747"
"06830","3479"
"94025","3422"
"75201","3421"
"02110","2960"
"02116","2805"
"19703","2730"
"80202","2547"
"77002","2486"
"90067","2363"
"80132","2318"
"10004","2301"
"94104","2183"
"10001","2159"
"10010","2094"
"10154","1926"
"92660","1923"
"94105","1896"
"10271","1844"
"10005","1795"
"94301","1785"
"10016","1771"
"76102","1739"
"90025","1693"
"02109","1692"
"10003","1582"
"33131","1556"
"19801","1552"
"10013","1545"
"60611","1538"
"06901","1530"
"10018","1497"
"75219","1392"
"94107","1375"
"10080","1338"
"78701","1337"
"92121","1305"
"10105","1281"
"60515","1272"
"80111","1254"
"75240","1251"
"19103","1250"
"60654","1222"
"60601","1218"
"33301","1207"
"77056","1197"
"07054","1181"
"10165","1172"
"19901","1172"
"10020","1161"
"06902","1158"
"77027","1131"
"30326","1103"
"02210","1101"
"92612","1067"
"75225","1064"
"90071","1051"
"30305","1036"
"91302","1033"
"78746","1028"
"98101","1014"
"19087","1012"
"90401","990"
"10282-2198","989"
"92618","982"
"02111","981"
"10011","975"
"10012","963"
"94129","951"
"92037","944"
"10167","928"
"06880","901"
"55402","895"
"10281","890"
"90212","889"
"94103","871"
"02451","850"
"33401","849"
"08540","841"
"80206","825"
"77024","825"
"76092","824"
"78758","821"
"20814","817"
"60603","810"
"90245","809"
"40223","808"
"19808","804"
"45202","801"
"05401","797"
"37067","792"
"10152","783"
"92614","771"
"37203","769"
"75001","761"
"94108","758"
"91101","755"
"37027","755"
"19428","754"
"20004","753"
"02199","746"
"37215","745"
"28211","744"
"10007","730"
"98004","718"
"92130","718"
"30339","695"
"03101","691"
"53202","688"
"80302","687"
"43215","674"
"22102","674"
"28202","667"
"21202","663"
"10111","661"
"80112","661"
"50392","655"
"10014","651"
"21030","649"
"02142","643"
"75024","643"
"85260","639"
"07701","637"
"02108","635"
"75204","633"
"78731","629"
"23510","628"
"55437","627"
"90210","623"
"44114","617"
"21044","617"
"85251","617"
"77057","616"
"60523","614"
"10577","614"
"10065","611"
"85016","608"
"95054","603"
"10006","602"
"33431","592"
"90024","592"
"19406","587"
"63105","584"
"60604","582"
"10048","581"
"84121","579"
"75039","574"
"19958","569"
"10179","567"
"30328","566"
"94133","565"
"75206","560"
"60062","556"
"94306","556"
"10153","555"
"89109","554"
"20036","546"
"35242","546"
"94043","543"
"30309","539"
"60661","536"
"85054","535"
"82801","529"
"33139","526"
"77046","519"
"10023","516"
"92101","515"
"80301","509"
"89119","506"
"94303","502"
"33172","501"
"15222","498"
"75205","497"
"10292","492"
"33134","491"
"21231","490"
"60602","486"
"33487","483"
"44122","480"
"10166","478"
"23219","473"
"94010","472"
"20006","471"
"10038","470"
"91367","469"
"19709","468"
"33432","463"
"32801","463"
"10021","462"
"19004","459"
"75063","458"
"10171","454"
"02139","453"
"94404","450"
"77380","449"
"90404","449"
"19890","447"
"60015","444"
"46032","441"
"10282","438"
"40202","435"
"33607","433"
"94110","429"
"80237","422"
"02458","421"
"94402","419"
"97204","417"
"75248","416"
"10285","415"
"019901","412"
"90049","409"
"19034","406"
"48009","406"
"85258","404"
"75254","404"
"77042","403"
"94941","403"
"90069","403"
"35203","397"
"02138","397"
"10104","396"
"93101","392"
"94612","392"
"46204","391"
"90017","391"
"55416","391"
"33133","391"
"20190","387"
"07102","385"
"17055","384"
"48304","384"
"33180","383"
"98109","379"
"06831","378"
"10286","377"
"11201","375"
"02903","374"
"92122","374"
"20817","373"
"95014","372"
"60610","371"
"92705","368"
"44124","367"
"94063","367"
"75234","366"
"10151","365"
"22209","363"
"60607","361"
"75034","359"
"84101","358"
"33126","357"
"66211","357"
"33602","356"
"20815","356"
"94022","356"
"94304","354"
"90405","354"
"01803","352"
"04101","348"
"06820","345"
"80203","344"
"94114","343"
"94123","341"
"33179","341"
"75231","340"
"60045","339"
"92008","338"
"29601","338"
"60201","338"
"78759","337"
"60605","337"
"10106","337"
"19904","335"
"23060","334"
"02481","332"
"85255","332"
"98121","330"
"33480","326"
"75062","326"
"30308","325"
"06897","325"
"89135","325"
"22182","323"
"10580","322"
"11747","322"
"98005","322"
"98033","321"
"78704","319"
"28255","318"
"84604","318"
"94538","317"
"10055","317"
"85254","317"
"46240","315"
"11021","314"
"33609","311"
"21703","311"
"76107","309"
"08543","308"
"19713","307"
"75093","306"
"30327","306"
"10174","306"
"19104","305"
"20850","304"
"92656","304"
"33160","303"
"19807","302"
"19809","302"
"94085","302"
"55344","301"
"92626","300"
"98006","299"
"79701","298"
"95131","298"
"32789","297"
"63141","297"
"10169","294"
"00000","294"
"20007","293"
"78703","293"
"89501","290"
"92127","289"
"60563","288"
"63101","288"
"27517","288"
"84111","285"
"33410","285"
"78258","285"
"07901","285"
"84401","284"
"94102","283"
"90266","283"
"01801","282"
"84043","281"
"55305","280"
"80401","279"
"22314","279"
"21117","279"
"07960","278"
"11598","277"
"97209","276"
"74136","275"
"94596","275"
"21093","274"
"19312","274"
"19422","274"
"94608","273"
"06103","272"
"95134","272"
"49503","272"
"35209","271"
"75244","271"
"80021","270"
"45242","268"
"11753","268"
"98114","268"
"77010","267"
"48302","266"
"72201","266"
"94041","264"
"19462","263"
"77019","262"
"72701","262"
"82001","259"
"98103","259"
"94109","258"
"50266","257"
"08536","255"
"28203","255"
"10172","254"
"84020","254"
"78705","254"
"85018","253"
"10281-1310","253"
"94089","252"
"98102","252"
"94403","252"
"29401","251"
"55343","250"
"19044","250"
"96813","249"
"06840","247"
"20005","247"
"94080","246"
"75080","246"
"83702","244"
"19348","244"
"37205","243"
"10170","243"
"98052","243"
"22902","243"
"83642","243"
"28277","242"
"90064","242"
"90291","242"
"10281-1023","242"
"78738","241"
"11530","241"
"95008","241"
"23230","240"
"94115","239"
"77098","239"
"30342","239"
"76011","239"
"92075","239"
"53703","238"
"11788","237"
"85004","236"
"07645","236"
"90292","236"
"83706","236"
"94065","235"
"92868","234"
"06905","234"
"77060","234"
"94583","234"
"95035","233"
"95113","233"
"42101","232"
"64112","231"
"33130","231"
"07024","230"
"10573","230"
"70005","230"
"07078","229"
"10110","229"
"07302","228"
"77079","228"
"75038","227"
"32256","227"
"85253","226"
"75252","226"
"27615","226"
"43604","225"
"06870","224"
"41011","224"
"94939","223"
"94401","222"
"94086","221"
"97035","221"
"40202-2412","221"
"30092","220"
"80027","220"
"21209","219"
"80222","219"
"48104","218"
"63017","218"
"33021","218"
"10604","217"
"15219","217"
"94070","217"
"29403","217"
"90010","216"
"27609","216"
"60061","215"
"92024","215"
"20852","214"
"38103","213"
"94526","212"
"48226","210"
"10024","210"
"90046","209"
"92009","208"
"94040","208"
"89521","208"
"08542","208"
"33309","207"
"55401","206"
"14221","206"
"57104","205"
"27701","205"
"94965","205"
"02421","204"
"92610","203"
"10002","203"
"68154","201"
"11797","201"
"60035","201"
"73118","201"
"89102","200"
"11556","200"
"30022","200"
"21401","199"
"33701","199"
"34134","199"
"75243","199"
"10022-3205","199"
"34236","199"
"60631","199"
"78249","198"
"94062","198"
"55391","197"
"06824","197"
"19107","196"
"90045","196"
"90028","195"
"76051","195"
"67206-2241","195"
"98122","195"
"06854","194"
"98027","194"
"23226","192"
"92108","192"
"10103","192"
"22201","192"
"84097","192"
"35243","191"
"37421","191"
"89117","190"
"89502","190"
"85281","190"
"84070","190"
"28209","189"
"94588","188"
"30004","188"
"48084","187"
"33716","187"
"90048","187"
"91326","187"
"21201","186"
"91362","186"
"19355","186"
"33137","186"
"91436","186"
"10601","185"
"94539","184"
"75075","184"
"01581","183"
"60018","183"
"89169","182"
"35223","182"
"90403","182"
"60614","182"
"30303","181"
"60093","181"
"91361","181"
"02453","181"
"91403","180"
"92707","179"
"11101","178"
"02114","178"
"10155","178"
"77479","178"
"22066","178"
"43219","177"
"07632","177"
"30097","177"
"92630","176"
"95110","176"
"92606","176"
"76034","176"
"73102","175"
"30076","175"
"89103","175"
"70808","175"
"45236","175"
"78702","175"
"11042","174"
"10528","174"
"94117","174"
"94920","174"
"91789","174"
"97224","173"
"90211","173"
"10112","173"
"20037","173"
"01810","172"
"80209","172"
"83001","172"
"10128","172"
"37402","171"
"33442","170"
"08016","170"
"10028","170"
"10178","170"
"91505","170"
"30318","169"
"75251","169"
"66210","169"
"75074","169"
"19073","169"
"19056","169"
"50309","168"
"90503","168"
"63131","168"
"20854","168"
"94607","167"
"80116","167"
"43017","166"
"20171","166"
"17011","166"
"92123","165"
"78730","165"
"01742","165"
"01915","165"
"85250","165"
"77478","164"
"66205","164"
"89118","164"
"97201","164"
"10549","164"
"33146","164"
"89052","163"
"92653","163"
"80205","163"
"03801","162"
"08830","162"
"19803","162"
"67206","162"
"44131","161"
"90036","161"
"07030","161"
"33154","161"
"07601","160"
"02115","160"
"72919","160"
"95826","160"
"92014","159"
"74103","159"
"94901","159"
"30319","158"
"99201","158"
"33408","158"
"90066","158"
"02141","158"
"76109","157"
"77043","157"
"97205","157"
"10158","157"
"10119","157"
"95032","157"
"84095","156"
"78205","156"
"30338","156"
"91106","156"
"98134","156"
"95051","156"
"07039","156"
"75202","155"
"02459","155"
"53203","155"
"15317","155"
"77007","155"
"94710","155"
"92629","154"
"80903","154"
"01752","153"
"06890","153"
"48034","152"
"32250","151"
"48302-0954","150"
"01730","150"
"92691","150"
"32746","150"
"87501","150"
"02140","149"
"24209","149"
"95070","149"
"94563","149"
"53562","149"
"76262","149"
"11211","149"
"97302","149"
"84108","148"
"80246","148"
"93108","148"
"84003","148"
"55435","147"
"75019","147"
"55101","147"
"75078","147"
"37919","147"
"75247","146"
"79424","146"
"94549","146"
"78209","146"
"30071","146"
"98112","146"
"33486","145"
"60521","145"
"33308","145"
"60173","145"
"90232","145"
"98119","145"
"27713","145"
"78732","145"
"27408","144"
"48326","144"
"94558","144"
"22101","144"
"33143","144"
"48126","143"
"30005","143"
"33606","143"
"27612","142"
"06877","142"
"02494","142"
"60647","142"
"32081","142"
"30067","141"
"20191","141"
"72212","141"
"06853","141"
"64105","140"
"01880","140"
"44113","140"
"60657","140"
"06089","140"
"10043","139"
"33166","139"
"75010","139"
"77077","139"
"64111","138"
"90272","138"
"70121","138"
"14203","137"
"89014","137"
"89121","137"
"94704","137"
"11249","137"
"84098","137"
"20002","137"
"97702","137"
"55474","136"
"20878","136"
"48108","136"
"14534","136"
"92651","136"
"38119","135"
"33140","135"
"84047","135"
"91311","134"
"68102","134"
"67202","134"
"33418","134"
"77082","134"
"92067","134"
"92663","133"
"78735","133"
"91604","133"
"11217","133"
"81611","133"
"10177","132"
"27560","132"
"89451","132"
"89134","132"
"38120","131"
"01773","131"
"19010","131"
"29464","131"
"27101","130"
"27514","130"
"37214","130"
"90274","130"
"95112","129"
"80120","129"
"32751","129"
"84106","128"
"20001","127"
"01701","127"
"19102","127"
"07631","127"
"60010","127"
"64106","126"
"20166","126"
"89128","126"
"98040","126"
"80921","126"
"32082","125"
"92677","125"
"80112-3924","125"
"89511","125"
"89074","125"
"73116","125"
"30009","125"
"94118","125"
"10583","124"
"28105","124"
"37212","124"
"49546","123"
"27513","123"
"93012","123"
"94611","123"
"27401","123"
"48103","123"
"07932","122"
"20170","122"
"48170","122"
"80204","122"
"92673","122"
"92780","121"
"75035","121"
"80304","121"
"00918","120"
"44115","120"
"32819","120"
"90501","120"
"92675","120"
"10538","120"
"92128","119"
"20817-1109","119"
"93117","118"
