cik,original_name,new_name,date
0000001961,WORLDS COM INC,"Worlds.com, Inc.",2008-05-21
0000926844,E-NET COM CORP,E-NET FINANCIAL COM CORP,2000-05-05
0001087329,COSTPLUSFIVE COM,COMPUTERXPRESS COM INC,2000-09-21
0001096759,E VEGAS COM INC,1ST GENX COM INC,2000-11-13
0001108524,SALESFORCE COM INC,"SALESFORCE.COM, INC.",2019-06-14
0001110646,NETEASE COM INC,"NETEASE.COM, INC.",2004-07-28
0001130713,OVERSTOCK COM INC,"OVERSTOCK.COM, INC",2006-02-07
0001134982,PREVENTION INSURANCE COM,PREVENTION INSURANCE COM INC,2008-01-11
0001269238,CTRIP COM INTERNATIONAL LTD,Trip.com Group Ltd,2019-10-25
0001286139,LEGALZOOM COM INC,"LEGALZOOM.COM, INC.",2021-06-04
0001517496,500wan.com Ltd,500.com Ltd,2013-10-22
0001792627,Takeaway.com N.V./FI,Just Eat Takeaway.com N.V.,2020-01-30
