cik,original_name,new_name,date
0000001961,"Worlds.com, Inc.",WORLDS INC,2011-11-14
0000050471,AMERINET GROUP COM INC,FIELDS TECHNOLOGIES INC,2001-07-06
0000736012,INTRUSION COM INC,INTRUSION INC,2001-03-21
0000319016,GOLF ROUNDS COM INC,"Fuse Medical, Inc.",2014-05-30
0000778164,DRIVERSSHIELD COM CORP,ACCESSITY CORP,2003-07-07
0000846475,IBONZAI COM INC,CHINA GLOBAL DEVELOPMENT INC,2002-01-31
0000846377,"5 FIFTY 5.COM, INC.","SWAP-A-DEBT, INC.",2008-10-02
0000862651,"TheRetirementSolution.com, Inc.","Voxpath Holdings, Inc.",2006-06-28
0000912544,HOLLYWOOD COM INC,NovelStem International Corp,2022-08-02
0000918573,XDOGS COM INC,"Avalon Oil & Gas, Inc.",2005-08-22
0000925741,CLICKNSETTLE COM INC,"Cardo Medical, Inc.",2008-10-29
0000926326,OMNICELL COM /CA/,OMNICELL INC /CA/,2001-08-17
0000934796,MEGACHAIN COM LTD,ACOLA CORP,2001-11-19
0000930420,KFORCE COM INC,KFORCE  INC,2002-02-14
0000926844,E-NET FINANCIAL COM CORP,ANZA CAPITAL INC,2002-06-13
0001120970,STARTCALL COM INC,GOLDSPRING,2003-09-23
0001099234,SYCONET COM INC,POINT GROUP HOLDINGS INCORP,2003-03-18
0001096275,TMANGLOBAL COM INC,"Franchise Holdings International, Inc.",2009-08-05
0001096759,1ST GENX COM INC,1ST GENX INC,2001-05-11
0001095435,DEALCHECK COM INC,BONTAN CORP INC,2003-04-30
0001094038,EDUVERSE COM,GENEMAX CORP,2002-07-18
0001088034,BILLSERV COM INC,BILLSERV INC,2001-12-21
0001087329,COMPUTERXPRESS COM INC,AURORA PRECIOUS METALS  INC,2003-06-02
0001086745,WOWTOWN COM INC,PHOENIX STAR VENTURES INC,2001-11-06
0001084048,JFAX COM INC,J2 GLOBAL COMMUNICATIONS INC,2000-12-29
0001083743,BUCKTV COM INC,MULTI TECH INTERNATIONAL CORP,2002-12-05
0001076262,2U ONLINE COM INC,GOLDEN SPIRIT MINERALS LTD,2003-11-14
0001075531,PRICELINE COM INC,Priceline Group Inc.,2014-04-01
0001065280,NETFLIX COM INC,NETFLIX INC,2002-03-06
0001061612,LAS VEGAS FROM HOME COM ENTERTAINMENT INC,Jackpot Digital Inc.,2011-06-21
0001043150,ELINE MUSIC COM INC,ELINE ENTERTAINMENT GROUP INC,2001-06-19
0001101433,QUOTEMEDIA COM INC,QUOTEMEDIA  INC,2003-08-12
0001108524,"SALESFORCE.COM, INC.","Salesforce, Inc.",2022-03-31
0001110646,"NETEASE.COM, INC.","NetEase, Inc.",2012-03-22
0001121795,GENERAL TELEPHONY COM INC,I A EUROPE GROUP INC,2002-12-13
0001122020,PCS EDVENTURES COM INC,"PCS Edventures!, Inc.",2017-07-18
0001130713,"OVERSTOCK.COM, INC","BEYOND, INC.",2023-11-03
0001134982,PREVENTION INSURANCE COM INC,"Apple iSports Group, Inc.",2023-08-14
0001157075,EFOODSAFETY COM INC,"NUVILEX, INC.",2009-03-26
0001493594,"M/A-COM Technology Solutions Holdings, Inc.","MACOM Technology Solutions Holdings, Inc.",2016-05-27
0001462223,"Recruiter.com Group, Inc.","Nixxy, Inc.",2024-10-01
0001434621,"Tree.com, Inc.","LendingTree, Inc.",2014-12-31
0001228627,CORPORATE ROAD SHOW DOT COM INC,"REXAHN PHARMACEUTICALS, INC.",2005-05-16
0001309251,"eSavingsStore.com, Inc.","IMMUREBOOST, INC.",2007-07-12
0001318482,BINGO.COM LTD.,SHOAL GAMES LTD.,2015-02-02
0001327318,Zag com Inc,"TrueCar, Inc.",2010-06-15
0001329099,"Baidu.com, Inc.","Baidu, Inc.",2008-12-12
0001373715,SERVICE-NOW.COM,"ServiceNow, Inc.",2012-05-01
0001514416,"Bandwidth.com, Inc.",Bandwidth Inc.,2017-10-10
0001517496,500.com Ltd,BIT Mining Ltd,2021-04-05
0001532595,HAPYKIDZ.COM,SYMBID CORP.,2013-10-17
0001584480,UpperSolution.com,"Startech Labs, Inc.",2019-06-26
0001786352,"Bill.com Holdings, Inc.","BILL Holdings, Inc.",2023-03-02
