cik,original_name,new_name,date
0000001961,ACADEMIC COMPUTER SYSTEMS INC,WORLDS COM INC,2000-06-12
0000050471,EQUITY GROWTH SYSTEMS INC /DE/,AMERINET GROUP COM INC,1999-10-08
0000736012,ODS NETWORKS INC,INTRUSION COM INC,2000-09-29
0000315958,NEW GENERATION FOODS INC,CREDITRISKMONITOR COM INC,1999-04-02
0000319016,AMERICAN METALS SERVICE INC,GOLF ROUNDS COM INC,1999-11-29
0000778164,FIRST PRIORITY GROUP INC,DRIVERSSHIELD COM CORP,2000-11-16
0000846475,LIFE MEDICAL TECHNOLOGIES INC /UT/,IBONZAI COM INC,2000-11-14
0000846377,WINDSOR CAPITAL CORP,"5 FIFTY 5.COM, INC.",2006-03-14
0000862651,UINTAH MOUNTAIN COPPER COMPANY,"TheRetirementSolution.com, Inc.",2005-06-09
0000912544,HOLLYWOOD MEDIA CORP,HOLLYWOOD COM INC,2000-05-15
0000918573,SLED DOGS CO,XDOGS COM INC,2000-12-29
0000925741,NAM CORP,CLICKNSETTLE COM INC,2000-11-07
0000930420,ROMAC INTERNATIONAL INC,KFORCE COM INC,2000-08-09
0000926844,E NET FINANCIAL CORP,E-NET COM CORP,2000-03-15
0001086745,PARAMOUNT SERVICES CORP,WOWTOWN COM INC,2000-07-31
0001083743,OLERAMMA INC,BUCKTV COM INC,2000-08-14
0001076262,POWER DIRECT INC,2U ONLINE COM INC,2000-03-30
0001043150,RAPID RETRIEVAL SYSTEMS INC,ELINE MUSIC COM INC,2001-03-16
0001673481,Trident Acquisitions Corp.,Lottery.com Inc.,2021-10-28
0001462223,"TRULI TECHNOLOGIES, INC.","Recruiter.com Group, Inc.",2019-05-14
0001228627,FERRARO FRANK,CORPORATE ROAD SHOW DOT COM INC,2003-04-30
0001309251,Celtic Cross Ltd.,"eSavingsStore.com, Inc.",2005-07-06
0001378950,"U.S. Auto Parts Network, Inc.","CarParts.com, Inc.",2020-08-05
0001576789,Wixpress Ltd.,Wix.com Ltd.,2013-07-15
0001788841,"Helbiz, Inc.",micromobility.com Inc.,2023-03-28
