date,count
1994-01-21,1
1994-02-08,1
1994-02-10,1
1994-02-14,2
1994-02-17,1
1994-02-25,1
1994-03-29,1
1994-05-13,1
1994-05-16,1
1994-06-17,2
1994-08-16,1
1994-08-17,1
1994-09-13,1
1994-09-23,1
1994-10-07,1
1994-10-26,1
1994-11-07,1
1994-11-16,1
1994-12-16,1
1994-12-22,1
1995-01-27,1
1995-02-07,1
1995-02-08,1
1995-02-09,2
1995-02-13,1
1995-02-14,2
1995-02-15,1
1995-02-16,1
1995-03-03,1
1995-03-08,1
1995-03-09,1
1995-03-14,1
1995-03-27,1
1995-04-12,1
1995-04-21,1
1995-05-03,1
1995-05-15,1
1995-05-26,1
1995-06-01,1
1995-07-24,1
1995-08-11,1
1995-08-23,1
1995-08-28,1
1995-09-01,2
1995-09-26,1
1995-10-25,2
1995-11-01,1
1995-11-13,1
1995-11-20,1
1995-12-04,1
1995-12-07,1
1995-12-08,1
1995-12-20,1
1995-12-22,1
1996-01-12,1
1996-01-23,1
1996-01-30,1
1996-02-07,1
1996-02-13,1
1996-02-14,1
1996-02-27,1
1996-02-29,1
1996-03-21,1
1996-04-01,1
1996-05-09,1
1996-06-06,1
1996-06-13,1
1996-06-28,4
1996-07-10,1
1996-07-17,1
1996-07-22,1
1996-07-23,1
1996-07-25,1
1996-08-05,2
1996-08-09,1
1996-08-14,3
1996-08-20,1
1996-09-09,1
1996-09-16,1
1996-10-10,1
1996-10-11,1
1996-10-17,1
1996-10-18,1
1996-10-25,1
1996-10-28,1
1996-10-29,1
1996-11-01,1
1996-11-05,1
1996-11-06,1
1996-11-07,1
1996-11-12,1
1996-11-14,4
1996-11-19,1
1996-11-27,3
1996-12-04,1
1996-12-06,1
1996-12-10,1
1996-12-13,1
1996-12-20,1
1996-12-30,2
1996-12-31,1
1997-01-28,1
1997-02-07,1
1997-02-11,2
1997-02-12,1
1997-02-14,1
1997-03-03,1
1997-03-17,1
1997-03-19,1
1997-03-24,1
1997-03-28,1
1997-03-31,1
1997-04-10,1
1997-04-17,1
1997-04-24,1
1997-05-09,1
1997-05-14,2
1997-05-15,4
1997-05-23,1
1997-05-30,1
1997-06-06,1
1997-06-19,1
1997-06-23,1
1997-06-30,2
1997-07-11,1
1997-07-21,1
1997-07-23,1
1997-07-28,2
1997-08-05,1
1997-08-26,1
1997-08-29,1
1997-09-10,2
1997-09-15,1
1997-09-26,1
1997-09-30,1
1997-10-01,1
1997-10-20,2
1997-10-22,1
1997-10-28,1
1997-11-07,3
1997-11-13,1
1997-11-14,2
1997-11-17,2
1997-11-25,1
1997-11-28,1
1997-12-01,1
1997-12-05,1
1997-12-10,1
1997-12-16,1
1997-12-18,1
1997-12-19,1
1997-12-23,2
1997-12-31,1
1998-01-02,1
1998-01-07,1
1998-01-12,1
1998-01-13,1
1998-01-16,1
1998-02-05,1
1998-02-06,1
1998-02-10,2
1998-02-11,1
1998-02-12,1
1998-02-13,1
1998-02-17,1
1998-02-18,1
1998-02-24,1
1998-02-26,1
1998-03-10,1
1998-03-27,1
1998-03-30,1
1998-03-31,1
1998-04-09,2
1998-04-10,1
1998-04-15,1
1998-04-16,1
1998-04-22,1
1998-05-08,1
1998-05-12,1
1998-05-13,1
1998-05-15,1
1998-05-18,1
1998-05-19,1
1998-05-27,1
1998-06-02,1
1998-06-03,2
1998-06-04,1
1998-06-24,2
1998-06-29,1
1998-07-07,2
1998-07-09,1
1998-07-10,1
1998-07-16,1
1998-07-21,1
1998-07-23,1
1998-08-03,1
1998-08-06,1
1998-08-12,2
1998-08-13,3
1998-08-14,4
1998-08-18,1
1998-08-25,1
1998-08-27,1
1998-08-31,1
1998-09-01,1
1998-09-14,1
1998-09-18,1
1998-09-25,2
1998-09-29,1
1998-10-06,1
1998-10-14,1
1998-10-15,1
1998-10-19,1
1998-10-27,1
1998-10-30,1
1998-11-02,1
1998-11-03,1
1998-11-04,1
1998-11-06,2
1998-11-10,1
1998-11-12,1
1998-11-13,2
1998-11-17,1
1998-11-19,1
