cik,original_name,new_name,date
0000095047,CYTATION COM INC,COLLEGELINK COM INCORP,1999-11-26
0000312651,DOCSALES COM INC,DOCPLANET COM INC,1999-09-27
0000769592,BUYIT COM INC,CRAFTCLICK COM INC,2000-02-24
0000789667,BINGOGOLD COM INC,GAMEWEAVER COM INC,2001-11-14
0000790948,VIRTUALSELLER COM INC,VIRTUALSELLERS COM INC,2000-05-15
0000815017,PACIFIC NET COM INC,PACIFICNET COM INC,2000-10-17
0000827082,SMARTSOURCE COM INC,SMARTSOURCES COM INC,1999-12-29
0000823190,MY WEB INC COM,MYWEB INC COM,1999-06-29
0000934880,TAKEOUTMUSIC COM HOLDINGS CORP,TAKEOUT MUSIC COM,2000-03-31
0000833203,POCKETPORT COM,PACKETPORT COM,2001-09-14
0000865753,BURST COM,BURST COM INC,2001-05-21
0000896726,SUITE101 COM INC,SUITE 101 COM INC,1999-05-03
0000921878,NUTRICEUTICALS COM CORP,DRUGMAX COM INC,2000-05-03
0000935493,P-COM INC,P COM INC,1998-02-04
0000932127,EBONLINEINC COM,MONEYZONE COM,2000-02-22
0000945532,USABANC COM INC,USABANCSHARES COM INC,1999-08-11
0000948545,TEL SAVE COM INC,TALK COM,1999-08-13
0001010466,PRUDENTIAL SEC SECURED FIN CORP COM MORT PA THR CE SE 1995 M,PRUDENTIAL SEC SECURED FIN COR COM MOR PA TH CE S 1995 MCF-2,1996-03-12
0001099729,HOMETECCH COM INC,HOMETEACH COM INC,2000-07-07
0001099330,VDO COM INC,VDO COM INC /FL,2000-08-18
0001098344,649 COM,649 COM INC,2000-04-18
0001096944,ENERGYNET COM INC                                       /BD,ENERGYNET.COM. INC.,2003-02-28
0001096944,ENERGYNET.COM. INC.,"ENERGYNET.COM, LLC.",2018-02-21
0001097618,2 NFINITY COM INC,2 INFINITY COM INC,2000-06-01
0001097068,E BIDD COM INC,XRAYMEDIA COM INC,2000-05-11
0001094806,NETBANX COM CORP,NETJ COM CORP,2000-03-07
0001094808,FINDWHAT COM,FINDWHAT COM INC,2000-08-14
0001093986,PAYFORVIEW COM CORP/,PAYFORVIEW COM CORP /NV/,2000-10-04
0001094365,EHEALTH COM INC,INTERNETSTUDIOS COM INC,1999-11-12
0001093192,BIGHUB COM INC,BIG HUB COM INC,1999-11-10
0001092325,RESOURCEPHOENIX COM INC,RESOURCEPHOENIX COM,1999-08-05
0001092455,GO THINK COM,GOTHINK COM INC,2000-03-01
0001091563,SPEEDLANE COM INC,SPEELANE COM INC,2000-06-02
0001091212,"ASIACONTENT.COM, INC",ASIACONTENT COM LTD,2001-02-13
0001089095,STOCKJUNGLE COM,STOCKJUNGLE COM TRUST,2000-09-25
0001088024,WEBSTAKES COM INC,PROMOTIONS COM INC,1999-09-21
0001088211,NEWSGURU COM INC,NEWSGURUS COM INC,2000-08-14
0001086082,ATOMIC GIANT COM INC,DATIGEN COM INC,2000-08-10
0001085791,CORPFIN COM INC                                        /BD,"CORP-FIN.COM, INC.",2003-02-28
0001082923,STAMPS COM INC,STAMPS.COM INC,2004-05-10
0001082121,ANGELAUDIO COM INC /DE/,WHATSUPMUSIC COM INC,2001-07-17
0001079996,QUOTESMITH COM INC,"INSURE.COM, INC",2007-01-08
0001077634,FOREIGNTV COM INC,MEDIUM4 COM INC,2000-07-20
0001076682,CDBEAT COM INC,SPINROCKET COM INC,2000-12-11
0001075314,MININGCO COM INC,ABOUT COM INC,1999-10-05
0001073362,EL GRANDE COM INC,ELGRANDE COM INC,1999-09-09
0001073794,DRKOOP COM INC,DRKOOP COM,1999-07-07
0001066821,CLASSIFIED ONLINE COM,X RAMP COM INC,2000-06-19
0001065013,EMUSIC COM INC,"eMusic.com, Inc.",2001-04-10
0001060239,800 AMERICA COM INC,800AMERICA COM INC,2001-05-03
0001030529,MYDISCOUNTBROKER COM                                   /BD,MYDISCOUNTBROKER.COM,2002-02-19
0001041457,EURO909 COM,EURO909 COM AS,2001-02-13
0001041377,GS MORTGAGE SECS CORP II COM MORT PAS THR CERT SRS 1997-GL 1,GS MORTGAGE SECS CORP II COM MORT PAS THR CER SRS 1998 GL 11,1998-04-29
0001034554,ASSET SECURITIZATION CORP COM MOR PASS THR CER SER 1997 MD,ASSET SECURITIZATION CORP COM MOR PAS THR CER SER 1997 MDV11,1997-03-24
0001034073,FINE COM CORP,FINE COM INTERNATIONAL CORP /WA/,1998-04-13
0001079406,BIZNESS ONLINE COM,BIZNESSONLINE COM INC/DE,2002-05-09
0001101865,NMXS COM INC,NMXS COM  INC,2002-04-15
0001102917,MORGAN STANLEY SEL EQ TR COM EDGE BEST IDEAS PORT SER 2000-1,MORGAN STANLEY DEAN WIT SEL EQ TR COM ED BE ID PO SER 2000-1,2000-01-31
0001103310,INTERCARE COM INC,INTERCARE COM DX INC,2001-11-15
0001105326,PAYFORVIEW COM CORP /NV/OLD,PAYFORVIEW COM CORP,2000-02-24
0001105360,SALARY COM INC,"SALARY.COM, INC",2006-11-13
0001105360,"SALARY.COM, INC","SALARY. COM, INC.",2006-11-13
0001106476,TOUCHTRADE COM INC                                      /BD,"TOUCHTRADE.COM, INC.",2002-03-04
0001107774,SUPPLIERMARKET COM INC/DE,SUPPLIERMARKET COM INC /DE,2000-03-02
0001108150,QUES-TEC COM INC,QUESTEC COM INC,2000-03-02
0001108482,DEALTIME COM LTD,SHOPPING COM LTD,2001-10-09
0001109248,INTELATRADE COM                                         /BD,INTELATRADE.COM,2007-03-01
0001110341,MORGAN STANLEY DEAN WITTER SE EQ T COM ED BE ID PO SE 2000-2,MORGAN STANLEY SELECT EQUITY TRUST COM ED BE ID PO SE 2000-2,2000-04-14
0001111744,LEARNINGEXPRESS COM HOLDINGS LLC,LEARNINGEXPRESS COM HOLDINGS INC,2000-05-11
0001112682,ETELCHARGE COM INC,eTELCHARGE.COM,2008-06-17
0001113011,NEWPORTX COM                                            /BD,NEWPORTX.COM,2002-10-21
0001113150,GFN COM SECURITIES INC                                  /BD,"GFN.COM SECURITIES, INC.",2003-03-19
0001113222,ACCOUNT 4 COM INC,ACCOUNT4 COM INC,2000-05-02
0001119063,WEBMASTER COM INC,WEBMASTER COM,2000-09-25
0001119506,LENNAR COM INC,Lennar.com Inc.,2020-04-10
0001121879,DOT COM VISION INC,DOT COM VISIONS INC,2001-08-01
0001125785,NFI NETWORK COM LLC                                     /BD,"NFI NETWORK.COM, LLC",2002-04-26
0001127790,PRINTINGFORLESS COM INC,"PRINTINGFORLESS.COM, INC.",2002-12-12
0001136386,DIGITAL ROOSTER COM INC,DIGITAL ROOSTER COM LTD,2003-10-15
0001137031,USA DEALERS AUTION COM INC,USA DEALERS AUCTION COM INC,2001-11-14
0001140659,SMARTBUILDING COM INC,SMARTBUILDINGS COM INC,2001-05-18
0001157300,AUTO CARBON COM INC,AUTOCARBON COM INC,2002-05-09
0001159803,AUTONATIONDIRECT COM INC,AUTONATIONDIRECT.COM INC,2010-02-23
0001159803,AUTONATIONDIRECT.COM INC,"AutoNation.com, Inc.",2014-02-14
0001176178,MERRILL LYNCH MORT INV INC COM MRT PAS THR CERT SER 2002 WM1,MERRILL LYNCH MORT INV INC COM MRT PAS THR CERT SER 2002 MW1,2002-06-21
0001693736,EquipmentShare.com Inc.,EquipmentShare.com Inc,2021-01-15
0001685995,title3funds.com,Title3funds.com,2019-01-31
0001488773,PAYOFF.COM LLC,PAYOFF.COM INC.,2012-01-09
0001457631,DEALER DOT COM INC,"DEALER DOT COM, INC.",2009-02-25
0001449077,5TOL.COM INC,5TO1.COM INC,2009-04-27
0001449077,5TO1.COM INC,"5TO1.COM, INC",2009-06-17
0001442596,YOUKU.COM INC,YOUKU.COM INC.,2010-11-15
0001423396,EXPRESSO.COM CORP,EXPRESSO.COM CORP.,2008-01-07
0001419522,Songkicks.com Inc,"Songkick.com, Inc.",2008-12-01
0001406020,OVguide.com Inc,"OVGuide.com, Inc.",2008-08-04
0001272906,PORTALTO CHINA COM,PORTALTOCHINA COM,2004-10-29
0001266528,GLOBE COM LINES INC,"GLOBE.COM LINES, INC.",2005-12-22
0001222218,"MORTGAGEBROKERS.COM HOLDINGS, INC.","MOPALS.COM, INC.",2013-04-01
0001205195,EQUITY FOCUS TR TRILOGY ADVISORS GLOBAL COM PORT 2002 SER C,EQUITY FOCUS TR TRILOGY ADVISORS GLOBAL COM PORT 2003 SER A,2002-11-12
0001347760,MARKETINGGENIUS COM INC,GENIUS.COM Inc,2005-12-16
0001376377,Azoogle com Inc,"Azoogle.com, Inc.",2006-09-18
0001383097,Search By Headlines.com Inc.,SEARCH BY HEADLINES.COM CORP.,2009-12-09
0001387332,"IAN.com, L.P.","EAN.com, L.P.",2010-11-10
0001388906,MFG.COM INC,"MFG.COM, INC.",2008-01-03
0001502934,Grandparents.com LLC,"GP.com Holding Company, LLC.",2010-10-07
0001524634,"BRAND-YOURSELF.COM, LLC","BRANDYOURSELF.COM, INC.",2013-04-23
0001538399,"Despegar.com, Inc.","Decolar.com, Inc.",2012-04-02
0001562459,Swoop.com Inc,"Swoop.com, Inc",2013-11-13
0001568941,"Phonerepairshop.com, inc",PhoneRepairShop.com Inc,2013-02-05
