cik,original_name,new_name,date
0000018530,LINK COM INC,ECLICKMD INC,2000-08-22
0000049397,EIEIHOME COM INC,WIRELESS VENTURES INC,2000-11-14
0000095047,COLLEGELINK COM INCORP,CYTATION CORP,2001-12-31
0000311842,ECOM COM INC,ET CORP,2002-05-07
0000318716,INTERNETMERCADO COM INC,NEW CENTURY COMPANIES INC,2001-11-15
0000318523,PETPLANET COM INC,EMEMBERDIRECT INC,2000-03-16
0000351129,CDX COM INC,"AIRGUIDE, INC.",2006-07-11
0000354507,AUTO AXZPT COM INC,UNICORP INC /NEW,2000-04-17
0000722839,FLIGHTSERV COM,ERESOURCE CAPITAL GROUP INC,2000-12-12
0000734089,LEGALOPINION COM,DRAYTON RICHDALE CORP,2007-09-20
0000745651,BUY IT CHEAP COM INC /DE,"ADVANCED BATTERY TECHNOLOGIES, INC.",2004-06-02
0000769592,CRAFTCLICK COM INC,MOBILEPRO CORP,2001-06-29
0000786129,PANTOMFILM COM,KOMODO INC,2002-08-20
0000787496,E PAWN COM INC,UBUYHOLDINGS INC,2001-01-16
0000789667,GAMEWEAVER COM INC,INFORM MEDIA GROUP INC,2002-11-15
0000789879,ISHOPPER COM INC,ENSURGE INC,2001-04-02
0000790948,VIRTUALSELLERS COM INC,HEALTHTRAC INC,2002-01-23
0000791115,SEARCHHOUND COM INC,COACH INDUSTRIES GROUP INC,2003-08-14
0000793375,PRINTONTHENET COM INC,NEXPUB INC,2000-03-31
0000793043,GOPUBLICNOW COM INC,GPN NETWORK INC,2002-04-16
0000793986,JUSTWEBIT COM INC,SYNTHETIC TURF CORP OF AMERICA,2003-01-09
0000796655,ANTS SOFTWARE COM INC,ANTS SOFTWARE INC,2000-09-06
0000798543,1TWOE COM INC,TELEWORLD ENTERPRISES LTD,1996-08-30
0000800181,E-MEDSOFT COM,MED DIVERSIFIED INC,2002-07-23
0000810270,E TWOMEDIA COM INC,EXUS NETWORKS  INC,2001-11-15
0000812149,4NETWORLD COM INC,4NET SOFTWARE INC,2002-11-21
0000814549,EBIX COM INC,EBIX INC,2003-11-10
0000815017,PACIFICNET COM INC,PACIFICNET INC,2002-09-30
0000821524,BEAUTYMERCHANT COM INC,NATIONAL BEAUTY CORP,2001-11-09
0000826683,NETAMERICA COM CORP,RATEXCHANGE CORP,2000-05-12
0000827082,SMARTSOURCES COM INC,INFERTEK INC,2001-01-16
0000831232,HNET COM INC,HNET NET,2001-12-17
0000832342,STOCKSCAPE COM TECHNOLOGIES INC,QUEST INVESTMENT CORP,2002-07-17
0000833203,PACKETPORT COM,Wyndstorm CORP,2008-05-20
0000839435,MAMMA COM INC,COPERNIC INC,2007-06-21
