cik,original_name,new_name,date
0000018530,CENTER STAR GOLD MINES INC,LINK COM INC,2000-04-14
0000049397,HYCOMP INC,EIEIHOME COM INC,2000-05-15
0000058636,WEBCOR ELECTRONICS INC,ENOTE COM INC,1999-04-05
0000095047,STYLEX HOMES INC,CYTATION COM INC,1999-04-19
0000754813,"CLACENDIX, INC.","HealthWarehouse.com, Inc.",2009-08-17
0000748824,UNION 69 LTD,MY MEDS EXPRESS COM,2001-03-09
0000745651,NORTHEAST USA CORP /NEW,BUY IT CHEAP COM INC /DE,2000-02-14
0000734089,EUROTRONICS HOLDINGS INC,LEGALOPINION COM,1999-11-17
0000732700,POWERHOUSE RESOURCES INC,COM TEK RESOURCES INC,1995-08-03
0000722839,PROACTIVE TECHNOLOGIES INC,FLIGHTSERV COM,1999-07-28
0000311842,E T CAPITAL INC,ECOM COM INC,2000-08-15
0000312651,GOLDEN PHARMACEUTICALS INC,DOCSALES COM INC,1999-09-14
0000353646,IMN FINANCIAL CORP,APPONLINE COM INC,2000-01-19
0000354507,UNICORP INC,AUTO AXZPT COM INC,1999-04-07
0000351129,CDX CORP,CDX COM INC,1999-09-22
0000318716,NUMEX CORP,INTERNETMERCADO COM INC,2001-06-04
0000318523,TECHSCIENCE INDUSTRIES INC,PETPLANET COM INC,1999-09-14
0000769592,TECON INC /UT/,BUYIT COM INC,1999-05-06
0000783454,D-VINE LTD,MONSTERDAATA COM INC,1999-03-23
0000786129,PANTHER RESOURCES LTD,PANTOMFILM COM,1999-11-12
0000789879,SUNWALKER DEVELOPMENT INC,ISHOPPER COM INC,2000-06-26
0000787496,WASATCH INTERNATIONAL CORP,E PAWN COM INC,2000-04-24
0000787811,SBB INC,USA TALKS COM INC,1998-02-03
0000789667,COFITRAS ENTERTAINMENT INC,BINGOGOLD COM INC,1999-12-10
0000790948,SUNCOM TELECOMMUNICATIONS INC,VIRTUALSELLER COM INC,2000-01-26
0000791115,PAN INTERNATIONAL GAMING INC,SEARCHHOUND COM INC,2000-08-14
0000793043,DERMARX CORP,GOPUBLICNOW COM INC,2000-05-08
0000793375,NET LNNX INC,PRINTONTHENET COM INC,1999-08-13
0000793986,SUPERIOR WIRELESS COMMUNICATIONS INC,JUSTWEBIT COM INC,1999-08-30
0000800181,MEDTECH INC,E-MEDSOFT COM,1999-08-17
0000806277,PROGRESSIVE TELECOMMUNICATIONS CORP,BUSINESS MALL COM INC,2000-02-17
0000810270,NEROX ENERGY CORP,E TWOMEDIA COM INC,1999-03-29
0000812551,SPECTRUM INFORMATION TECHNOLOGIES INC,SITI-SITES COM INC,2000-01-07
0000812149,MEDTECH DIAGNOSTICS INC,4NETWORLD COM INC,2000-08-14
0000814055,YOU BET INTERNATIONAL INC,YOUBET COM INC,1998-08-14
0000814549,DELPHI INFORMATION SYSTEMS INC /DE/,EBIX COM INC,1999-11-15
0000815017,CREATIVE MASTER INTERNATIONAL INC,PACIFIC NET COM INC,2000-08-14
0000827082,INNOVEST CAPITAL SOURCES CORP,SMARTSOURCE COM INC,1999-05-11
0000827100,GENISYS RESERVATION SYSTEMS INC,NETCRUISE COM INC,2000-03-17
0000822618,ART CARDS INC,UMEMBER COM INC /CO/,2000-02-04
0000826495,NATIONAL CAPITAL MANAGEMENT CORP,FRAGRANCENET COM INC,1999-05-17
0000821172,MEDIZONE CANADA LTD,ONE WORLD ONLINE COM INC,1999-04-09
0000826683,NETAMERICA INTERNATIONAL INC,NETAMERICA COM CORP,1999-11-16
0000821524,ATR INDUSTRIES INC/NV/,BEAUTYMERCHANT COM INC,1999-11-18
0000823190,ASIA MEDIA COMMUNICATIONS LTD,MY WEB INC COM,1999-05-20
0000828956,GROUP V CORP,TOTALAXCESS COM INC,1999-05-17
0000832324,MICROCAP FINANCIAL SERVICES INC,GLOBALNET FINANCIAL COM INC,1999-04-01
0000832320,EGGHEAD INC /WA/,EGGHEAD COM INC,1998-02-10
0000832342,STOCKSCAPECOM TECHNOLOGIES INC,STOCKSCAPE COM TECHNOLOGIES INC,2000-11-22
0000831232,ALPHA BYTES INC,HNET COM INC,2000-09-13
0000831529,CONNECT INC,CONNECTINC COM CO,1999-10-06
0000934880,SHAMPAN LAMPORT HOLDINGS LTD,TAKEOUTMUSIC COM HOLDINGS CORP,2000-02-18
0000833203,LINKON CORP,POCKETPORT COM,2000-12-18
0000835538,ELECTROCON INTERNATIONAL INC,GETGO MAIL COM INC,1999-09-02
0000839435,INTASYS CORP,MAMMA COM INC,2004-05-17
0000838796,MAGNITUDE INFORMATION SYSTEMS INC,"Kiwibox.Com, Inc.",2010-03-02
0000843494,DONNEBROOKE CORP,VIRTUAL ACADEMICS COM INC,2000-08-30
0000844780,FRONTEER FINANCIAL HOLDINGS LTD,EVISION USA COM INC,1999-06-08
0000852450,FINET HOLDINGS CORP,FINET COM INC,1999-03-17
0000852570,XPLORER S A,NETHOLDINGS COM INC,2000-11-14
0000852766,PLAYORENA INC,ETRAVNET COM INC,1999-10-27
0000854460,INTERLAND INC /MN/,"WEB.COM, INC.",2006-03-17
0000854877,DEFINITION LTD,E PERSONNEL MANAGEMENT COM,2000-07-19
0000857470,LASERMASTER TECHNOLOGIES INC,VIRTUALFUND COM INC,1998-02-26
0000859916,GUIDELINE CAPITAL CORP,HOLLYWOOD PARTNERS COM INC,1999-11-16
0000862250,LINDSEY TECHNOLOGIES INC,LINDSEYTECHNOLOGIES COM INC,1999-04-23
0000862475,NATURAL WAY TECHNOLOGIES INC,ESOFTBANK COM INC,2000-08-14
0000863650,A D A M SOFTWARE INC,ADAM COM INC /DE/,1999-12-09
0000865753,INSTANT VIDEO TECHNOLOGIES INC,BURST COM,2000-08-31
0000866491,SABER CAPITAL INC /NV/,SILVERZIPPER COM INC,1999-07-21
0000870751,RELIANCE RESOURCES INC,SUMMEDIA COM INC,1999-06-07
0000870227,FIELDCREST CORP,SOFTLOCK COM INC,1998-02-17
0000872901,JETFAX INC,EFAX COM INC,1998-07-27
0000875579,SPECTRUM PHARMACEUTICAL CORP,WORLDWIDEWEB INSTITUTE COM INC,1999-05-27
0000878612,INSCI CORP,INSCI STATEMENTS COM CORP,1999-12-27
0000879465,TADEO HOLDINGS INC,TEKINSIGHT COM INC,2000-04-13
0000880460,PERFUMANIA INC,E COM VENTURES INC,2000-04-11
0000881590,ALLIANCE TECHNOLOGIES INC,STEREOSCAPE COM INC,1999-04-01
