direct,indirect,issuer_cik,issuer_name,isDirector,isOfficer,isTenPercentOwner,isOther,date,name,accession,officerTitle,predicted_gender,total_stock
600000.0,0.0,1405686,osage exploration & development inc,1,0,0,0,20100908,ray larry,149315210000041,,male,
4000000.0,0.0,1405686,osage exploration & development inc,1,1,0,0,20100908,franklin greg,149315210000039,Cheif Geologist,male,
6220000.0,0.0,1405686,osage exploration & development inc,0,0,1,0,20110408,hoffman peter jr,143858911000001,,male,46649775.0
7055000.0,0.0,1405686,osage exploration & development inc,1,1,1,0,20110414,kim bradford,149315211000096,President CEO CFO and Chairman,male,46649775.0
7035000.0,0.0,1405686,osage exploration & development inc,1,1,1,0,20110720,kim bradford,114420411041331,"President, CEO, CFO, Chairman",male,47299775.0
3950000.0,0.0,1405686,osage exploration & development inc,1,1,0,0,20110812,franklin greg,149315211000247,Chief Geologist,male,47299775.0
5787818.0,0.0,1405686,osage exploration & development inc,0,0,1,0,20111212,hoffman peter jr,143858911000002,,male,47799775.0
5777818.0,0.0,1405686,osage exploration & development inc,0,0,1,0,20111215,hoffman peter jr,143858911000003,,male,47799775.0
5747354.0,0.0,1405686,osage exploration & development inc,0,0,1,0,20111219,hoffman peter jr,143858911000004,,male,47799775.0
5639119.0,0.0,1405686,osage exploration & development inc,0,0,1,0,20111222,hoffman peter jr,143858911000005,,male,47799775.0
5509819.0,0.0,1405686,osage exploration & development inc,0,0,1,0,20120327,hoffman peter jr,143858912000001,,male,47974775.0
5442819.0,0.0,1405686,osage exploration & development inc,0,0,1,0,20120411,hoffman peter jr,143858912000002,,male,47974775.0
5255319.0,0.0,1405686,osage exploration & development inc,0,0,1,0,20120430,hoffman peter jr,143858912000003,,male,47974775.0
5248139.0,0.0,1405686,osage exploration & development inc,0,0,1,0,20120529,hoffman peter jr,143858912000004,,male,47974775.0
5228139.0,0.0,1405686,osage exploration & development inc,0,0,1,0,20120608,hoffman peter jr,143858912000005,,male,47974775.0
5190202.0,0.0,1405686,osage exploration & development inc,0,0,1,0,20120613,hoffman peter jr,143858912000006,,male,47974775.0
5140202.0,0.0,1405686,osage exploration & development inc,0,0,1,0,20120615,hoffman peter jr,143858912000007,,male,47974775.0
5075202.0,0.0,1405686,osage exploration & development inc,0,0,1,0,20120618,hoffman peter jr,143858912000008,,male,47974775.0
5015609.0,0.0,1405686,osage exploration & development inc,0,0,1,0,20120620,hoffman peter jr,143858912000009,,male,47974775.0
4907459.0,0.0,1405686,osage exploration & development inc,0,0,1,0,20120625,hoffman peter jr,143858912000010,,male,47974775.0
4837929.0,0.0,1405686,osage exploration & development inc,0,0,1,0,20120628,hoffman peter jr,143858912000011,,male,47974775.0
502700.0,0.0,1405686,osage exploration & development inc,0,0,0,1,20130424,zedlitz jack,149315213000741,,male,49494675.0
7043000.0,0.0,1405686,"osage exploration & development, inc.",1,1,1,0,20140924,kim bradford,149315214003079,President CEO and Chairman,male,58098014.0
