year,month,women_total_stock,men_total_stock,total_stock,women_percent
2010,1,286946174.7993,7909253368.6172,8196199543.4165,3.500966189016056
2010,2,216155593.6495,5313238737.3496,5529394330.9991,3.909209231790186
2010,3,388498226.7916,6669504683.8562,7058002910.6478,5.504364785759811
2010,4,693731894.2566,11067713665.5723,11761445559.8289,5.8983556972455355
2010,5,243250105.5648,4903639147.3968,5146889252.9616,4.726157754896904
2010,6,281561311.2734,8940262352.6764,9221823663.949799,3.053206410507361
2010,7,234498020.1406,4359867918.8715,4594365939.0121,5.104034446829953
2010,8,78706673.02510001,6058071524.6269,6136778197.651999,1.2825406180593926
2010,9,144619785.85750002,11198096701.2441,11342716487.1016,1.2750013281382355
2010,10,277289831.1123,6191811221.6429,6469101052.7552,4.286373467519136
2010,11,419784354.8891,12974552328.6851,13394336683.5742,3.134043624600625
2010,12,337688648.8635,8114593928.9912,8452282577.8547,3.995236147786363
2011,1,351885932.8466,7546689778.6297,7898575711.476299,4.455055515076275
2011,2,329103170.0202,5967209229.6219,6296312399.642099,5.226919332003082
2011,3,273143738.33889997,5033979568.8025,5307123307.141399,5.1467381202797915
2011,4,355720806.8925,4718316424.9781,5074037231.8706,7.010606951367591
2011,5,354669284.3719,6439214209.7937,6793883494.1656,5.220420466092482
2011,6,226589828.69439998,5552253424.196,5778843252.8904,3.921023962383245
2011,7,177244517.2559,5029892177.205,5207136694.4609,3.4038767878792986
2011,8,213745841.4438,5979118351.1801,6192864192.6239,3.4514860135054315
2011,9,158047590.1585,11142464762.654,11300512352.8125,1.3985878270303798
2011,10,195785329.3751,4122090701.703,4317876031.0781,4.534297139749418
2011,11,208973838.4634,5389024184.896,5597998023.3594,3.7330102224293613
2011,12,321692922.0441,13910918137.2723,14232611059.3164,2.2602523226651785
2012,1,252349849.9059,9270814978.0532,9523164827.959099,2.649852800667957
2012,2,230030477.25,12756987997.7838,12987018475.0338,1.7712339263412136
2012,3,346237638.195,6784522661.4901,7130760299.6851,4.855550090644473
2012,4,142637861.9741,7305111850.7282,7447749712.7023,1.9151806582708868
2012,5,207027513.4241,8363566015.7178,8570593529.1419,2.4155563173094254
