cik,date,value,component
4977,2001-01-01,1,domestic
6885,2001-01-01,1,domestic
9442,2001-01-01,1,domestic
14707,2001-01-01,1,domestic
14930,2001-01-01,1,domestic
14995,2001-01-01,1,domestic
18230,2001-01-01,1,domestic
21212,2001-01-01,1,domestic
24491,2001-01-01,1,domestic
27419,2001-01-01,1,domestic
34115,2001-01-01,1,domestic
36047,2001-01-01,1,domestic
37651,2001-01-01,1,domestic
38570,2001-01-01,1,domestic
39899,2001-01-01,1,domestic
39911,2001-01-01,1,domestic
42284,2001-01-01,1,domestic
48272,2001-01-01,1,domestic
49401,2001-01-01,1,domestic
56151,2001-01-01,1,domestic
57497,2001-01-01,1,domestic
62996,2001-01-01,1,domestic
63330,2001-01-01,1,domestic
63754,2001-01-01,1,domestic
64394,2001-01-01,1,domestic
72205,2001-01-01,1,domestic
72423,2001-01-01,1,domestic
83877,2001-01-01,1,domestic
85974,2001-01-01,1,domestic
89439,2001-01-01,1,domestic
90896,2001-01-01,1,domestic
94344,2001-01-01,1,domestic
95301,2001-01-01,1,domestic
107687,2001-01-01,1,domestic
216085,2001-01-01,1,domestic
276189,2001-01-01,1,domestic
276400,2001-01-01,1,domestic
310826,2001-01-01,1,domestic
313337,2001-01-01,1,domestic
319256,2001-01-01,1,domestic
350698,2001-01-01,1,domestic
352363,2001-01-01,1,domestic
352789,2001-01-01,1,domestic
354053,2001-01-01,1,domestic
354950,2001-01-01,1,domestic
355429,2001-01-01,1,domestic
701974,2001-01-01,1,domestic
701985,2001-01-01,1,domestic
703667,2001-01-01,1,domestic
714712,2001-01-01,1,domestic
716101,2001-01-01,1,domestic
716457,2001-01-01,1,domestic
717724,2001-01-01,1,domestic
719589,2001-01-01,1,domestic
723458,2001-01-01,1,domestic
723603,2001-01-01,1,domestic
724522,2001-01-01,1,domestic
738274,2001-01-01,1,domestic
742070,2001-01-01,1,domestic
742279,2001-01-01,1,domestic
745302,2001-01-01,1,domestic
750558,2001-01-01,1,domestic
756862,2001-01-01,1,domestic
763901,2001-01-01,1,domestic
765232,2001-01-01,1,domestic
