filing_date,count,component
2001-12-31,222,domestic
2002-12-31,398,domestic
2003-12-31,566,domestic
2004-12-31,589,domestic
2005-12-31,586,domestic
2006-12-31,727,domestic
2007-12-31,742,domestic
2008-12-31,946,domestic
2009-12-31,1961,domestic
2010-12-31,1839,domestic
2011-12-31,1739,domestic
2012-12-31,1611,domestic
2013-12-31,1522,domestic
2014-12-31,1500,domestic
2015-12-31,1421,domestic
2016-12-31,1354,domestic
2017-12-31,1271,domestic
2018-12-31,1248,domestic
2019-12-31,1251,domestic
2020-12-31,1314,domestic
2021-12-31,1548,domestic
2022-12-31,1805,domestic
2023-12-31,1900,domestic
2024-12-31,1833,domestic
2025-12-31,1234,domestic
2001-12-31,14,international
2002-12-31,31,international
2003-12-31,99,international
2004-12-31,97,international
2005-12-31,92,international
2006-12-31,84,international
2007-12-31,73,international
2008-12-31,77,international
2009-12-31,171,international
2010-12-31,170,international
2011-12-31,171,international
2012-12-31,170,international
2013-12-31,169,international
2014-12-31,164,international
2015-12-31,159,international
2016-12-31,154,international
2017-12-31,140,international
2018-12-31,147,international
2019-12-31,155,international
2020-12-31,170,international
2021-12-31,200,international
2022-12-31,247,international
2023-12-31,287,international
2024-12-31,319,international
2025-12-31,93,international
