filing_date,component,url,ownerOrg,name,cik
2024-09-24,domestic,https://www.sec.gov/Archives/edgar/data/730263/000073026324000010/tho-20240731.htm#:~:text=consumer%20confidence,Manufacturing,THOR INDUSTRIES INC,730263
2025-02-20,domestic,https://www.sec.gov/Archives/edgar/data/1316835/000095017025023953/bldr-20241231.htm#:~:text=consumer%20confidence,Trade & Services,"Builders FirstSource, Inc.",1316835
2025-03-26,domestic,https://www.sec.gov/Archives/edgar/data/701719/000070171925000007/ela-20241231x10k.htm#:~:text=consumer%20confidence,Trade & Services,Envela Corp,701719
2024-05-13,domestic,https://www.sec.gov/Archives/edgar/data/1753681/000147793224002748/elite_10k.htm#:~:text=consumer%20confidence,Manufacturing,Elite Performance Holding Corp,1753681
2024-12-11,domestic,https://www.sec.gov/Archives/edgar/data/1687221/000095017024135208/revg-20241031.htm#:~:text=consumer%20confidence,Manufacturing,"REV Group, Inc.",1687221
2024-06-20,domestic,https://www.sec.gov/Archives/edgar/data/1600438/000162828024029139/gms-20240430.htm#:~:text=consumer%20confidence,Trade & Services,GMS Inc.,1600438
2024-12-11,domestic,https://www.sec.gov/Archives/edgar/data/788329/000114036124049014/jout-20240927.htm#:~:text=consumer%20confidence,Manufacturing,JOHNSON OUTDOORS INC,788329
2025-02-20,domestic,https://www.sec.gov/Archives/edgar/data/76605/000007660525000062/patk-20241231.htm#:~:text=consumer%20confidence,Manufacturing,PATRICK INDUSTRIES INC,76605
2024-05-24,domestic,https://www.sec.gov/Archives/edgar/data/278166/000027816624000059/cvco-20240330.htm#:~:text=consumer%20confidence,Manufacturing,CAVCO INDUSTRIES INC.,278166
2025-02-27,domestic,https://www.sec.gov/Archives/edgar/data/1683695/000168369525000030/imxi-20241231.htm#:~:text=consumer%20confidence,Trade & Services,"International Money Express, Inc.",1683695
2025-02-24,domestic,https://www.sec.gov/Archives/edgar/data/1670592/000167059225000008/yeti-20241228.htm#:~:text=consumer%20confidence,Manufacturing,"YETI Holdings, Inc.",1670592
2025-03-17,domestic,https://www.sec.gov/Archives/edgar/data/814926/000190359625000126/capc_10k.htm#:~:text=consumer%20confidence,Manufacturing,"CAPSTONE COMPANIES, INC.",814926
2025-03-03,domestic,https://www.sec.gov/Archives/edgar/data/1564902/000095017025030398/prks-20241231.htm#:~:text=consumer%20confidence,Trade & Services,United Parks & Resorts Inc.,1564902
2025-02-27,domestic,https://www.sec.gov/Archives/edgar/data/1065088/000106508825000037/ebay-20241231.htm#:~:text=consumer%20confidence,Trade & Services,EBAY INC,1065088
2024-09-10,domestic,https://www.sec.gov/Archives/edgar/data/1518336/000149315224035617/form10-k.htm#:~:text=consumer%20confidence,Real Estate & Construction,Dream Homes & Development Corp.,1518336
2024-12-12,domestic,https://www.sec.gov/Archives/edgar/data/1547459/000143774924037351/ngvc20240930_10k.htm#:~:text=consumer%20confidence,Trade & Services,"Natural Grocers by Vitamin Cottage, Inc.",1547459
2025-02-21,domestic,https://www.sec.gov/Archives/edgar/data/763744/000076374425000022/lcii-20241231.htm#:~:text=consumer%20confidence,Manufacturing,LCI INDUSTRIES,763744
2025-03-25,domestic,https://www.sec.gov/Archives/edgar/data/1414953/000147793225001952/mojo_10k.htm#:~:text=consumer%20confidence,Manufacturing,EQUATOR Beverage Co,1414953
2025-02-20,domestic,https://www.sec.gov/Archives/edgar/data/1507079/000150707925000013/fnd-20241226.htm#:~:text=consumer%20confidence,Trade & Services,"Floor & Decor Holdings, Inc.",1507079
2024-11-21,domestic,https://www.sec.gov/Archives/edgar/data/807882/000080788224000052/jack-20240929.htm#:~:text=consumer%20confidence,Trade & Services,JACK IN THE BOX INC,807882
2025-03-17,domestic,https://www.sec.gov/Archives/edgar/data/1579298/000095017025040472/burl-20250201.htm#:~:text=consumer%20confidence,Trade & Services,"Burlington Stores, Inc.",1579298
2025-03-24,domestic,https://www.sec.gov/Archives/edgar/data/1319947/000131994725000012/dsw-20250201.htm#:~:text=consumer%20confidence,Trade & Services,Designer Brands Inc.,1319947
2025-02-19,domestic,https://www.sec.gov/Archives/edgar/data/1282980/000121390025015289/ea0231186-10k_drorortho.htm#:~:text=consumer%20confidence,Industrial Applications and Services,"Dror Ortho-Design, Inc.",1282980
2025-03-24,domestic,https://www.sec.gov/Archives/edgar/data/1649744/000164974425000006/dlth-20250202x10k.htm#:~:text=consumer%20confidence,Trade & Services,DULUTH HOLDINGS INC.,1649744
2025-03-20,domestic,https://www.sec.gov/Archives/edgar/data/312257/000118518525000204/ivfh10k123124.htm#:~:text=consumer%20confidence,Trade & Services,INNOVATIVE FOOD HOLDINGS INC,312257
2024-06-26,domestic,https://www.sec.gov/Archives/edgar/data/768408/000143774924021266/cyan20240331_10k.htm#:~:text=consumer%20confidence,Life Sciences,CYANOTECH CORP,768408
2025-03-07,domestic,https://www.sec.gov/Archives/edgar/data/39311/000003931125000044/ibcp-20241231_d2.htm#:~:text=consumer%20confidence,Finance,INDEPENDENT BANK CORP /MI/,39311
2025-02-25,domestic,https://www.sec.gov/Archives/edgar/data/1060822/000106082225000030/cri-20241228.htm#:~:text=consumer%20confidence,Manufacturing,CARTERS INC,1060822
2024-09-17,domestic,https://www.sec.gov/Archives/edgar/data/352991/000147793224005762/aoxy_10k.htm#:~:text=consumer%20confidence,Real Estate & Construction,ADVANCED OXYGEN TECHNOLOGIES INC,352991
2025-03-27,domestic,https://www.sec.gov/Archives/edgar/data/1397187/000139718725000013/lulu-20250202.htm#:~:text=consumer%20confidence,Manufacturing,lululemon athletica inc.,1397187
2025-03-26,domestic,https://www.sec.gov/Archives/edgar/data/1639300/000114036125010442/ef20040177_10k.htm#:~:text=consumer%20confidence,Trade & Services,"Ollie's Bargain Outlet Holdings, Inc.",1639300
2025-03-19,domestic,https://www.sec.gov/Archives/edgar/data/832988/000083298825000018/sig-20250201.htm#:~:text=consumer%20confidence,Trade & Services,SIGNET JEWELERS LTD,832988
2025-03-13,domestic,https://www.sec.gov/Archives/edgar/data/1318008/000095017025038692/zumz-20250201.htm#:~:text=consumer%20confidence,Trade & Services,Zumiez Inc,1318008
2025-03-18,domestic,https://www.sec.gov/Archives/edgar/data/39911/000003991125000029/gap-20250201.htm#:~:text=consumer%20confidence,Trade & Services,GAP INC,39911
2025-02-28,domestic,https://www.sec.gov/Archives/edgar/data/1065837/000095017025030016/skx-20241231.htm#:~:text=consumer%20confidence,Manufacturing,SKECHERS USA INC,1065837
2025-02-12,domestic,https://www.sec.gov/Archives/edgar/data/906163/000090616325000011/nvr-20241231.htm#:~:text=consumer%20confidence,Real Estate & Construction,NVR INC,906163
2025-02-25,domestic,https://www.sec.gov/Archives/edgar/data/1746618/000095017025026748/rvlv-20241231.htm#:~:text=consumer%20confidence,Trade & Services,"Revolve Group, Inc.",1746618
2024-06-28,domestic,https://www.sec.gov/Archives/edgar/data/1943705/000194370524000005/gear-20240331.htm#:~:text=consumer%20confidence,Manufacturing,"Revelyst, Inc.",1943705
2024-11-14,domestic,https://www.sec.gov/Archives/edgar/data/1057060/000095017024127036/hzo-20240930.htm#:~:text=consumer%20confidence,Trade & Services,MARINEMAX INC,1057060
2025-02-26,domestic,https://www.sec.gov/Archives/edgar/data/1875444/000187544425000021/arhs-20241231.htm#:~:text=consumer%20confidence,Trade & Services,"Arhaus, Inc.",1875444
2025-02-20,domestic,https://www.sec.gov/Archives/edgar/data/1575515/000157551525000011/sfm-20241229.htm#:~:text=consumer%20confidence,Trade & Services,"Sprouts Farmers Market, Inc.",1575515
2025-03-03,domestic,https://www.sec.gov/Archives/edgar/data/913241/000162828025009503/shoo-20241231.htm#:~:text=consumer%20confidence,Manufacturing,"STEVEN MADDEN, LTD.",913241
2025-03-05,domestic,https://www.sec.gov/Archives/edgar/data/1655210/000165521025000034/bynd-20241231.htm#:~:text=consumer%20confidence,Manufacturing,"BEYOND MEAT, INC.",1655210
2025-03-03,domestic,https://www.sec.gov/Archives/edgar/data/708821/000070882125000015/par-20241231.htm#:~:text=consumer%20confidence,Technology,PAR TECHNOLOGY CORP,708821
2025-03-21,domestic,https://www.sec.gov/Archives/edgar/data/1856437/000185643725000006/vsco-20250201.htm#:~:text=consumer%20confidence,Trade & Services,Victoria's Secret & Co.,1856437
