ownerOrg,period,count,component
Industrial Applications and Services,1,1,aapl_us
Trade & Services,1,1,aapl_us
Real Estate & Construction,1,1,msft_us
Technology,0,1,msft_us
Technology,1,1,msft_us
Life Sciences,0,2,goog_us
Manufacturing,1,1,goog_us
Real Estate & Construction,1,1,goog_us
Technology,0,1,goog_us
Trade & Services,0,1,goog_us
Real Estate & Construction,0,2,amzn_us
Technology,0,2,amzn_us
Trade & Services,1,1,amzn_us
Technology,0,1,fb_us
Technology,1,1,fb_us
Technology,1,1,tsla_us
Trade & Services,0,1,tsla_us
Manufacturing,0,1,nvda_us
Technology,0,2,nvda_us
Technology,1,1,nvda_us
Industrial Applications and Services,1,1,intc_us
Life Sciences,0,1,intc_us
Manufacturing,0,1,intc_us
Manufacturing,1,1,intc_us
Technology,0,1,intc_us
Trade & Services,0,1,intc_us
Industrial Applications and Services,1,1,crm_us
Finance,1,1,jpm_us
Industrial Applications and Services,1,1,jpm_us
Life Sciences,0,1,jpm_us
Crypto Assets,0,1,gs_us
Life Sciences,1,1,gs_us
Technology,1,1,gs_us
Technology,0,1,v_us
Finance,1,1,brk_us
Manufacturing,0,1,wmt_us
Trade & Services,0,1,wmt_us
Trade & Services,0,1,cost_us
Manufacturing,0,1,sbux_us
Industrial Applications and Services,0,1,nke_us
Real Estate & Construction,0,1,nke_us
Technology,0,1,nke_us
Trade & Services,1,1,sap_germany
Energy & Transportation,0,1,shell_netherlands
Real Estate & Construction,1,1,tte_france
Crypto Assets,0,1,san_spain
Energy & Transportation,1,1,san_spain
Finance,1,1,san_spain
Technology,0,1,san_spain
Crypto Assets,0,1,dbk_germany
Energy & Transportation,0,1,dbk_germany
Energy & Transportation,1,2,dbk_germany
Life Sciences,0,1,dbk_germany
Technology,0,2,dbk_germany
Trade & Services,1,1,dbk_germany
Technology,0,1,bytd_china
Energy & Transportation,1,1,icbc_china
Industrial Applications and Services,1,1,icbc_china
Manufacturing,0,1,icbc_china
Trade & Services,1,1,cichy_china
