filing_date,component,url,ownerOrg,name
2025-01-21,aapl_us,https://www.sec.gov/Archives/edgar/data/1649009/000121390025005101/ea0228142-f1_siyata.htm#:~:text=Apple%20Inc.,Technology,Siyata Mobile Inc.
2025-01-16,msft_us,https://www.sec.gov/Archives/edgar/data/2009233/000121390025004257/ea021534805ex10-7_agrozinc.htm#:~:text=Microsoft%20Corporation,Industrial Applications and Services,Agroz Inc.
2025-03-12,msft_us,https://www.sec.gov/Archives/edgar/data/1888151/000149315225010082/formf-1.htm#:~:text=Microsoft%20Corporation,Technology,Femto Technologies Inc.
2025-03-14,goog_us,https://www.sec.gov/Archives/edgar/data/2003292/000162828025012824/klarnagroupplcf-1.htm#:~:text=Google%20Inc.&text=Alphabet%20Inc.,,
2025-02-14,nvda_us,https://www.sec.gov/Archives/edgar/data/1955514/000149315225006689/formf-1.htm#:~:text=NVIDIA%20Corporation,Manufacturing,RanMarine Technology B.V.
2025-03-14,gs_us,https://www.sec.gov/Archives/edgar/data/2003292/000162828025012824/klarnagroupplcf-1.htm#:~:text=The%20Goldman%20Sachs%20Group%2C%20Inc.,,
2025-03-03,v_us,https://www.sec.gov/Archives/edgar/data/2047713/000121390025018875/ea0231405-f1_dthouse.htm#:~:text=Visa%20Inc.,Trade & Services,DT House Ltd
2025-03-14,pypl_us,https://www.sec.gov/Archives/edgar/data/2003292/000162828025012824/klarnagroupplcf-1.htm#:~:text=PayPal%20Holdings%2C%20Inc.,,
2025-03-12,sap_germany,https://www.sec.gov/Archives/edgar/data/1888151/000149315225010082/formf-1.htm#:~:text=SAP%20SE,Technology,Femto Technologies Inc.
2025-03-25,dbk_germany,https://www.sec.gov/Archives/edgar/data/2013649/000110465925027648/tm246985-23_f1.htm#:~:text=Deutsche%20Bank%20AG,,
2025-02-21,xiacf_china,https://www.sec.gov/Archives/edgar/data/2041675/000121390025016024/ea0217283-06.htm#:~:text=Xiaomi%20Corporation,Trade & Services,DCR Tech Group Ltd
2025-02-11,cichy_china,https://www.sec.gov/Archives/edgar/data/2037080/000121390025012263/ea0213178-04.htm#:~:text=China%20Construction%20Bank%20Corporation,Manufacturing,Qinhui Technology International Co. Ltd.
