ownerOrg,period,count,component
Technology,0,1,aapl_us
Technology,1,1,aapl_us
Industrial Applications and Services,0,1,msft_us
Technology,0,1,msft_us
Manufacturing,1,1,tsla_us
Manufacturing,0,1,nvda_us
Technology,1,1,nvda_us
Manufacturing,1,1,intc_us
Life Sciences,1,1,jpm_us
Trade & Services,0,1,v_us
Technology,0,1,sap_germany
Technology,1,1,sap_germany
Technology,1,1,dbk_germany
Energy & Transportation,1,1,baba_china
Trade & Services,0,1,xiacf_china
Crypto Assets,1,2,icbc_china
Trade & Services,1,1,icbc_china
Manufacturing,0,1,cichy_china
Trade & Services,1,1,cichy_china
