cik,date,value,component
817720,2001-01-01,1,domestic_us
832489,2001-01-01,1,domestic_us
878375,2001-01-01,1,domestic_us
910467,2001-01-01,1,domestic_us
924642,2001-01-01,1,domestic_us
924829,2001-01-01,1,domestic_us
1019671,2001-01-01,1,domestic_us
1043769,2001-01-01,1,domestic_us
1045598,2001-01-01,1,domestic_us
1058425,2001-01-01,1,domestic_us
1068875,2001-01-01,1,domestic_us
1082114,2001-01-01,1,domestic_us
1085705,2001-01-01,1,domestic_us
1087879,2001-01-01,1,domestic_us
1088454,2001-01-01,1,domestic_us
1094561,2001-01-01,1,domestic_us
1094816,2001-01-01,1,domestic_us
1096479,2001-01-01,1,domestic_us
1106737,2001-01-01,1,domestic_us
1107112,2001-01-01,1,domestic_us
1114040,2001-01-01,1,domestic_us
1120236,2001-01-01,1,domestic_us
1121786,2001-01-01,1,domestic_us
1123028,2001-01-01,1,domestic_us
1131940,2001-01-01,1,domestic_us
1132809,2001-01-01,1,domestic_us
1134538,2001-01-01,1,domestic_us
1137067,2001-01-01,1,domestic_us
1137273,2001-01-01,1,domestic_us
1144528,2001-01-01,1,domestic_us
1161978,2001-01-01,1,domestic_us
20232,2002-01-01,1,domestic_us
319450,2002-01-01,1,domestic_us
727634,2002-01-01,1,domestic_us
799088,2002-01-01,1,domestic_us
878375,2002-01-01,1,domestic_us
910467,2002-01-01,1,domestic_us
916540,2002-01-01,1,domestic_us
924642,2002-01-01,1,domestic_us
1005690,2002-01-01,1,domestic_us
1013243,2002-01-01,1,domestic_us
1024729,2002-01-01,1,domestic_us
1030058,2002-01-01,1,domestic_us
1031308,2002-01-01,1,domestic_us
1039399,2002-01-01,1,domestic_us
1040736,2002-01-01,1,domestic_us
1045598,2002-01-01,1,domestic_us
1058959,2002-01-01,1,domestic_us
1065280,2002-01-01,1,domestic_us
1095007,2002-01-01,1,domestic_us
1099290,2002-01-01,1,domestic_us
1103415,2002-01-01,1,domestic_us
1104332,2002-01-01,1,domestic_us
1108244,2002-01-01,1,domestic_us
1116613,2002-01-01,1,domestic_us
1123624,2002-01-01,1,domestic_us
1130713,2002-01-01,1,domestic_us
1133324,2002-01-01,1,domestic_us
1134538,2002-01-01,1,domestic_us
1137789,2002-01-01,1,domestic_us
1138951,2002-01-01,1,domestic_us
1165532,2002-01-01,1,domestic_us
1171014,2002-01-01,1,domestic_us
1172241,2002-01-01,1,domestic_us
1175474,2002-01-01,1,domestic_us
1175820,2002-01-01,1,domestic_us
1175823,2002-01-01,1,domestic_us
1175827,2002-01-01,1,domestic_us
1175829,2002-01-01,1,domestic_us
1175831,2002-01-01,1,domestic_us
1176583,2002-01-01,1,domestic_us
1176585,2002-01-01,1,domestic_us
1209709,2002-01-01,1,domestic_us
109261,2003-01-01,1,domestic_us
310433,2003-01-01,1,domestic_us
319450,2003-01-01,1,domestic_us
727634,2003-01-01,1,domestic_us
768119,2003-01-01,1,domestic_us
828119,2003-01-01,1,domestic_us
831967,2003-01-01,1,domestic_us
873538,2003-01-01,1,domestic_us
878375,2003-01-01,1,domestic_us
910467,2003-01-01,1,domestic_us
910638,2003-01-01,1,domestic_us
924642,2003-01-01,1,domestic_us
927829,2003-01-01,1,domestic_us
945384,2003-01-01,1,domestic_us
1035748,2003-01-01,1,domestic_us
1039399,2003-01-01,1,domestic_us
1053374,2003-01-01,1,domestic_us
1062449,2003-01-01,1,domestic_us
1078337,2003-01-01,1,domestic_us
1085223,2003-01-01,1,domestic_us
1104332,2003-01-01,1,domestic_us
1108524,2003-01-01,1,domestic_us
1112422,2003-01-01,1,domestic_us
1114084,2003-01-01,1,domestic_us
1122904,2003-01-01,1,domestic_us
1126499,2003-01-01,1,domestic_us
1130713,2003-01-01,1,domestic_us
1137789,2003-01-01,1,domestic_us
1140486,2003-01-01,1,domestic_us
1166720,2003-01-01,1,domestic_us
1172480,2003-01-01,1,domestic_us
1177394,2003-01-01,1,domestic_us
1209709,2003-01-01,1,domestic_us
1214816,2003-01-01,1,domestic_us
1226308,2003-01-01,1,domestic_us
1236038,2003-01-01,1,domestic_us
1243800,2003-01-01,1,domestic_us
1261694,2003-01-01,1,domestic_us
1261888,2003-01-01,1,domestic_us
1263756,2003-01-01,1,domestic_us
1264242,2003-01-01,1,domestic_us
1272547,2003-01-01,1,domestic_us
1274081,2003-01-01,1,domestic_us
216039,2004-01-01,1,domestic_us
225868,2004-01-01,1,domestic_us
723785,2004-01-01,1,domestic_us
727634,2004-01-01,1,domestic_us
750813,2004-01-01,1,domestic_us
804888,2004-01-01,1,domestic_us
831967,2004-01-01,1,domestic_us
832812,2004-01-01,1,domestic_us
851560,2004-01-01,1,domestic_us
870398,2004-01-01,1,domestic_us
878375,2004-01-01,1,domestic_us
910467,2004-01-01,1,domestic_us
913586,2004-01-01,1,domestic_us
922237,2004-01-01,1,domestic_us
932372,2004-01-01,1,domestic_us
942650,2004-01-01,1,domestic_us
944136,2004-01-01,1,domestic_us
1043639,2004-01-01,1,domestic_us
1049172,2004-01-01,1,domestic_us
1049291,2004-01-01,1,domestic_us
1049296,2004-01-01,1,domestic_us
1049303,2004-01-01,1,domestic_us
1050180,2004-01-01,1,domestic_us
1050550,2004-01-01,1,domestic_us
1064648,2004-01-01,1,domestic_us
1071806,2004-01-01,1,domestic_us
1076499,2004-01-01,1,domestic_us
1076682,2004-01-01,1,domestic_us
1076881,2004-01-01,1,domestic_us
1091158,2004-01-01,1,domestic_us
1091667,2004-01-01,1,domestic_us
1094019,2004-01-01,1,domestic_us
1099674,2004-01-01,1,domestic_us
1100124,2004-01-01,1,domestic_us
1101169,2004-01-01,1,domestic_us
1106942,2004-01-01,1,domestic_us
1107389,2004-01-01,1,domestic_us
1108482,2004-01-01,1,domestic_us
1108906,2004-01-01,1,domestic_us
1111247,2004-01-01,1,domestic_us
1116755,2004-01-01,1,domestic_us
1122080,2004-01-01,1,domestic_us
1122904,2004-01-01,1,domestic_us
1126119,2004-01-01,1,domestic_us
1126167,2004-01-01,1,domestic_us
1133324,2004-01-01,1,domestic_us
1135271,2004-01-01,1,domestic_us
1135711,2004-01-01,1,domestic_us
1138804,2004-01-01,1,domestic_us
1144354,2004-01-01,1,domestic_us
1145750,2004-01-01,1,domestic_us
1160719,2004-01-01,1,domestic_us
1163943,2004-01-01,1,domestic_us
1172139,2004-01-01,1,domestic_us
1172480,2004-01-01,1,domestic_us
1172754,2004-01-01,1,domestic_us
1172755,2004-01-01,1,domestic_us
1172758,2004-01-01,1,domestic_us
1172767,2004-01-01,1,domestic_us
1174527,2004-01-01,1,domestic_us
1178056,2004-01-01,1,domestic_us
1198126,2004-01-01,1,domestic_us
1198131,2004-01-01,1,domestic_us
1198134,2004-01-01,1,domestic_us
1198137,2004-01-01,1,domestic_us
1198138,2004-01-01,1,domestic_us
1198140,2004-01-01,1,domestic_us
1198142,2004-01-01,1,domestic_us
1198143,2004-01-01,1,domestic_us
1198147,2004-01-01,1,domestic_us
1198148,2004-01-01,1,domestic_us
1198149,2004-01-01,1,domestic_us
1198151,2004-01-01,1,domestic_us
1198153,2004-01-01,1,domestic_us
1198155,2004-01-01,1,domestic_us
1198158,2004-01-01,1,domestic_us
1198161,2004-01-01,1,domestic_us
1198168,2004-01-01,1,domestic_us
1198170,2004-01-01,1,domestic_us
1198172,2004-01-01,1,domestic_us
1198178,2004-01-01,1,domestic_us
1198179,2004-01-01,1,domestic_us
1198182,2004-01-01,1,domestic_us
1198184,2004-01-01,1,domestic_us
1198186,2004-01-01,1,domestic_us
1198187,2004-01-01,1,domestic_us
1198188,2004-01-01,1,domestic_us
1198189,2004-01-01,1,domestic_us
1198190,2004-01-01,1,domestic_us
1198191,2004-01-01,1,domestic_us
1198192,2004-01-01,1,domestic_us
1198204,2004-01-01,1,domestic_us
1198205,2004-01-01,1,domestic_us
1198206,2004-01-01,1,domestic_us
1198208,2004-01-01,1,domestic_us
1198210,2004-01-01,1,domestic_us
1198233,2004-01-01,1,domestic_us
1198239,2004-01-01,1,domestic_us
1198240,2004-01-01,1,domestic_us
1198241,2004-01-01,1,domestic_us
1198242,2004-01-01,1,domestic_us
1198244,2004-01-01,1,domestic_us
1198245,2004-01-01,1,domestic_us
1198246,2004-01-01,1,domestic_us
1198247,2004-01-01,1,domestic_us
1198249,2004-01-01,1,domestic_us
1198250,2004-01-01,1,domestic_us
1198252,2004-01-01,1,domestic_us
1198253,2004-01-01,1,domestic_us
1198254,2004-01-01,1,domestic_us
1198256,2004-01-01,1,domestic_us
1198257,2004-01-01,1,domestic_us
1198259,2004-01-01,1,domestic_us
1198261,2004-01-01,1,domestic_us
1198262,2004-01-01,1,domestic_us
1198264,2004-01-01,1,domestic_us
1198265,2004-01-01,1,domestic_us
1198266,2004-01-01,1,domestic_us
1198267,2004-01-01,1,domestic_us
1198268,2004-01-01,1,domestic_us
1198271,2004-01-01,1,domestic_us
1198273,2004-01-01,1,domestic_us
1198274,2004-01-01,1,domestic_us
1198275,2004-01-01,1,domestic_us
1198277,2004-01-01,1,domestic_us
1198281,2004-01-01,1,domestic_us
1198282,2004-01-01,1,domestic_us
1198285,2004-01-01,1,domestic_us
1198288,2004-01-01,1,domestic_us
1198290,2004-01-01,1,domestic_us
1198294,2004-01-01,1,domestic_us
1198297,2004-01-01,1,domestic_us
1198301,2004-01-01,1,domestic_us
1198305,2004-01-01,1,domestic_us
1198307,2004-01-01,1,domestic_us
1198309,2004-01-01,1,domestic_us
1198310,2004-01-01,1,domestic_us
1198312,2004-01-01,1,domestic_us
1198313,2004-01-01,1,domestic_us
1198316,2004-01-01,1,domestic_us
1198317,2004-01-01,1,domestic_us
1198318,2004-01-01,1,domestic_us
1198319,2004-01-01,1,domestic_us
1198322,2004-01-01,1,domestic_us
1198326,2004-01-01,1,domestic_us
1200720,2004-01-01,1,domestic_us
1205915,2004-01-01,1,domestic_us
1205916,2004-01-01,1,domestic_us
1205962,2004-01-01,1,domestic_us
1205963,2004-01-01,1,domestic_us
1209709,2004-01-01,1,domestic_us
1210001,2004-01-01,1,domestic_us
1214816,2004-01-01,1,domestic_us
1219210,2004-01-01,1,domestic_us
1248140,2004-01-01,1,domestic_us
1255145,2004-01-01,1,domestic_us
1260167,2004-01-01,1,domestic_us
1260618,2004-01-01,1,domestic_us
1260619,2004-01-01,1,domestic_us
1260620,2004-01-01,1,domestic_us
1260621,2004-01-01,1,domestic_us
1260623,2004-01-01,1,domestic_us
1260624,2004-01-01,1,domestic_us
1260627,2004-01-01,1,domestic_us
1260630,2004-01-01,1,domestic_us
1260631,2004-01-01,1,domestic_us
1260632,2004-01-01,1,domestic_us
1261694,2004-01-01,1,domestic_us
1263756,2004-01-01,1,domestic_us
1270400,2004-01-01,1,domestic_us
1277856,2004-01-01,1,domestic_us
1278027,2004-01-01,1,domestic_us
1278028,2004-01-01,1,domestic_us
1280370,2004-01-01,1,domestic_us
1280373,2004-01-01,1,domestic_us
