filing_date,count,component
2007-06-30,1,us_aapl-domestic
2007-09-30,0,us_aapl-domestic
2007-12-31,1,us_aapl-domestic
2008-03-31,1,us_aapl-domestic
2008-06-30,1,us_aapl-domestic
2008-09-30,0,us_aapl-domestic
2008-12-31,0,us_aapl-domestic
2009-03-31,0,us_aapl-domestic
2009-06-30,0,us_aapl-domestic
2009-09-30,1,us_aapl-domestic
2009-12-31,0,us_aapl-domestic
2010-03-31,3,us_aapl-domestic
2010-06-30,2,us_aapl-domestic
2010-09-30,3,us_aapl-domestic
2010-12-31,2,us_aapl-domestic
2011-03-31,3,us_aapl-domestic
2011-06-30,8,us_aapl-domestic
2011-09-30,4,us_aapl-domestic
2011-12-31,4,us_aapl-domestic
2012-03-31,5,us_aapl-domestic
2012-06-30,4,us_aapl-domestic
2012-09-30,1,us_aapl-domestic
2012-12-31,5,us_aapl-domestic
2013-03-31,1,us_aapl-domestic
2013-06-30,4,us_aapl-domestic
2013-09-30,8,us_aapl-domestic
2013-12-31,6,us_aapl-domestic
2014-03-31,7,us_aapl-domestic
2014-06-30,5,us_aapl-domestic
2014-09-30,4,us_aapl-domestic
2014-12-31,5,us_aapl-domestic
2015-03-31,5,us_aapl-domestic
2015-06-30,4,us_aapl-domestic
2015-09-30,3,us_aapl-domestic
2015-12-31,4,us_aapl-domestic
2016-03-31,1,us_aapl-domestic
2016-06-30,4,us_aapl-domestic
2016-09-30,1,us_aapl-domestic
2016-12-31,1,us_aapl-domestic
2017-03-31,2,us_aapl-domestic
2017-06-30,3,us_aapl-domestic
2017-09-30,1,us_aapl-domestic
2017-12-31,0,us_aapl-domestic
2018-03-31,3,us_aapl-domestic
2018-06-30,4,us_aapl-domestic
2018-09-30,3,us_aapl-domestic
2018-12-31,2,us_aapl-domestic
2019-03-31,2,us_aapl-domestic
2019-06-30,4,us_aapl-domestic
2019-09-30,2,us_aapl-domestic
2019-12-31,3,us_aapl-domestic
2020-03-31,2,us_aapl-domestic
2020-06-30,8,us_aapl-domestic
2020-09-30,8,us_aapl-domestic
2020-12-31,9,us_aapl-domestic
2021-03-31,8,us_aapl-domestic
2021-06-30,8,us_aapl-domestic
2021-09-30,15,us_aapl-domestic
2021-12-31,15,us_aapl-domestic
2022-03-31,7,us_aapl-domestic
2022-06-30,5,us_aapl-domestic
2022-09-30,3,us_aapl-domestic
2022-12-31,0,us_aapl-domestic
2023-03-31,1,us_aapl-domestic
2023-06-30,2,us_aapl-domestic
2023-09-30,1,us_aapl-domestic
2023-12-31,1,us_aapl-domestic
2024-03-31,1,us_aapl-domestic
2024-06-30,1,us_aapl-domestic
2024-09-30,3,us_aapl-domestic
2024-12-31,1,us_aapl-domestic
2025-03-31,1,us_aapl-domestic
2001-03-31,1,us_aapl-international
2001-06-30,0,us_aapl-international
2001-09-30,0,us_aapl-international
2001-12-31,0,us_aapl-international
2002-03-31,0,us_aapl-international
