filing_date,component,url,ownerOrg,name,cik
2024-11-22,domestic_us,https://www.sec.gov/Archives/edgar/data/1141240/000143774924036047/lqmt20241121_s1.htm#:~:text=Apple%20Inc.&text=Microsoft%20Corporation&text=Google%20Inc.&text=Alphabet%20Inc.&text=Amazon.com%2C%20Inc.&text=Facebook%2C%20Inc.&text=Meta%20Platforms%2C%20Inc.&text=Netflix%2C%20Inc.&text=Tesla%2C%20Inc.&text=Tesla%20Motors%2C%20Inc.&text=NVIDIA%20Corporation&text=Intel%20Corporation&text=Salesforce.com%2C%20Inc.&text=Salesforce%2C%20Inc.&text=JPMorgan%20Chase%20%26%20Co.&text=The%20Goldman%20Sachs%20Group%2C%20Inc.&text=Visa%20Inc.&text=PayPal%20Holdings%2C%20Inc.&text=Berkshire%20Hathaway%20Inc.&text=Walmart%20Inc.&text=Costco%20Wholesale%20Corporation&text=Starbucks%20Corporation&text=McDonald%27s%20Corporation&text=NIKE%2C%20Inc.,Industrial Applications and Services,LIQUIDMETAL TECHNOLOGIES INC,1141240
2025-02-28,domestic_us,https://www.sec.gov/Archives/edgar/data/2055491/000121390025018303/ea023253601ex5-1_aapl1.htm#:~:text=Apple%20Inc.&text=Microsoft%20Corporation&text=Google%20Inc.&text=Alphabet%20Inc.&text=Amazon.com%2C%20Inc.&text=Facebook%2C%20Inc.&text=Meta%20Platforms%2C%20Inc.&text=Netflix%2C%20Inc.&text=Tesla%2C%20Inc.&text=Tesla%20Motors%2C%20Inc.&text=NVIDIA%20Corporation&text=Intel%20Corporation&text=Salesforce.com%2C%20Inc.&text=Salesforce%2C%20Inc.&text=JPMorgan%20Chase%20%26%20Co.&text=The%20Goldman%20Sachs%20Group%2C%20Inc.&text=Visa%20Inc.&text=PayPal%20Holdings%2C%20Inc.&text=Berkshire%20Hathaway%20Inc.&text=Walmart%20Inc.&text=Costco%20Wholesale%20Corporation&text=Starbucks%20Corporation&text=McDonald%27s%20Corporation&text=NIKE%2C%20Inc.,Crypto Assets,Permuto Capital AAPL Trust I,2055491
2024-06-07,domestic_us,https://www.sec.gov/Archives/edgar/data/1832483/000121390024050861/ea0207442-s1_serverobo.htm#:~:text=Apple%20Inc.&text=Microsoft%20Corporation&text=Google%20Inc.&text=Alphabet%20Inc.&text=Amazon.com%2C%20Inc.&text=Facebook%2C%20Inc.&text=Meta%20Platforms%2C%20Inc.&text=Netflix%2C%20Inc.&text=Tesla%2C%20Inc.&text=Tesla%20Motors%2C%20Inc.&text=NVIDIA%20Corporation&text=Intel%20Corporation&text=Salesforce.com%2C%20Inc.&text=Salesforce%2C%20Inc.&text=JPMorgan%20Chase%20%26%20Co.&text=The%20Goldman%20Sachs%20Group%2C%20Inc.&text=Visa%20Inc.&text=PayPal%20Holdings%2C%20Inc.&text=Berkshire%20Hathaway%20Inc.&text=Walmart%20Inc.&text=Costco%20Wholesale%20Corporation&text=Starbucks%20Corporation&text=McDonald%27s%20Corporation&text=NIKE%2C%20Inc.,Technology,Serve Robotics Inc. /DE/,1832483
2024-07-31,domestic_us,https://www.sec.gov/Archives/edgar/data/1832483/000101376224002864/ea0210253-s1_serverobo.htm#:~:text=Apple%20Inc.&text=Microsoft%20Corporation&text=Google%20Inc.&text=Alphabet%20Inc.&text=Amazon.com%2C%20Inc.&text=Facebook%2C%20Inc.&text=Meta%20Platforms%2C%20Inc.&text=Netflix%2C%20Inc.&text=Tesla%2C%20Inc.&text=Tesla%20Motors%2C%20Inc.&text=NVIDIA%20Corporation&text=Intel%20Corporation&text=Salesforce.com%2C%20Inc.&text=Salesforce%2C%20Inc.&text=JPMorgan%20Chase%20%26%20Co.&text=The%20Goldman%20Sachs%20Group%2C%20Inc.&text=Visa%20Inc.&text=PayPal%20Holdings%2C%20Inc.&text=Berkshire%20Hathaway%20Inc.&text=Walmart%20Inc.&text=Costco%20Wholesale%20Corporation&text=Starbucks%20Corporation&text=McDonald%27s%20Corporation&text=NIKE%2C%20Inc.,Technology,Serve Robotics Inc. /DE/,1832483
2024-09-30,domestic_us,https://www.sec.gov/Archives/edgar/data/1897762/000119312524228597/d126458ds1.htm#:~:text=Apple%20Inc.&text=Microsoft%20Corporation&text=Google%20Inc.&text=Alphabet%20Inc.&text=Amazon.com%2C%20Inc.&text=Facebook%2C%20Inc.&text=Meta%20Platforms%2C%20Inc.&text=Netflix%2C%20Inc.&text=Tesla%2C%20Inc.&text=Tesla%20Motors%2C%20Inc.&text=NVIDIA%20Corporation&text=Intel%20Corporation&text=Salesforce.com%2C%20Inc.&text=Salesforce%2C%20Inc.&text=JPMorgan%20Chase%20%26%20Co.&text=The%20Goldman%20Sachs%20Group%2C%20Inc.&text=Visa%20Inc.&text=PayPal%20Holdings%2C%20Inc.&text=Berkshire%20Hathaway%20Inc.&text=Walmart%20Inc.&text=Costco%20Wholesale%20Corporation&text=Starbucks%20Corporation&text=McDonald%27s%20Corporation&text=NIKE%2C%20Inc.,Trade & Services,Ingram Micro Holding Corp,1897762
2024-08-05,domestic_us,https://www.sec.gov/Archives/edgar/data/1818644/000143774924024559/lidr-20240331.htm#:~:text=Apple%20Inc.&text=Microsoft%20Corporation&text=Google%20Inc.&text=Alphabet%20Inc.&text=Amazon.com%2C%20Inc.&text=Facebook%2C%20Inc.&text=Meta%20Platforms%2C%20Inc.&text=Netflix%2C%20Inc.&text=Tesla%2C%20Inc.&text=Tesla%20Motors%2C%20Inc.&text=NVIDIA%20Corporation&text=Intel%20Corporation&text=Salesforce.com%2C%20Inc.&text=Salesforce%2C%20Inc.&text=JPMorgan%20Chase%20%26%20Co.&text=The%20Goldman%20Sachs%20Group%2C%20Inc.&text=Visa%20Inc.&text=PayPal%20Holdings%2C%20Inc.&text=Berkshire%20Hathaway%20Inc.&text=Walmart%20Inc.&text=Costco%20Wholesale%20Corporation&text=Starbucks%20Corporation&text=McDonald%27s%20Corporation&text=NIKE%2C%20Inc.,Manufacturing,"AEye, Inc.",1818644
2025-01-15,domestic_us,https://www.sec.gov/Archives/edgar/data/2051974/000121390025003602/ea022772101ex5-1_permuto1.htm#:~:text=Apple%20Inc.&text=Microsoft%20Corporation&text=Google%20Inc.&text=Alphabet%20Inc.&text=Amazon.com%2C%20Inc.&text=Facebook%2C%20Inc.&text=Meta%20Platforms%2C%20Inc.&text=Netflix%2C%20Inc.&text=Tesla%2C%20Inc.&text=Tesla%20Motors%2C%20Inc.&text=NVIDIA%20Corporation&text=Intel%20Corporation&text=Salesforce.com%2C%20Inc.&text=Salesforce%2C%20Inc.&text=JPMorgan%20Chase%20%26%20Co.&text=The%20Goldman%20Sachs%20Group%2C%20Inc.&text=Visa%20Inc.&text=PayPal%20Holdings%2C%20Inc.&text=Berkshire%20Hathaway%20Inc.&text=Walmart%20Inc.&text=Costco%20Wholesale%20Corporation&text=Starbucks%20Corporation&text=McDonald%27s%20Corporation&text=NIKE%2C%20Inc.,Crypto Assets,Permuto Capital MSFT Trust I,2051974
2025-03-03,domestic_us,https://www.sec.gov/Archives/edgar/data/1769628/000119312525044231/d899798dex1023.htm#:~:text=Apple%20Inc.&text=Microsoft%20Corporation&text=Google%20Inc.&text=Alphabet%20Inc.&text=Amazon.com%2C%20Inc.&text=Facebook%2C%20Inc.&text=Meta%20Platforms%2C%20Inc.&text=Netflix%2C%20Inc.&text=Tesla%2C%20Inc.&text=Tesla%20Motors%2C%20Inc.&text=NVIDIA%20Corporation&text=Intel%20Corporation&text=Salesforce.com%2C%20Inc.&text=Salesforce%2C%20Inc.&text=JPMorgan%20Chase%20%26%20Co.&text=The%20Goldman%20Sachs%20Group%2C%20Inc.&text=Visa%20Inc.&text=PayPal%20Holdings%2C%20Inc.&text=Berkshire%20Hathaway%20Inc.&text=Walmart%20Inc.&text=Costco%20Wholesale%20Corporation&text=Starbucks%20Corporation&text=McDonald%27s%20Corporation&text=NIKE%2C%20Inc.,Technology,"CoreWeave, Inc.",1769628
2024-08-20,domestic_us,https://www.sec.gov/Archives/edgar/data/1821175/000149315224033269/forms-1.htm#:~:text=Apple%20Inc.&text=Microsoft%20Corporation&text=Google%20Inc.&text=Alphabet%20Inc.&text=Amazon.com%2C%20Inc.&text=Facebook%2C%20Inc.&text=Meta%20Platforms%2C%20Inc.&text=Netflix%2C%20Inc.&text=Tesla%2C%20Inc.&text=Tesla%20Motors%2C%20Inc.&text=NVIDIA%20Corporation&text=Intel%20Corporation&text=Salesforce.com%2C%20Inc.&text=Salesforce%2C%20Inc.&text=JPMorgan%20Chase%20%26%20Co.&text=The%20Goldman%20Sachs%20Group%2C%20Inc.&text=Visa%20Inc.&text=PayPal%20Holdings%2C%20Inc.&text=Berkshire%20Hathaway%20Inc.&text=Walmart%20Inc.&text=Costco%20Wholesale%20Corporation&text=Starbucks%20Corporation&text=McDonald%27s%20Corporation&text=NIKE%2C%20Inc.,Technology,Motorsport Games Inc.,1821175
2024-06-24,domestic_us,https://www.sec.gov/Archives/edgar/data/1637147/000110465924074045/tm244059d11_ex10-13.htm#:~:text=Apple%20Inc.&text=Microsoft%20Corporation&text=Google%20Inc.&text=Alphabet%20Inc.&text=Amazon.com%2C%20Inc.&text=Facebook%2C%20Inc.&text=Meta%20Platforms%2C%20Inc.&text=Netflix%2C%20Inc.&text=Tesla%2C%20Inc.&text=Tesla%20Motors%2C%20Inc.&text=NVIDIA%20Corporation&text=Intel%20Corporation&text=Salesforce.com%2C%20Inc.&text=Salesforce%2C%20Inc.&text=JPMorgan%20Chase%20%26%20Co.&text=The%20Goldman%20Sachs%20Group%2C%20Inc.&text=Visa%20Inc.&text=PayPal%20Holdings%2C%20Inc.&text=Berkshire%20Hathaway%20Inc.&text=Walmart%20Inc.&text=Costco%20Wholesale%20Corporation&text=Starbucks%20Corporation&text=McDonald%27s%20Corporation&text=NIKE%2C%20Inc.,Technology,"zSpace, Inc.",1637147
2025-03-07,domestic_us,https://www.sec.gov/Archives/edgar/data/946155/000162828025011163/tiaarealestateaccounts-120.htm#:~:text=Apple%20Inc.&text=Microsoft%20Corporation&text=Google%20Inc.&text=Alphabet%20Inc.&text=Amazon.com%2C%20Inc.&text=Facebook%2C%20Inc.&text=Meta%20Platforms%2C%20Inc.&text=Netflix%2C%20Inc.&text=Tesla%2C%20Inc.&text=Tesla%20Motors%2C%20Inc.&text=NVIDIA%20Corporation&text=Intel%20Corporation&text=Salesforce.com%2C%20Inc.&text=Salesforce%2C%20Inc.&text=JPMorgan%20Chase%20%26%20Co.&text=The%20Goldman%20Sachs%20Group%2C%20Inc.&text=Visa%20Inc.&text=PayPal%20Holdings%2C%20Inc.&text=Berkshire%20Hathaway%20Inc.&text=Walmart%20Inc.&text=Costco%20Wholesale%20Corporation&text=Starbucks%20Corporation&text=McDonald%27s%20Corporation&text=NIKE%2C%20Inc.,Real Estate & Construction,TIAA REAL ESTATE ACCOUNT,946155
2025-03-10,domestic_us,https://www.sec.gov/Archives/edgar/data/1673743/000119312525051004/d829170ds1.htm#:~:text=Apple%20Inc.&text=Microsoft%20Corporation&text=Google%20Inc.&text=Alphabet%20Inc.&text=Amazon.com%2C%20Inc.&text=Facebook%2C%20Inc.&text=Meta%20Platforms%2C%20Inc.&text=Netflix%2C%20Inc.&text=Tesla%2C%20Inc.&text=Tesla%20Motors%2C%20Inc.&text=NVIDIA%20Corporation&text=Intel%20Corporation&text=Salesforce.com%2C%20Inc.&text=Salesforce%2C%20Inc.&text=JPMorgan%20Chase%20%26%20Co.&text=The%20Goldman%20Sachs%20Group%2C%20Inc.&text=Visa%20Inc.&text=PayPal%20Holdings%2C%20Inc.&text=Berkshire%20Hathaway%20Inc.&text=Walmart%20Inc.&text=Costco%20Wholesale%20Corporation&text=Starbucks%20Corporation&text=McDonald%27s%20Corporation&text=NIKE%2C%20Inc.,Technology,"Hinge Health, Inc.",1673743
2024-10-30,domestic_us,https://www.sec.gov/Archives/edgar/data/2028516/000143774924032517/arct20241026_s1.htm#:~:text=Apple%20Inc.&text=Microsoft%20Corporation&text=Google%20Inc.&text=Alphabet%20Inc.&text=Amazon.com%2C%20Inc.&text=Facebook%2C%20Inc.&text=Meta%20Platforms%2C%20Inc.&text=Netflix%2C%20Inc.&text=Tesla%2C%20Inc.&text=Tesla%20Motors%2C%20Inc.&text=NVIDIA%20Corporation&text=Intel%20Corporation&text=Salesforce.com%2C%20Inc.&text=Salesforce%2C%20Inc.&text=JPMorgan%20Chase%20%26%20Co.&text=The%20Goldman%20Sachs%20Group%2C%20Inc.&text=Visa%20Inc.&text=PayPal%20Holdings%2C%20Inc.&text=Berkshire%20Hathaway%20Inc.&text=Walmart%20Inc.&text=Costco%20Wholesale%20Corporation&text=Starbucks%20Corporation&text=McDonald%27s%20Corporation&text=NIKE%2C%20Inc.,Real Estate & Construction,Archimedes Tech SPAC Partners II Co.,2028516
2024-09-30,domestic_us,https://www.sec.gov/Archives/edgar/data/2021728/000162828024041596/cerebras-sx1.htm#:~:text=Apple%20Inc.&text=Microsoft%20Corporation&text=Google%20Inc.&text=Alphabet%20Inc.&text=Amazon.com%2C%20Inc.&text=Facebook%2C%20Inc.&text=Meta%20Platforms%2C%20Inc.&text=Netflix%2C%20Inc.&text=Tesla%2C%20Inc.&text=Tesla%20Motors%2C%20Inc.&text=NVIDIA%20Corporation&text=Intel%20Corporation&text=Salesforce.com%2C%20Inc.&text=Salesforce%2C%20Inc.&text=JPMorgan%20Chase%20%26%20Co.&text=The%20Goldman%20Sachs%20Group%2C%20Inc.&text=Visa%20Inc.&text=PayPal%20Holdings%2C%20Inc.&text=Berkshire%20Hathaway%20Inc.&text=Walmart%20Inc.&text=Costco%20Wholesale%20Corporation&text=Starbucks%20Corporation&text=McDonald%27s%20Corporation&text=NIKE%2C%20Inc.,Manufacturing,Cerebras Systems Inc.,2021728
2024-11-12,domestic_us,https://www.sec.gov/Archives/edgar/data/1889956/000095017024125373/ck0001889956-20241112.htm#:~:text=Apple%20Inc.&text=Microsoft%20Corporation&text=Google%20Inc.&text=Alphabet%20Inc.&text=Amazon.com%2C%20Inc.&text=Facebook%2C%20Inc.&text=Meta%20Platforms%2C%20Inc.&text=Netflix%2C%20Inc.&text=Tesla%2C%20Inc.&text=Tesla%20Motors%2C%20Inc.&text=NVIDIA%20Corporation&text=Intel%20Corporation&text=Salesforce.com%2C%20Inc.&text=Salesforce%2C%20Inc.&text=JPMorgan%20Chase%20%26%20Co.&text=The%20Goldman%20Sachs%20Group%2C%20Inc.&text=Visa%20Inc.&text=PayPal%20Holdings%2C%20Inc.&text=Berkshire%20Hathaway%20Inc.&text=Walmart%20Inc.&text=Costco%20Wholesale%20Corporation&text=Starbucks%20Corporation&text=McDonald%27s%20Corporation&text=NIKE%2C%20Inc.,Technology,"OneStream, Inc.",1889956
2024-06-28,domestic_us,https://www.sec.gov/Archives/edgar/data/1889956/000095017024079050/onestream_s-1_ipo.htm#:~:text=Apple%20Inc.&text=Microsoft%20Corporation&text=Google%20Inc.&text=Alphabet%20Inc.&text=Amazon.com%2C%20Inc.&text=Facebook%2C%20Inc.&text=Meta%20Platforms%2C%20Inc.&text=Netflix%2C%20Inc.&text=Tesla%2C%20Inc.&text=Tesla%20Motors%2C%20Inc.&text=NVIDIA%20Corporation&text=Intel%20Corporation&text=Salesforce.com%2C%20Inc.&text=Salesforce%2C%20Inc.&text=JPMorgan%20Chase%20%26%20Co.&text=The%20Goldman%20Sachs%20Group%2C%20Inc.&text=Visa%20Inc.&text=PayPal%20Holdings%2C%20Inc.&text=Berkshire%20Hathaway%20Inc.&text=Walmart%20Inc.&text=Costco%20Wholesale%20Corporation&text=Starbucks%20Corporation&text=McDonald%27s%20Corporation&text=NIKE%2C%20Inc.,Technology,"OneStream, Inc.",1889956
2025-02-28,domestic_us,https://www.sec.gov/Archives/edgar/data/2055490/000121390025018305/ea0232537-01.htm#:~:text=Apple%20Inc.&text=Microsoft%20Corporation&text=Google%20Inc.&text=Alphabet%20Inc.&text=Amazon.com%2C%20Inc.&text=Facebook%2C%20Inc.&text=Meta%20Platforms%2C%20Inc.&text=Netflix%2C%20Inc.&text=Tesla%2C%20Inc.&text=Tesla%20Motors%2C%20Inc.&text=NVIDIA%20Corporation&text=Intel%20Corporation&text=Salesforce.com%2C%20Inc.&text=Salesforce%2C%20Inc.&text=JPMorgan%20Chase%20%26%20Co.&text=The%20Goldman%20Sachs%20Group%2C%20Inc.&text=Visa%20Inc.&text=PayPal%20Holdings%2C%20Inc.&text=Berkshire%20Hathaway%20Inc.&text=Walmart%20Inc.&text=Costco%20Wholesale%20Corporation&text=Starbucks%20Corporation&text=McDonald%27s%20Corporation&text=NIKE%2C%20Inc.,Crypto Assets,Permuto Capital AVGO Trust I,2055490
