ownerOrg,period,count,component
Crypto Assets,0,4,domestic_us
Crypto Assets,1,1,domestic_us
Energy & Transportation,0,1,domestic_us
Energy & Transportation,1,4,domestic_us
Finance,0,8,domestic_us
Finance,1,7,domestic_us
Industrial Applications and Services,0,10,domestic_us
Industrial Applications and Services,1,8,domestic_us
Life Sciences,0,6,domestic_us
Life Sciences,1,3,domestic_us
Manufacturing,0,12,domestic_us
Manufacturing,1,17,domestic_us
Real Estate & Construction,0,6,domestic_us
Real Estate & Construction,1,4,domestic_us
Technology,0,18,domestic_us
Technology,1,14,domestic_us
Trade & Services,0,12,domestic_us
Trade & Services,1,7,domestic_us
Energy & Transportation,1,1,international_us
Finance,0,1,international_us
Finance,1,1,international_us
Industrial Applications and Services,0,2,international_us
Life Sciences,0,1,international_us
Life Sciences,1,1,international_us
Manufacturing,0,8,international_us
Manufacturing,1,7,international_us
Real Estate & Construction,1,1,international_us
Technology,0,11,international_us
Technology,1,11,international_us
Trade & Services,0,1,international_us
Trade & Services,1,2,international_us
Crypto Assets,0,3,domestic_eu
Energy & Transportation,0,9,domestic_eu
Energy & Transportation,1,3,domestic_eu
Finance,0,1,domestic_eu
Finance,1,2,domestic_eu
Industrial Applications and Services,1,1,domestic_eu
Life Sciences,0,2,domestic_eu
Manufacturing,1,3,domestic_eu
Real Estate & Construction,0,3,domestic_eu
Technology,0,3,domestic_eu
Technology,1,5,domestic_eu
Trade & Services,0,2,domestic_eu
Trade & Services,1,3,domestic_eu
Energy & Transportation,0,3,international_eu
Energy & Transportation,1,1,international_eu
Finance,1,1,international_eu
Industrial Applications and Services,0,1,international_eu
Industrial Applications and Services,1,1,international_eu
Life Sciences,0,1,international_eu
Manufacturing,0,3,international_eu
Manufacturing,1,6,international_eu
Technology,0,5,international_eu
Technology,1,3,international_eu
Trade & Services,0,2,international_eu
Trade & Services,1,1,international_eu
Energy & Transportation,0,1,domestic_cn
Industrial Applications and Services,0,1,domestic_cn
Industrial Applications and Services,1,1,domestic_cn
Manufacturing,0,2,domestic_cn
Technology,0,1,domestic_cn
Technology,1,1,domestic_cn
Trade & Services,0,1,domestic_cn
Trade & Services,1,1,domestic_cn
Crypto Assets,0,2,international_cn
Crypto Assets,1,1,international_cn
Energy & Transportation,0,3,international_cn
Finance,1,2,international_cn
Industrial Applications and Services,1,1,international_cn
Life Sciences,1,1,international_cn
Manufacturing,0,3,international_cn
Manufacturing,1,2,international_cn
Technology,0,2,international_cn
Technology,1,1,international_cn
Trade & Services,0,5,international_cn
Trade & Services,1,4,international_cn
