cik,date,value,component
24104,2001-01-01,1,domestic
36047,2001-01-01,1,domestic
37808,2001-01-01,1,domestic
40888,2001-01-01,1,domestic
40934,2001-01-01,1,domestic
51072,2001-01-01,1,domestic
86115,2001-01-01,1,domestic
92259,2001-01-01,1,domestic
95304,2001-01-01,1,domestic
100885,2001-01-01,1,domestic
101778,2001-01-01,1,domestic
200533,2001-01-01,1,domestic
230211,2001-01-01,1,domestic
277948,2001-01-01,1,domestic
319459,2001-01-01,1,domestic
350920,2001-01-01,1,domestic
351721,2001-01-01,1,domestic
700564,2001-01-01,1,domestic
703109,2001-01-01,1,domestic
716054,2001-01-01,1,domestic
719598,2001-01-01,1,domestic
722392,2001-01-01,1,domestic
723619,2001-01-01,1,domestic
736291,2001-01-01,1,domestic
736994,2001-01-01,1,domestic
743316,2001-01-01,1,domestic
748856,2001-01-01,1,domestic
749420,2001-01-01,1,domestic
764180,2001-01-01,1,domestic
789073,2001-01-01,1,domestic
846815,2001-01-01,1,domestic
874482,2001-01-01,1,domestic
887420,2001-01-01,1,domestic
895419,2001-01-01,1,domestic
895716,2001-01-01,1,domestic
898660,2001-01-01,1,domestic
910566,2001-01-01,1,domestic
925054,2001-01-01,1,domestic
945321,2001-01-01,1,domestic
1002131,2001-01-01,1,domestic
1014960,2001-01-01,1,domestic
1021706,2001-01-01,1,domestic
1037599,2001-01-01,1,domestic
1039578,2001-01-01,1,domestic
1040339,2001-01-01,1,domestic
1041122,2001-01-01,1,domestic
1048911,2001-01-01,1,domestic
1052245,2001-01-01,1,domestic
1053676,2001-01-01,1,domestic
1057187,2001-01-01,1,domestic
1073672,2001-01-01,1,domestic
1084573,2001-01-01,1,domestic
1087831,2001-01-01,1,domestic
1090156,2001-01-01,1,domestic
1113148,2001-01-01,1,domestic
70578,2001-02-01,1,domestic
89107,2001-02-01,1,domestic
106455,2001-02-01,1,domestic
701856,2001-02-01,1,domestic
855109,2001-02-01,1,domestic
882160,2001-02-01,1,domestic
884217,2001-02-01,1,domestic
895095,2001-02-01,1,domestic
897795,2001-02-01,1,domestic
949587,2001-02-01,1,domestic
1011632,2001-02-01,1,domestic
1021706,2001-02-01,1,domestic
1024339,2001-02-01,1,domestic
1024725,2001-02-01,1,domestic
1027884,2001-02-01,1,domestic
1029445,2001-02-01,1,domestic
1030776,2001-02-01,1,domestic
1037390,2001-02-01,1,domestic
1046861,2001-02-01,1,domestic
