filing_date,component,url,ownerOrg,name,cik
2025-03-27,domestic,https://www.sec.gov/Archives/edgar/data/1826892/000095017025046065/bcab-20250327.htm#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Life Sciences,"BioAtla, Inc.",1826892
2025-03-25,domestic,https://www.sec.gov/Archives/edgar/data/1227654/000110465925027807/tm2510340d1_ex99-1.htm#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Energy & Transportation,COMPASS MINERALS INTERNATIONAL INC,1227654
2025-03-26,domestic,https://www.sec.gov/Archives/edgar/data/1787400/000095017025045231/nktx-ex99_1.htm#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Life Sciences,"Nkarta, Inc.",1787400
2025-03-26,domestic,https://www.sec.gov/Archives/edgar/data/1725160/000172516025000070/zntl_q42024earningspr.htm#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Life Sciences,"Zentalis Pharmaceuticals, Inc.",1725160
2025-03-26,domestic,https://www.sec.gov/Archives/edgar/data/1754820/000155837025003712/dm-20250326x8k.htm#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Technology,"Desktop Metal, Inc.",1754820
2025-03-27,domestic,https://www.sec.gov/Archives/edgar/data/1840292/000184029225000010/ex991-q42024earningsrelease.htm#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Energy & Transportation,"Heliogen, Inc.",1840292
2025-03-27,domestic,https://www.sec.gov/Archives/edgar/data/1447028/000117184325001760/exh_991.htm#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Life Sciences,Arbutus Biopharma Corp,1447028
2025-03-27,domestic,https://www.sec.gov/Archives/edgar/data/1832511/000162828025015165/piii-20250327xexx991.htm#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Industrial Applications and Services,P3 Health Partners Inc.,1832511
2025-03-25,domestic,https://www.sec.gov/Archives/edgar/data/91388/000009138825000018/q42024pressrelease.htm#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Manufacturing,SMITHFIELD FOODS INC,91388
2025-03-26,domestic,https://www.sec.gov/Archives/edgar/data/1050825/000117184325001723/exh_991.htm#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Manufacturing,STEELCASE INC,1050825
2025-03-26,domestic,https://www.sec.gov/Archives/edgar/data/66382/000006638225000020/mlkn8k_03012025ex991.htm#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Manufacturing,"MILLERKNOLL, INC.",66382
2025-03-21,domestic,https://www.sec.gov/Archives/edgar/data/812074/000110465925026683/tm259909d1_8k.htm#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Manufacturing,"O-I Glass, Inc. /DE/",812074
2025-03-21,domestic,https://www.sec.gov/Archives/edgar/data/8146/000119312525060225/d888857dex991.htm#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Technology,"AstroNova, Inc.",8146
2025-03-24,domestic,https://www.sec.gov/Archives/edgar/data/1799208/000110465925027293/tm2510133d1_ex2-1.htm#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Trade & Services,"Dun & Bradstreet Holdings, Inc.",1799208
2025-03-24,domestic,https://www.sec.gov/Archives/edgar/data/1320350/000119312525060906/d933651dex21.htm#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Industrial Applications and Services,"LENSAR, Inc.",1320350
2025-03-26,domestic,https://www.sec.gov/Archives/edgar/data/2019804/000101376225002481/ea023535501ex2-1_hcm2.htm#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Real Estate & Construction,HCM II Acquisition Corp.,2019804
2025-03-24,domestic,https://www.sec.gov/Archives/edgar/data/1782754/000119312525060788/d809559dex21.htm#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Industrial Applications and Services,AZEK Co Inc.,1782754
