cik,date,value,component
21344,2001-01-01,1,diversity_domestic
37748,2001-01-01,1,diversity_domestic
61986,2001-01-01,1,diversity_domestic
732717,2001-01-01,1,diversity_domestic
869486,2001-01-01,1,diversity_domestic
1013237,2001-01-01,1,diversity_domestic
1090727,2001-01-01,1,diversity_domestic
1092657,2001-01-01,1,diversity_domestic
1103837,2001-01-01,1,diversity_domestic
21344,2002-01-01,1,diversity_domestic
61986,2002-01-01,1,diversity_domestic
1005229,2002-01-01,1,diversity_domestic
1113247,2002-01-01,1,diversity_domestic
1124198,2002-01-01,1,diversity_domestic
1134538,2002-01-01,1,diversity_domestic
1143908,2002-01-01,1,diversity_domestic
4515,2003-01-01,1,diversity_domestic
21344,2003-01-01,1,diversity_domestic
25191,2003-01-01,1,diversity_domestic
28871,2003-01-01,1,diversity_domestic
36104,2003-01-01,1,diversity_domestic
61986,2003-01-01,1,diversity_domestic
63754,2003-01-01,1,diversity_domestic
73124,2003-01-01,1,diversity_domestic
91767,2003-01-01,1,diversity_domestic
310624,2003-01-01,1,diversity_domestic
732717,2003-01-01,1,diversity_domestic
819539,2003-01-01,1,diversity_domestic
871763,2003-01-01,1,diversity_domestic
884144,2003-01-01,1,diversity_domestic
918581,2003-01-01,1,diversity_domestic
1003344,2003-01-01,1,diversity_domestic
1005229,2003-01-01,1,diversity_domestic
1096385,2003-01-01,1,diversity_domestic
1113247,2003-01-01,1,diversity_domestic
1124198,2003-01-01,1,diversity_domestic
1129542,2003-01-01,1,diversity_domestic
1166691,2003-01-01,1,diversity_domestic
22606,2004-01-01,1,diversity_domestic
28871,2004-01-01,1,diversity_domestic
36104,2004-01-01,1,diversity_domestic
52466,2004-01-01,1,diversity_domestic
63754,2004-01-01,1,diversity_domestic
78100,2004-01-01,1,diversity_domestic
85812,2004-01-01,1,diversity_domestic
104169,2004-01-01,1,diversity_domestic
310624,2004-01-01,1,diversity_domestic
320431,2004-01-01,1,diversity_domestic
706015,2004-01-01,1,diversity_domestic
723254,2004-01-01,1,diversity_domestic
732712,2004-01-01,1,diversity_domestic
819539,2004-01-01,1,diversity_domestic
826083,2004-01-01,1,diversity_domestic
834105,2004-01-01,1,diversity_domestic
850483,2004-01-01,1,diversity_domestic
884144,2004-01-01,1,diversity_domestic
886206,2004-01-01,1,diversity_domestic
912463,2004-01-01,1,diversity_domestic
918581,2004-01-01,1,diversity_domestic
922521,2004-01-01,1,diversity_domestic
1003344,2004-01-01,1,diversity_domestic
1020391,2004-01-01,1,diversity_domestic
1079577,2004-01-01,1,diversity_domestic
1084765,2004-01-01,1,diversity_domestic
1094007,2004-01-01,1,diversity_domestic
1105705,2004-01-01,1,diversity_domestic
1109357,2004-01-01,1,diversity_domestic
1113247,2004-01-01,1,diversity_domestic
1166691,2004-01-01,1,diversity_domestic
1166928,2004-01-01,1,diversity_domestic
1168165,2004-01-01,1,diversity_domestic
1179929,2004-01-01,1,diversity_domestic
1192305,2004-01-01,1,diversity_domestic
1235162,2004-01-01,1,diversity_domestic
2969,2005-01-01,1,diversity_domestic
3333,2005-01-01,1,diversity_domestic
21344,2005-01-01,1,diversity_domestic
22606,2005-01-01,1,diversity_domestic
28871,2005-01-01,1,diversity_domestic
36104,2005-01-01,1,diversity_domestic
69488,2005-01-01,1,diversity_domestic
77476,2005-01-01,1,diversity_domestic
78100,2005-01-01,1,diversity_domestic
320431,2005-01-01,1,diversity_domestic
723615,2005-01-01,1,diversity_domestic
725549,2005-01-01,1,diversity_domestic
732712,2005-01-01,1,diversity_domestic
785161,2005-01-01,1,diversity_domestic
808362,2005-01-01,1,diversity_domestic
826083,2005-01-01,1,diversity_domestic
886206,2005-01-01,1,diversity_domestic
916457,2005-01-01,1,diversity_domestic
1003201,2005-01-01,1,diversity_domestic
1003344,2005-01-01,1,diversity_domestic
1045560,2005-01-01,1,diversity_domestic
1050180,2005-01-01,1,diversity_domestic
1084765,2005-01-01,1,diversity_domestic
1109357,2005-01-01,1,diversity_domestic
1133421,2005-01-01,1,diversity_domestic
1137399,2005-01-01,1,diversity_domestic
1166928,2005-01-01,1,diversity_domestic
1168165,2005-01-01,1,diversity_domestic
1168478,2005-01-01,1,diversity_domestic
1179929,2005-01-01,1,diversity_domestic
1192305,2005-01-01,1,diversity_domestic
1232241,2005-01-01,1,diversity_domestic
1287258,2005-01-01,1,diversity_domestic
1301399,2005-01-01,1,diversity_domestic
1301406,2005-01-01,1,diversity_domestic
3333,2006-01-01,1,diversity_domestic
20290,2006-01-01,1,diversity_domestic
22606,2006-01-01,1,diversity_domestic
36104,2006-01-01,1,diversity_domestic
39899,2006-01-01,1,diversity_domestic
77476,2006-01-01,1,diversity_domestic
78100,2006-01-01,1,diversity_domestic
81020,2006-01-01,1,diversity_domestic
100858,2006-01-01,1,diversity_domestic
320431,2006-01-01,1,diversity_domestic
732712,2006-01-01,1,diversity_domestic
732717,2006-01-01,1,diversity_domestic
785161,2006-01-01,1,diversity_domestic
808362,2006-01-01,1,diversity_domestic
820067,2006-01-01,1,diversity_domestic
826083,2006-01-01,1,diversity_domestic
886206,2006-01-01,1,diversity_domestic
899652,2006-01-01,1,diversity_domestic
1000228,2006-01-01,1,diversity_domestic
1003344,2006-01-01,1,diversity_domestic
1045560,2006-01-01,1,diversity_domestic
1090727,2006-01-01,1,diversity_domestic
1109357,2006-01-01,1,diversity_domestic
1113247,2006-01-01,1,diversity_domestic
1158463,2006-01-01,1,diversity_domestic
1166691,2006-01-01,1,diversity_domestic
1168165,2006-01-01,1,diversity_domestic
1179929,2006-01-01,1,diversity_domestic
1192305,2006-01-01,1,diversity_domestic
1301399,2006-01-01,1,diversity_domestic
1301406,2006-01-01,1,diversity_domestic
9466,2007-01-01,1,diversity_domestic
34408,2007-01-01,1,diversity_domestic
36104,2007-01-01,1,diversity_domestic
39899,2007-01-01,1,diversity_domestic
78749,2007-01-01,1,diversity_domestic
80424,2007-01-01,1,diversity_domestic
314727,2007-01-01,1,diversity_domestic
320431,2007-01-01,1,diversity_domestic
732712,2007-01-01,1,diversity_domestic
790362,2007-01-01,1,diversity_domestic
790526,2007-01-01,1,diversity_domestic
804055,2007-01-01,1,diversity_domestic
808362,2007-01-01,1,diversity_domestic
820027,2007-01-01,1,diversity_domestic
826083,2007-01-01,1,diversity_domestic
885568,2007-01-01,1,diversity_domestic
886206,2007-01-01,1,diversity_domestic
944508,2007-01-01,1,diversity_domestic
1003344,2007-01-01,1,diversity_domestic
1004440,2007-01-01,1,diversity_domestic
1045560,2007-01-01,1,diversity_domestic
1060801,2007-01-01,1,diversity_domestic
1090727,2007-01-01,1,diversity_domestic
1113247,2007-01-01,1,diversity_domestic
1158463,2007-01-01,1,diversity_domestic
1163302,2007-01-01,1,diversity_domestic
1179929,2007-01-01,1,diversity_domestic
1192305,2007-01-01,1,diversity_domestic
1301399,2007-01-01,1,diversity_domestic
1301406,2007-01-01,1,diversity_domestic
1325814,2007-01-01,1,diversity_domestic
9389,2008-01-01,1,diversity_domestic
39899,2008-01-01,1,diversity_domestic
320431,2008-01-01,1,diversity_domestic
354964,2008-01-01,1,diversity_domestic
732712,2008-01-01,1,diversity_domestic
791519,2008-01-01,1,diversity_domestic
804055,2008-01-01,1,diversity_domestic
808362,2008-01-01,1,diversity_domestic
820027,2008-01-01,1,diversity_domestic
885568,2008-01-01,1,diversity_domestic
909832,2008-01-01,1,diversity_domestic
924383,2008-01-01,1,diversity_domestic
944508,2008-01-01,1,diversity_domestic
1000228,2008-01-01,1,diversity_domestic
1003344,2008-01-01,1,diversity_domestic
1034670,2008-01-01,1,diversity_domestic
1037976,2008-01-01,1,diversity_domestic
1045560,2008-01-01,1,diversity_domestic
1050180,2008-01-01,1,diversity_domestic
1051771,2008-01-01,1,diversity_domestic
1105705,2008-01-01,1,diversity_domestic
1113247,2008-01-01,1,diversity_domestic
1133421,2008-01-01,1,diversity_domestic
1158463,2008-01-01,1,diversity_domestic
1163302,2008-01-01,1,diversity_domestic
1179929,2008-01-01,1,diversity_domestic
1192305,2008-01-01,1,diversity_domestic
1289871,2008-01-01,1,diversity_domestic
1297735,2008-01-01,1,diversity_domestic
1301399,2008-01-01,1,diversity_domestic
1301406,2008-01-01,1,diversity_domestic
1320482,2008-01-01,1,diversity_domestic
1325814,2008-01-01,1,diversity_domestic
1398659,2008-01-01,1,diversity_domestic
23426,2009-01-01,1,diversity_domestic
29002,2009-01-01,1,diversity_domestic
39899,2009-01-01,1,diversity_domestic
72741,2009-01-01,1,diversity_domestic
77476,2009-01-01,1,diversity_domestic
106170,2009-01-01,1,diversity_domestic
315256,2009-01-01,1,diversity_domestic
732712,2009-01-01,1,diversity_domestic
732717,2009-01-01,1,diversity_domestic
752431,2009-01-01,1,diversity_domestic
791519,2009-01-01,1,diversity_domestic
804055,2009-01-01,1,diversity_domestic
808362,2009-01-01,1,diversity_domestic
874866,2009-01-01,1,diversity_domestic
885568,2009-01-01,1,diversity_domestic
1051771,2009-01-01,1,diversity_domestic
1071739,2009-01-01,1,diversity_domestic
1105705,2009-01-01,1,diversity_domestic
1110803,2009-01-01,1,diversity_domestic
1121788,2009-01-01,1,diversity_domestic
1163302,2009-01-01,1,diversity_domestic
1166220,2009-01-01,1,diversity_domestic
1179929,2009-01-01,1,diversity_domestic
1192305,2009-01-01,1,diversity_domestic
1301399,2009-01-01,1,diversity_domestic
1301406,2009-01-01,1,diversity_domestic
1309402,2009-01-01,1,diversity_domestic
1325814,2009-01-01,1,diversity_domestic
1333493,2009-01-01,1,diversity_domestic
1358651,2009-01-01,1,diversity_domestic
1381531,2009-01-01,1,diversity_domestic
1398659,2009-01-01,1,diversity_domestic
1437107,2009-01-01,1,diversity_domestic
1452575,2009-01-01,1,diversity_domestic
1457543,2009-01-01,1,diversity_domestic
17797,2010-01-01,1,diversity_domestic
22872,2010-01-01,1,diversity_domestic
23426,2010-01-01,1,diversity_domestic
37637,2010-01-01,1,diversity_domestic
39899,2010-01-01,1,diversity_domestic
55785,2010-01-01,1,diversity_domestic
72741,2010-01-01,1,diversity_domestic
77476,2010-01-01,1,diversity_domestic
83246,2010-01-01,1,diversity_domestic
100493,2010-01-01,1,diversity_domestic
106170,2010-01-01,1,diversity_domestic
216039,2010-01-01,1,diversity_domestic
217346,2010-01-01,1,diversity_domestic
310522,2010-01-01,1,diversity_domestic
315256,2010-01-01,1,diversity_domestic
354964,2010-01-01,1,diversity_domestic
732712,2010-01-01,1,diversity_domestic
737561,2010-01-01,1,diversity_domestic
790362,2010-01-01,1,diversity_domestic
791519,2010-01-01,1,diversity_domestic
804055,2010-01-01,1,diversity_domestic
808362,2010-01-01,1,diversity_domestic
874866,2010-01-01,1,diversity_domestic
885568,2010-01-01,1,diversity_domestic
923139,2010-01-01,1,diversity_domestic
1002396,2010-01-01,1,diversity_domestic
1002638,2010-01-01,1,diversity_domestic
1012100,2010-01-01,1,diversity_domestic
1051771,2010-01-01,1,diversity_domestic
1071739,2010-01-01,1,diversity_domestic
1094093,2010-01-01,1,diversity_domestic
1094831,2010-01-01,1,diversity_domestic
1110803,2010-01-01,1,diversity_domestic
1163302,2010-01-01,1,diversity_domestic
1166220,2010-01-01,1,diversity_domestic
1166691,2010-01-01,1,diversity_domestic
1179929,2010-01-01,1,diversity_domestic
1192305,2010-01-01,1,diversity_domestic
1325878,2010-01-01,1,diversity_domestic
1398659,2010-01-01,1,diversity_domestic
1415998,2010-01-01,1,diversity_domestic
1462418,2010-01-01,1,diversity_domestic
6951,2011-01-01,1,diversity_domestic
22872,2011-01-01,1,diversity_domestic
23426,2011-01-01,1,diversity_domestic
39899,2011-01-01,1,diversity_domestic
47217,2011-01-01,1,diversity_domestic
55785,2011-01-01,1,diversity_domestic
72741,2011-01-01,1,diversity_domestic
77476,2011-01-01,1,diversity_domestic
100493,2011-01-01,1,diversity_domestic
106170,2011-01-01,1,diversity_domestic
216039,2011-01-01,1,diversity_domestic
315256,2011-01-01,1,diversity_domestic
732712,2011-01-01,1,diversity_domestic
790362,2011-01-01,1,diversity_domestic
791519,2011-01-01,1,diversity_domestic
808362,2011-01-01,1,diversity_domestic
840264,2011-01-01,1,diversity_domestic
866121,2011-01-01,1,diversity_domestic
885568,2011-01-01,1,diversity_domestic
889930,2011-01-01,1,diversity_domestic
914577,2011-01-01,1,diversity_domestic
923139,2011-01-01,1,diversity_domestic
1002638,2011-01-01,1,diversity_domestic
1012100,2011-01-01,1,diversity_domestic
1051771,2011-01-01,1,diversity_domestic
1071739,2011-01-01,1,diversity_domestic
1086909,2011-01-01,1,diversity_domestic
1094831,2011-01-01,1,diversity_domestic
1103021,2011-01-01,1,diversity_domestic
1121788,2011-01-01,1,diversity_domestic
1122304,2011-01-01,1,diversity_domestic
1163302,2011-01-01,1,diversity_domestic
1166220,2011-01-01,1,diversity_domestic
1227025,2011-01-01,1,diversity_domestic
1232241,2011-01-01,1,diversity_domestic
1266719,2011-01-01,1,diversity_domestic
1285224,2011-01-01,1,diversity_domestic
1308085,2011-01-01,1,diversity_domestic
1325878,2011-01-01,1,diversity_domestic
