filing_date,count,component
2001-12-31,9,domestic
2002-12-31,7,domestic
2003-12-31,22,domestic
2004-12-31,36,domestic
2005-12-31,35,domestic
2006-12-31,32,domestic
2007-12-31,31,domestic
2008-12-31,34,domestic
2009-12-31,35,domestic
2010-12-31,43,domestic
2011-12-31,46,domestic
2012-12-31,45,domestic
2013-12-31,46,domestic
2014-12-31,52,domestic
2015-12-31,53,domestic
2016-12-31,55,domestic
2017-12-31,62,domestic
2018-12-31,85,domestic
2019-12-31,88,domestic
2020-12-31,123,domestic
2021-12-31,947,domestic
2022-12-31,1219,domestic
2023-12-31,1265,domestic
2024-12-31,1195,domestic
2025-12-31,478,domestic
2001-12-31,237,domestic
2002-12-31,242,domestic
2003-12-31,349,domestic
2004-12-31,539,domestic
2005-12-31,446,domestic
2006-12-31,425,domestic
2007-12-31,515,domestic
2008-12-31,570,domestic
2009-12-31,582,domestic
2010-12-31,531,domestic
2011-12-31,545,domestic
2012-12-31,574,domestic
2013-12-31,606,domestic
2014-12-31,586,domestic
2015-12-31,592,domestic
2016-12-31,603,domestic
2017-12-31,658,domestic
2018-12-31,627,domestic
2019-12-31,674,domestic
2020-12-31,754,domestic
2021-12-31,1495,domestic
2022-12-31,2069,domestic
2023-12-31,1893,domestic
2024-12-31,1722,domestic
2025-12-31,1102,domestic
2001-12-31,1,domestic
2002-12-31,0,domestic
2003-12-31,1,domestic
2004-12-31,3,domestic
2005-12-31,1,domestic
2006-12-31,4,domestic
2007-12-31,6,domestic
2008-12-31,7,domestic
2009-12-31,12,domestic
2010-12-31,15,domestic
2011-12-31,17,domestic
2012-12-31,12,domestic
2013-12-31,13,domestic
2014-12-31,12,domestic
2015-12-31,16,domestic
2016-12-31,16,domestic
2017-12-31,15,domestic
2018-12-31,15,domestic
2019-12-31,21,domestic
2020-12-31,53,domestic
2021-12-31,716,domestic
2022-12-31,908,domestic
2023-12-31,991,domestic
2024-12-31,1035,domestic
2025-12-31,724,domestic
2001-12-31,1,international
2002-12-31,2,international
2003-12-31,7,international
2004-12-31,9,international
2005-12-31,6,international
2006-12-31,9,international
2007-12-31,10,international
2008-12-31,12,international
2009-12-31,13,international
2010-12-31,16,international
2011-12-31,25,international
2012-12-31,37,international
2013-12-31,45,international
2014-12-31,52,international
2015-12-31,51,international
2016-12-31,58,international
2017-12-31,60,international
2018-12-31,69,international
2019-12-31,70,international
2020-12-31,66,international
2021-12-31,85,international
2022-12-31,129,international
2023-12-31,159,international
2024-12-31,153,international
2025-12-31,68,international
2001-12-31,19,international
2002-12-31,35,international
2003-12-31,82,international
2004-12-31,84,international
2005-12-31,81,international
2006-12-31,75,international
2007-12-31,71,international
2008-12-31,76,international
2009-12-31,81,international
2010-12-31,71,international
2011-12-31,74,international
2012-12-31,75,international
2013-12-31,94,international
2014-12-31,102,international
2015-12-31,110,international
2016-12-31,112,international
2017-12-31,104,international
2018-12-31,120,international
2019-12-31,123,international
2020-12-31,131,international
2021-12-31,176,international
2022-12-31,222,international
2023-12-31,230,international
2024-12-31,260,international
2025-12-31,118,international
2003-12-31,1,international
2004-12-31,4,international
2005-12-31,5,international
2006-12-31,1,international
2007-12-31,3,international
2008-12-31,4,international
2009-12-31,5,international
2010-12-31,14,international
2011-12-31,11,international
2012-12-31,10,international
2013-12-31,8,international
2014-12-31,14,international
2015-12-31,15,international
2016-12-31,19,international
2017-12-31,16,international
2018-12-31,20,international
2019-12-31,29,international
2020-12-31,33,international
2021-12-31,67,international
2022-12-31,88,international
2023-12-31,98,international
2024-12-31,104,international
2025-12-31,49,international
