filing_date,component,url,ownerOrg,name,cik
2025-02-21,diversity_domestic,https://www.sec.gov/Archives/edgar/data/873860/000162828025007126/ex101-annualincentiveplan.htm#:~:text=workforce%20diversity&text=diverse%20workforce&text=diversity%20in%20workplace&text=gender%20diversity&text=gender%20representation&text=gender%20balance&text=racial%20diversity&text=ethnic%20diversity&text=racial%20representation&text=diversity%20goals&text=representation%20targets&text=diversity%20metrics,Finance,ONITY GROUP INC.,873860
2025-03-17,diversity_domestic,https://www.sec.gov/Archives/edgar/data/921299/000095017025040280/fgen-ex10_5.htm#:~:text=workforce%20diversity&text=diverse%20workforce&text=diversity%20in%20workplace&text=gender%20diversity&text=gender%20representation&text=gender%20balance&text=racial%20diversity&text=ethnic%20diversity&text=racial%20representation&text=diversity%20goals&text=representation%20targets&text=diversity%20metrics,Life Sciences,FIBROGEN INC,921299
2025-02-27,diversity_domestic,https://www.sec.gov/Archives/edgar/data/868780/000086878025000009/ex105dormanproducts-amende.htm#:~:text=workforce%20diversity&text=diverse%20workforce&text=diversity%20in%20workplace&text=gender%20diversity&text=gender%20representation&text=gender%20balance&text=racial%20diversity&text=ethnic%20diversity&text=racial%20representation&text=diversity%20goals&text=representation%20targets&text=diversity%20metrics,Manufacturing,"Dorman Products, Inc.",868780
2025-02-19,diversity_domestic,https://www.sec.gov/Archives/edgar/data/860731/000086073125000007/tyl12312024exhibit14.htm#:~:text=workforce%20diversity&text=diverse%20workforce&text=diversity%20in%20workplace&text=gender%20diversity&text=gender%20representation&text=gender%20balance&text=racial%20diversity&text=ethnic%20diversity&text=racial%20representation&text=diversity%20goals&text=representation%20targets&text=diversity%20metrics,Technology,TYLER TECHNOLOGIES INC,860731
2024-08-21,diversity_domestic,https://www.sec.gov/Archives/edgar/data/880117/000095017024099489/jbss-20240627.htm#:~:text=workforce%20diversity&text=diverse%20workforce&text=diversity%20in%20workplace&text=gender%20diversity&text=gender%20representation&text=gender%20balance&text=racial%20diversity&text=ethnic%20diversity&text=racial%20representation&text=diversity%20goals&text=representation%20targets&text=diversity%20metrics,Manufacturing,SANFILIPPO JOHN B & SON INC,880117
2025-03-06,diversity_domestic,https://www.sec.gov/Archives/edgar/data/1610618/000161061825000017/exhibit1072024-12.htm#:~:text=workforce%20diversity&text=diverse%20workforce&text=diversity%20in%20workplace&text=gender%20diversity&text=gender%20representation&text=gender%20balance&text=racial%20diversity&text=ethnic%20diversity&text=racial%20representation&text=diversity%20goals&text=representation%20targets&text=diversity%20metrics,Life Sciences,"Cidara Therapeutics, Inc.",1610618
2025-02-19,diversity_domestic,https://www.sec.gov/Archives/edgar/data/1434588/000155837025001150/lope-20241231x10k.htm#:~:text=workforce%20diversity&text=diverse%20workforce&text=diversity%20in%20workplace&text=gender%20diversity&text=gender%20representation&text=gender%20balance&text=racial%20diversity&text=ethnic%20diversity&text=racial%20representation&text=diversity%20goals&text=representation%20targets&text=diversity%20metrics,Trade & Services,"Grand Canyon Education, Inc.",1434588
2025-02-20,diversity_domestic,https://www.sec.gov/Archives/edgar/data/51644/000005164425000024/ipg-codexofxconductx2024.htm#:~:text=workforce%20diversity&text=diverse%20workforce&text=diversity%20in%20workplace&text=gender%20diversity&text=gender%20representation&text=gender%20balance&text=racial%20diversity&text=ethnic%20diversity&text=racial%20representation&text=diversity%20goals&text=representation%20targets&text=diversity%20metrics,Trade & Services,"INTERPUBLIC GROUP OF COMPANIES, INC.",51644
2024-04-10,diversity_domestic,https://www.sec.gov/Archives/edgar/data/1824893/000095017024043399/srzn-ex10_2.htm#:~:text=workforce%20diversity&text=diverse%20workforce&text=diversity%20in%20workplace&text=gender%20diversity&text=gender%20representation&text=gender%20balance&text=racial%20diversity&text=ethnic%20diversity&text=racial%20representation&text=diversity%20goals&text=representation%20targets&text=diversity%20metrics,Life Sciences,"Surrozen, Inc./DE",1824893
2025-02-19,diversity_domestic,https://www.sec.gov/Archives/edgar/data/1636222/000163622225000008/wing-20241228.htm#:~:text=workforce%20diversity&text=diverse%20workforce&text=diversity%20in%20workplace&text=gender%20diversity&text=gender%20representation&text=gender%20balance&text=racial%20diversity&text=ethnic%20diversity&text=racial%20representation&text=diversity%20goals&text=representation%20targets&text=diversity%20metrics,Trade & Services,Wingstop Inc.,1636222
