ownerOrg,period,count,component
Crypto Assets,0,2,diversity_domestic
Crypto Assets,1,9,diversity_domestic
Energy & Transportation,0,93,diversity_domestic
Energy & Transportation,1,197,diversity_domestic
Finance,0,88,diversity_domestic
Finance,1,176,diversity_domestic
Industrial Applications and Services,0,84,diversity_domestic
Industrial Applications and Services,1,109,diversity_domestic
Life Sciences,0,99,diversity_domestic
Life Sciences,1,128,diversity_domestic
Manufacturing,0,104,diversity_domestic
Manufacturing,1,167,diversity_domestic
Real Estate & Construction,0,60,diversity_domestic
Real Estate & Construction,1,100,diversity_domestic
Technology,0,89,diversity_domestic
Technology,1,147,diversity_domestic
Trade & Services,0,104,diversity_domestic
Trade & Services,1,168,diversity_domestic
Crypto Assets,0,22,equity_domestic
Crypto Assets,1,22,equity_domestic
Energy & Transportation,0,125,equity_domestic
Energy & Transportation,1,194,equity_domestic
Finance,0,185,equity_domestic
Finance,1,184,equity_domestic
Industrial Applications and Services,0,167,equity_domestic
Industrial Applications and Services,1,202,equity_domestic
Life Sciences,0,207,equity_domestic
Life Sciences,1,223,equity_domestic
Manufacturing,0,222,equity_domestic
Manufacturing,1,239,equity_domestic
Real Estate & Construction,0,262,equity_domestic
Real Estate & Construction,1,323,equity_domestic
Technology,0,193,equity_domestic
Technology,1,193,equity_domestic
Trade & Services,0,239,equity_domestic
Trade & Services,1,245,equity_domestic
Crypto Assets,0,8,inclusion_domestic
Crypto Assets,1,9,inclusion_domestic
Energy & Transportation,0,111,inclusion_domestic
Energy & Transportation,1,112,inclusion_domestic
Finance,0,144,inclusion_domestic
Finance,1,173,inclusion_domestic
Industrial Applications and Services,0,91,inclusion_domestic
Industrial Applications and Services,1,98,inclusion_domestic
Life Sciences,0,65,inclusion_domestic
Life Sciences,1,70,inclusion_domestic
Manufacturing,0,142,inclusion_domestic
Manufacturing,1,152,inclusion_domestic
Real Estate & Construction,0,67,inclusion_domestic
Real Estate & Construction,1,77,inclusion_domestic
Technology,0,137,inclusion_domestic
Technology,1,175,inclusion_domestic
Trade & Services,0,152,inclusion_domestic
Trade & Services,1,167,inclusion_domestic
Crypto Assets,0,2,diversity_international
Crypto Assets,1,1,diversity_international
Energy & Transportation,0,24,diversity_international
Energy & Transportation,1,22,diversity_international
Finance,0,33,diversity_international
Finance,1,25,diversity_international
Industrial Applications and Services,0,9,diversity_international
Industrial Applications and Services,1,7,diversity_international
Life Sciences,0,19,diversity_international
Life Sciences,1,24,diversity_international
Manufacturing,0,31,diversity_international
Manufacturing,1,31,diversity_international
Real Estate & Construction,0,3,diversity_international
Real Estate & Construction,1,5,diversity_international
Technology,0,21,diversity_international
Technology,1,21,diversity_international
Trade & Services,0,11,diversity_international
Trade & Services,1,13,diversity_international
Crypto Assets,0,3,equity_international
Crypto Assets,1,3,equity_international
Energy & Transportation,0,37,equity_international
Energy & Transportation,1,31,equity_international
Finance,0,30,equity_international
Finance,1,23,equity_international
Industrial Applications and Services,0,25,equity_international
Industrial Applications and Services,1,19,equity_international
Life Sciences,0,34,equity_international
Life Sciences,1,40,equity_international
Manufacturing,0,46,equity_international
Manufacturing,1,46,equity_international
Real Estate & Construction,0,6,equity_international
Real Estate & Construction,1,2,equity_international
Technology,0,61,equity_international
Technology,1,47,equity_international
Trade & Services,0,30,equity_international
Trade & Services,1,32,equity_international
Crypto Assets,0,1,inclusion_international
Crypto Assets,1,1,inclusion_international
Energy & Transportation,0,20,inclusion_international
Energy & Transportation,1,19,inclusion_international
Finance,0,19,inclusion_international
Finance,1,15,inclusion_international
Industrial Applications and Services,0,7,inclusion_international
Industrial Applications and Services,1,6,inclusion_international
Life Sciences,0,8,inclusion_international
Life Sciences,1,8,inclusion_international
Manufacturing,0,14,inclusion_international
Manufacturing,1,19,inclusion_international
Real Estate & Construction,0,2,inclusion_international
Real Estate & Construction,1,3,inclusion_international
Technology,0,20,inclusion_international
Technology,1,18,inclusion_international
Trade & Services,0,11,inclusion_international
Trade & Services,1,9,inclusion_international
