cik,date,value,component
1923,2001-01-01,1,environmental_domestic
3153,2001-01-01,1,environmental_domestic
4164,2001-01-01,1,environmental_domestic
4187,2001-01-01,1,environmental_domestic
9342,2001-01-01,1,environmental_domestic
9466,2001-01-01,1,environmental_domestic
13372,2001-01-01,1,environmental_domestic
13390,2001-01-01,1,environmental_domestic
14930,2001-01-01,1,environmental_domestic
20290,2001-01-01,1,environmental_domestic
23426,2001-01-01,1,environmental_domestic
23632,2001-01-01,1,environmental_domestic
30305,2001-01-01,1,environmental_domestic
30371,2001-01-01,1,environmental_domestic
30554,2001-01-01,1,environmental_domestic
32776,2001-01-01,1,environmental_domestic
37748,2001-01-01,1,environmental_domestic
37996,2001-01-01,1,environmental_domestic
38009,2001-01-01,1,environmental_domestic
41091,2001-01-01,1,environmental_domestic
43704,2001-01-01,1,environmental_domestic
44545,2001-01-01,1,environmental_domestic
46916,2001-01-01,1,environmental_domestic
49648,2001-01-01,1,environmental_domestic
55785,2001-01-01,1,environmental_domestic
60653,2001-01-01,1,environmental_domestic
60714,2001-01-01,1,environmental_domestic
66756,2001-01-01,1,environmental_domestic
66904,2001-01-01,1,environmental_domestic
67727,2001-01-01,1,environmental_domestic
72741,2001-01-01,1,environmental_domestic
72903,2001-01-01,1,environmental_domestic
72909,2001-01-01,1,environmental_domestic
73309,2001-01-01,1,environmental_domestic
74145,2001-01-01,1,environmental_domestic
74778,2001-01-01,1,environmental_domestic
75488,2001-01-01,1,environmental_domestic
75527,2001-01-01,1,environmental_domestic
75594,2001-01-01,1,environmental_domestic
79732,2001-01-01,1,environmental_domestic
81018,2001-01-01,1,environmental_domestic
81020,2001-01-01,1,environmental_domestic
81025,2001-01-01,1,environmental_domestic
86940,2001-01-01,1,environmental_domestic
91882,2001-01-01,1,environmental_domestic
92103,2001-01-01,1,environmental_domestic
92122,2001-01-01,1,environmental_domestic
92521,2001-01-01,1,environmental_domestic
100858,2001-01-01,1,environmental_domestic
101778,2001-01-01,1,environmental_domestic
104918,2001-01-01,1,environmental_domestic
106170,2001-01-01,1,environmental_domestic
107815,2001-01-01,1,environmental_domestic
107833,2001-01-01,1,environmental_domestic
315256,2001-01-01,1,environmental_domestic
317551,2001-01-01,1,environmental_domestic
714154,2001-01-01,1,environmental_domestic
715787,2001-01-01,1,environmental_domestic
716783,2001-01-01,1,environmental_domestic
717605,2001-01-01,1,environmental_domestic
727273,2001-01-01,1,environmental_domestic
731190,2001-01-01,1,environmental_domestic
754737,2001-01-01,1,environmental_domestic
755001,2001-01-01,1,environmental_domestic
755003,2001-01-01,1,environmental_domestic
772406,2001-01-01,1,environmental_domestic
783325,2001-01-01,1,environmental_domestic
784977,2001-01-01,1,environmental_domestic
797556,2001-01-01,1,environmental_domestic
805022,2001-01-01,1,environmental_domestic
819220,2001-01-01,1,environmental_domestic
823768,2001-01-01,1,environmental_domestic
