filing_date,count,component
2001-12-31,185,domestic
2002-12-31,235,domestic
2003-12-31,359,domestic
2004-12-31,381,domestic
2005-12-31,414,domestic
2006-12-31,511,domestic
2007-12-31,586,domestic
2008-12-31,803,domestic
2009-12-31,1157,domestic
2010-12-31,1530,domestic
2011-12-31,1627,domestic
2012-12-31,1625,domestic
2013-12-31,1605,domestic
2014-12-31,1653,domestic
2015-12-31,1658,domestic
2016-12-31,1598,domestic
2017-12-31,1525,domestic
2018-12-31,1522,domestic
2019-12-31,1480,domestic
2020-12-31,1521,domestic
2021-12-31,1770,domestic
2022-12-31,2283,domestic
2023-12-31,2641,domestic
2024-12-31,2646,domestic
2025-12-31,1904,domestic
2001-12-31,286,domestic
2002-12-31,311,domestic
2003-12-31,402,domestic
2004-12-31,431,domestic
2005-12-31,431,domestic
2006-12-31,419,domestic
2007-12-31,472,domestic
2008-12-31,509,domestic
2009-12-31,629,domestic
2010-12-31,630,domestic
2011-12-31,646,domestic
2012-12-31,704,domestic
2013-12-31,828,domestic
2014-12-31,829,domestic
2015-12-31,785,domestic
2016-12-31,793,domestic
2017-12-31,787,domestic
2018-12-31,813,domestic
2019-12-31,831,domestic
2020-12-31,896,domestic
2021-12-31,1282,domestic
2022-12-31,1687,domestic
2023-12-31,1837,domestic
2024-12-31,1850,domestic
2025-12-31,1335,domestic
2001-12-31,23,domestic
2002-12-31,26,domestic
2003-12-31,39,domestic
2004-12-31,57,domestic
2005-12-31,72,domestic
2006-12-31,85,domestic
2007-12-31,105,domestic
2008-12-31,127,domestic
2009-12-31,186,domestic
2010-12-31,248,domestic
2011-12-31,246,domestic
2012-12-31,266,domestic
2013-12-31,258,domestic
2014-12-31,292,domestic
2015-12-31,266,domestic
2016-12-31,245,domestic
2017-12-31,275,domestic
2018-12-31,294,domestic
2019-12-31,324,domestic
2020-12-31,423,domestic
2021-12-31,571,domestic
2022-12-31,821,domestic
2023-12-31,933,domestic
2024-12-31,1212,domestic
2025-12-31,871,domestic
2001-12-31,12,international
2002-12-31,43,international
2003-12-31,99,international
2004-12-31,107,international
2005-12-31,112,international
2006-12-31,111,international
2007-12-31,122,international
2008-12-31,148,international
2009-12-31,182,international
2010-12-31,216,international
2011-12-31,250,international
2012-12-31,256,international
2013-12-31,253,international
2014-12-31,266,international
2015-12-31,271,international
2016-12-31,285,international
2017-12-31,290,international
2018-12-31,290,international
2019-12-31,297,international
2020-12-31,309,international
2021-12-31,341,international
2022-12-31,430,international
2023-12-31,466,international
2024-12-31,515,international
2025-12-31,178,international
2001-12-31,29,international
2002-12-31,66,international
2003-12-31,189,international
2004-12-31,227,international
2005-12-31,244,international
2006-12-31,253,international
2007-12-31,225,international
2008-12-31,190,international
2009-12-31,212,international
2010-12-31,197,international
2011-12-31,192,international
2012-12-31,190,international
2013-12-31,270,international
2014-12-31,279,international
2015-12-31,284,international
2016-12-31,283,international
2017-12-31,280,international
2018-12-31,290,international
2019-12-31,296,international
2020-12-31,299,international
2021-12-31,328,international
2022-12-31,433,international
2023-12-31,445,international
2024-12-31,493,international
2025-12-31,168,international
2001-12-31,15,international
2002-12-31,30,international
2003-12-31,74,international
2004-12-31,83,international
2005-12-31,86,international
2006-12-31,91,international
2007-12-31,96,international
2008-12-31,83,international
2009-12-31,83,international
2010-12-31,86,international
2011-12-31,97,international
2012-12-31,97,international
2013-12-31,113,international
2014-12-31,110,international
2015-12-31,120,international
2016-12-31,123,international
2017-12-31,126,international
2018-12-31,135,international
2019-12-31,145,international
2020-12-31,157,international
2021-12-31,197,international
2022-12-31,400,international
2023-12-31,535,international
2024-12-31,638,international
2025-12-31,173,international
