ownerOrg,period,count,component
Crypto Assets,0,37,environmental_domestic
Crypto Assets,1,46,environmental_domestic
Energy & Transportation,0,484,environmental_domestic
Energy & Transportation,1,549,environmental_domestic
Finance,0,200,environmental_domestic
Finance,1,215,environmental_domestic
Industrial Applications and Services,0,211,environmental_domestic
Industrial Applications and Services,1,233,environmental_domestic
Life Sciences,0,92,environmental_domestic
Life Sciences,1,107,environmental_domestic
Manufacturing,0,416,environmental_domestic
Manufacturing,1,482,environmental_domestic
Real Estate & Construction,0,319,environmental_domestic
Real Estate & Construction,1,368,environmental_domestic
Technology,0,212,environmental_domestic
Technology,1,251,environmental_domestic
Trade & Services,0,271,environmental_domestic
Trade & Services,1,308,environmental_domestic
Crypto Assets,0,54,social_domestic
Crypto Assets,1,49,social_domestic
Energy & Transportation,0,240,social_domestic
Energy & Transportation,1,290,social_domestic
Finance,0,208,social_domestic
Finance,1,225,social_domestic
Industrial Applications and Services,0,148,social_domestic
Industrial Applications and Services,1,171,social_domestic
Life Sciences,0,105,social_domestic
Life Sciences,1,126,social_domestic
Manufacturing,0,267,social_domestic
Manufacturing,1,307,social_domestic
Real Estate & Construction,0,163,social_domestic
Real Estate & Construction,1,189,social_domestic
Technology,0,178,social_domestic
Technology,1,204,social_domestic
Trade & Services,0,228,social_domestic
Trade & Services,1,261,social_domestic
Crypto Assets,0,8,governance_domestic
Crypto Assets,1,10,governance_domestic
Energy & Transportation,0,127,governance_domestic
Energy & Transportation,1,130,governance_domestic
Finance,0,201,governance_domestic
Finance,1,229,governance_domestic
Industrial Applications and Services,0,98,governance_domestic
Industrial Applications and Services,1,107,governance_domestic
Life Sciences,0,112,governance_domestic
Life Sciences,1,138,governance_domestic
Manufacturing,0,132,governance_domestic
Manufacturing,1,151,governance_domestic
Real Estate & Construction,0,71,governance_domestic
Real Estate & Construction,1,105,governance_domestic
Technology,0,130,governance_domestic
Technology,1,130,governance_domestic
Trade & Services,0,116,governance_domestic
Trade & Services,1,117,governance_domestic
Crypto Assets,0,5,environmental_international
Crypto Assets,1,16,environmental_international
Energy & Transportation,0,74,environmental_international
Energy & Transportation,1,146,environmental_international
Finance,0,29,environmental_international
Finance,1,49,environmental_international
Industrial Applications and Services,0,18,environmental_international
Industrial Applications and Services,1,21,environmental_international
Life Sciences,0,21,environmental_international
Life Sciences,1,35,environmental_international
Manufacturing,0,57,environmental_international
Manufacturing,1,108,environmental_international
Real Estate & Construction,0,8,environmental_international
Real Estate & Construction,1,16,environmental_international
Technology,0,36,environmental_international
Technology,1,73,environmental_international
Trade & Services,0,19,environmental_international
Trade & Services,1,34,environmental_international
Crypto Assets,0,3,social_international
Crypto Assets,1,10,social_international
Energy & Transportation,0,56,social_international
Energy & Transportation,1,120,social_international
Finance,0,30,social_international
Finance,1,52,social_international
Industrial Applications and Services,0,16,social_international
Industrial Applications and Services,1,23,social_international
Life Sciences,0,30,social_international
Life Sciences,1,44,social_international
Manufacturing,0,50,social_international
Manufacturing,1,96,social_international
Real Estate & Construction,0,9,social_international
Real Estate & Construction,1,14,social_international
Technology,0,32,social_international
Technology,1,65,social_international
Trade & Services,0,28,social_international
Trade & Services,1,57,social_international
Crypto Assets,0,8,governance_international
Crypto Assets,1,15,governance_international
Energy & Transportation,0,45,governance_international
Energy & Transportation,1,89,governance_international
Finance,0,35,governance_international
Finance,1,59,governance_international
Industrial Applications and Services,0,19,governance_international
Industrial Applications and Services,1,36,governance_international
Life Sciences,0,42,governance_international
Life Sciences,1,87,governance_international
Manufacturing,0,50,governance_international
Manufacturing,1,99,governance_international
Real Estate & Construction,0,8,governance_international
Real Estate & Construction,1,15,governance_international
Technology,0,48,governance_international
Technology,1,110,governance_international
Trade & Services,0,42,governance_international
Trade & Services,1,96,governance_international
