cik,date,value,component
914475,2001-01-01,1,ai_domestic
1100682,2001-01-01,1,ai_domestic
914475,2002-01-01,1,ai_domestic
914475,2003-01-01,1,ai_domestic
849146,2018-01-01,1,ai_domestic
849146,2019-01-01,1,ai_domestic
1508381,2019-01-01,1,ai_domestic
785557,2020-01-01,1,ai_domestic
856984,2020-01-01,1,ai_domestic
1100682,2020-01-01,1,ai_domestic
1508381,2020-01-01,1,ai_domestic
785557,2021-01-01,1,ai_domestic
804753,2021-01-01,1,ai_domestic
908259,2021-01-01,1,ai_domestic
926617,2021-01-01,1,ai_domestic
1100682,2021-01-01,1,ai_domestic
1124524,2021-01-01,1,ai_domestic
1445283,2021-01-01,1,ai_domestic
1501134,2021-01-01,1,ai_domestic
1530766,2021-01-01,1,ai_domestic
1593001,2021-01-01,1,ai_domestic
1792581,2021-01-01,1,ai_domestic
1822935,2021-01-01,1,ai_domestic
785557,2022-01-01,1,ai_domestic
890821,2022-01-01,1,ai_domestic
926617,2022-01-01,1,ai_domestic
1100682,2022-01-01,1,ai_domestic
1501134,2022-01-01,1,ai_domestic
1530766,2022-01-01,1,ai_domestic
1576280,2022-01-01,1,ai_domestic
1579241,2022-01-01,1,ai_domestic
1649904,2022-01-01,1,ai_domestic
1792581,2022-01-01,1,ai_domestic
1816590,2022-01-01,1,ai_domestic
1844505,2022-01-01,1,ai_domestic
785557,2023-01-01,1,ai_domestic
890821,2023-01-01,1,ai_domestic
1022079,2023-01-01,1,ai_domestic
1100682,2023-01-01,1,ai_domestic
1521332,2023-01-01,1,ai_domestic
1530766,2023-01-01,1,ai_domestic
1579241,2023-01-01,1,ai_domestic
1649904,2023-01-01,1,ai_domestic
1816590,2023-01-01,1,ai_domestic
1829864,2023-01-01,1,ai_domestic
310158,2024-01-01,1,ai_domestic
785557,2024-01-01,1,ai_domestic
827187,2024-01-01,1,ai_domestic
890821,2024-01-01,1,ai_domestic
1100682,2024-01-01,1,ai_domestic
1124524,2024-01-01,1,ai_domestic
1521332,2024-01-01,1,ai_domestic
1527728,2024-01-01,1,ai_domestic
1530766,2024-01-01,1,ai_domestic
1574540,2024-01-01,1,ai_domestic
1649904,2024-01-01,1,ai_domestic
1668673,2024-01-01,1,ai_domestic
1813814,2024-01-01,1,ai_domestic
1816590,2024-01-01,1,ai_domestic
1840904,2024-01-01,1,ai_domestic
310158,2025-01-01,1,ai_domestic
827187,2025-01-01,1,ai_domestic
1100682,2025-01-01,1,ai_domestic
1314102,2025-01-01,1,ai_domestic
1373715,2025-01-01,1,ai_domestic
1487428,2025-01-01,1,ai_domestic
1521332,2025-01-01,1,ai_domestic
1637207,2025-01-01,1,ai_domestic
1649904,2025-01-01,1,ai_domestic
1674632,2025-01-01,1,ai_domestic
1816590,2025-01-01,1,ai_domestic
1840904,2025-01-01,1,ai_domestic
1858848,2025-01-01,1,ai_domestic
863064,2009-01-01,1,ai_international
887028,2009-01-01,1,ai_international
1060955,2019-01-01,1,ai_international
1131399,2019-01-01,1,ai_international
901832,2020-01-01,1,ai_international
1060955,2020-01-01,1,ai_international
1131399,2020-01-01,1,ai_international
1653606,2020-01-01,1,ai_international
1672886,2020-01-01,1,ai_international
1768225,2020-01-01,1,ai_international
901832,2021-01-01,1,ai_international
1060955,2021-01-01,1,ai_international
1131399,2021-01-01,1,ai_international
1653606,2021-01-01,1,ai_international
1672886,2021-01-01,1,ai_international
1816590,2021-01-01,1,ai_international
863064,2022-01-01,1,ai_international
887028,2022-01-01,1,ai_international
1060955,2022-01-01,1,ai_international
1653606,2022-01-01,1,ai_international
1672886,2022-01-01,1,ai_international
1778016,2022-01-01,1,ai_international
353278,2023-01-01,1,ai_international
1131399,2023-01-01,1,ai_international
1672886,2023-01-01,1,ai_international
929869,2024-01-01,1,ai_international
1095435,2024-01-01,1,ai_international
1653606,2024-01-01,1,ai_international
1672886,2024-01-01,1,ai_international
1809196,2024-01-01,1,ai_international
1913510,2024-01-01,1,ai_international
1131399,2025-01-01,1,ai_international
1809196,2025-01-01,1,ai_international
67686,2001-01-01,1,orphan-drug_domestic
69499,2001-01-01,1,orphan-drug_domestic
72444,2001-01-01,1,orphan-drug_domestic
316253,2001-01-01,1,orphan-drug_domestic
318771,2001-01-01,1,orphan-drug_domestic
704562,2001-01-01,1,orphan-drug_domestic
706539,2001-01-01,1,orphan-drug_domestic
714655,2001-01-01,1,orphan-drug_domestic
719529,2001-01-01,1,orphan-drug_domestic
722104,2001-01-01,1,orphan-drug_domestic
722830,2001-01-01,1,orphan-drug_domestic
725058,2001-01-01,1,orphan-drug_domestic
727510,2001-01-01,1,orphan-drug_domestic
730272,2001-01-01,1,orphan-drug_domestic
732485,2001-01-01,1,orphan-drug_domestic
744218,2001-01-01,1,orphan-drug_domestic
744962,2001-01-01,1,orphan-drug_domestic
765258,2001-01-01,1,orphan-drug_domestic
772197,2001-01-01,1,orphan-drug_domestic
816284,2001-01-01,1,orphan-drug_domestic
854691,2001-01-01,1,orphan-drug_domestic
855654,2001-01-01,1,orphan-drug_domestic
859368,2001-01-01,1,orphan-drug_domestic
873591,2001-01-01,1,orphan-drug_domestic
875045,2001-01-01,1,orphan-drug_domestic
875320,2001-01-01,1,orphan-drug_domestic
880259,2001-01-01,1,orphan-drug_domestic
880643,2001-01-01,1,orphan-drug_domestic
882194,2001-01-01,1,orphan-drug_domestic
883975,2001-01-01,1,orphan-drug_domestic
884731,2001-01-01,1,orphan-drug_domestic
885259,2001-01-01,1,orphan-drug_domestic
887137,2001-01-01,1,orphan-drug_domestic
890465,2001-01-01,1,orphan-drug_domestic
891288,2001-01-01,1,orphan-drug_domestic
891293,2001-01-01,1,orphan-drug_domestic
891504,2001-01-01,1,orphan-drug_domestic
895051,2001-01-01,1,orphan-drug_domestic
899866,2001-01-01,1,orphan-drug_domestic
901219,2001-01-01,1,orphan-drug_domestic
907562,2001-01-01,1,orphan-drug_domestic
908401,2001-01-01,1,orphan-drug_domestic
913610,2001-01-01,1,orphan-drug_domestic
914475,2001-01-01,1,orphan-drug_domestic
918112,2001-01-01,1,orphan-drug_domestic
919722,2001-01-01,1,orphan-drug_domestic
930184,2001-01-01,1,orphan-drug_domestic
932903,2001-01-01,1,orphan-drug_domestic
936402,2001-01-01,1,orphan-drug_domestic
942788,2001-01-01,1,orphan-drug_domestic
944522,2001-01-01,1,orphan-drug_domestic
946644,2001-01-01,1,orphan-drug_domestic
1002637,2001-01-01,1,orphan-drug_domestic
1004960,2001-01-01,1,orphan-drug_domestic
1013351,2001-01-01,1,orphan-drug_domestic
1018710,2001-01-01,1,orphan-drug_domestic
1040416,2001-01-01,1,orphan-drug_domestic
1042561,2001-01-01,1,orphan-drug_domestic
1048477,2001-01-01,1,orphan-drug_domestic
1066284,2001-01-01,1,orphan-drug_domestic
1068887,2001-01-01,1,orphan-drug_domestic
1082554,2001-01-01,1,orphan-drug_domestic
1087432,2001-01-01,1,orphan-drug_domestic
