filing_date,count,component
2001-12-31,2,ai_domestic
2002-12-31,1,ai_domestic
2003-12-31,1,ai_domestic
2004-12-31,0,ai_domestic
2005-12-31,0,ai_domestic
2006-12-31,0,ai_domestic
2007-12-31,0,ai_domestic
2008-12-31,0,ai_domestic
2009-12-31,0,ai_domestic
2010-12-31,0,ai_domestic
2011-12-31,0,ai_domestic
2012-12-31,0,ai_domestic
2013-12-31,0,ai_domestic
2014-12-31,0,ai_domestic
2015-12-31,0,ai_domestic
2016-12-31,0,ai_domestic
2017-12-31,0,ai_domestic
2018-12-31,1,ai_domestic
2019-12-31,2,ai_domestic
2020-12-31,4,ai_domestic
2021-12-31,12,ai_domestic
2022-12-31,12,ai_domestic
2023-12-31,10,ai_domestic
2024-12-31,15,ai_domestic
2025-12-31,13,ai_domestic
2009-12-31,2,ai_international
2010-12-31,0,ai_international
2011-12-31,0,ai_international
2012-12-31,0,ai_international
2013-12-31,0,ai_international
2014-12-31,0,ai_international
2015-12-31,0,ai_international
2016-12-31,0,ai_international
2017-12-31,0,ai_international
2018-12-31,0,ai_international
2019-12-31,2,ai_international
2020-12-31,6,ai_international
2021-12-31,6,ai_international
2022-12-31,6,ai_international
2023-12-31,3,ai_international
2024-12-31,7,ai_international
2025-12-31,2,ai_international
2001-12-31,65,orphan-drug_domestic
2002-12-31,63,orphan-drug_domestic
2003-12-31,96,orphan-drug_domestic
2004-12-31,85,orphan-drug_domestic
2005-12-31,104,orphan-drug_domestic
2006-12-31,113,orphan-drug_domestic
2007-12-31,133,orphan-drug_domestic
2008-12-31,142,orphan-drug_domestic
2009-12-31,142,orphan-drug_domestic
2010-12-31,152,orphan-drug_domestic
2011-12-31,177,orphan-drug_domestic
2012-12-31,188,orphan-drug_domestic
2013-12-31,184,orphan-drug_domestic
2014-12-31,229,orphan-drug_domestic
2015-12-31,279,orphan-drug_domestic
2016-12-31,325,orphan-drug_domestic
2017-12-31,330,orphan-drug_domestic
2018-12-31,383,orphan-drug_domestic
2019-12-31,409,orphan-drug_domestic
2020-12-31,433,orphan-drug_domestic
2021-12-31,516,orphan-drug_domestic
2022-12-31,594,orphan-drug_domestic
2023-12-31,587,orphan-drug_domestic
2024-12-31,567,orphan-drug_domestic
2025-12-31,478,orphan-drug_domestic
2001-12-31,2,orphan-drug_international
2002-12-31,7,orphan-drug_international
2003-12-31,10,orphan-drug_international
2004-12-31,12,orphan-drug_international
2005-12-31,15,orphan-drug_international
2006-12-31,25,orphan-drug_international
2007-12-31,18,orphan-drug_international
2008-12-31,15,orphan-drug_international
2009-12-31,12,orphan-drug_international
2010-12-31,11,orphan-drug_international
2011-12-31,12,orphan-drug_international
2012-12-31,16,orphan-drug_international
2013-12-31,19,orphan-drug_international
2014-12-31,24,orphan-drug_international
2015-12-31,40,orphan-drug_international
2016-12-31,51,orphan-drug_international
2017-12-31,55,orphan-drug_international
2018-12-31,57,orphan-drug_international
2019-12-31,62,orphan-drug_international
2020-12-31,62,orphan-drug_international
2021-12-31,82,orphan-drug_international
2022-12-31,98,orphan-drug_international
2023-12-31,101,orphan-drug_international
2024-12-31,89,orphan-drug_international
2025-12-31,33,orphan-drug_international
2001-12-31,71,genomic_domestic
2002-12-31,75,genomic_domestic
2003-12-31,93,genomic_domestic
2004-12-31,82,genomic_domestic
2005-12-31,82,genomic_domestic
2006-12-31,80,genomic_domestic
2007-12-31,78,genomic_domestic
2008-12-31,82,genomic_domestic
2009-12-31,89,genomic_domestic
2010-12-31,94,genomic_domestic
2011-12-31,102,genomic_domestic
2012-12-31,83,genomic_domestic
2013-12-31,79,genomic_domestic
2014-12-31,98,genomic_domestic
2015-12-31,108,genomic_domestic
2016-12-31,132,genomic_domestic
2017-12-31,138,genomic_domestic
2018-12-31,137,genomic_domestic
2019-12-31,145,genomic_domestic
2020-12-31,163,genomic_domestic
2021-12-31,200,genomic_domestic
2022-12-31,263,genomic_domestic
2023-12-31,244,genomic_domestic
2024-12-31,220,genomic_domestic
2025-12-31,167,genomic_domestic
2001-12-31,4,genomic_international
2002-12-31,6,genomic_international
2003-12-31,12,genomic_international
2004-12-31,12,genomic_international
2005-12-31,15,genomic_international
2006-12-31,15,genomic_international
2007-12-31,14,genomic_international
2008-12-31,14,genomic_international
2009-12-31,9,genomic_international
2010-12-31,8,genomic_international
2011-12-31,13,genomic_international
2012-12-31,10,genomic_international
2013-12-31,10,genomic_international
2014-12-31,13,genomic_international
2015-12-31,13,genomic_international
2016-12-31,14,genomic_international
2017-12-31,21,genomic_international
2018-12-31,17,genomic_international
2019-12-31,23,genomic_international
2020-12-31,27,genomic_international
2021-12-31,31,genomic_international
2022-12-31,37,genomic_international
2023-12-31,36,genomic_international
2024-12-31,39,genomic_international
2025-12-31,21,genomic_international
2014-12-31,1,healthcare-blockchain_domestic
2015-12-31,1,healthcare-blockchain_domestic
2016-12-31,5,healthcare-blockchain_domestic
2017-12-31,9,healthcare-blockchain_domestic
2018-12-31,52,healthcare-blockchain_domestic
2019-12-31,78,healthcare-blockchain_domestic
2020-12-31,84,healthcare-blockchain_domestic
2021-12-31,117,healthcare-blockchain_domestic
2022-12-31,189,healthcare-blockchain_domestic
2023-12-31,206,healthcare-blockchain_domestic
2024-12-31,186,healthcare-blockchain_domestic
2025-12-31,138,healthcare-blockchain_domestic
2016-12-31,5,healthcare-blockchain_international
2017-12-31,11,healthcare-blockchain_international
2018-12-31,31,healthcare-blockchain_international
2019-12-31,36,healthcare-blockchain_international
2020-12-31,43,healthcare-blockchain_international
2021-12-31,61,healthcare-blockchain_international
2022-12-31,71,healthcare-blockchain_international
2023-12-31,76,healthcare-blockchain_international
2024-12-31,78,healthcare-blockchain_international
2025-12-31,29,healthcare-blockchain_international
