filing_date,component,url,ownerOrg,name,cik
2025-03-07,ai_domestic,https://www.sec.gov/Archives/edgar/data/827187/000082718725000018/snbr-20241228.htm#:~:text=Health%20Research%20Artificial%20Intelligence,Manufacturing,Sleep Number Corp,827187
2024-10-10,ai_domestic,https://www.sec.gov/Archives/edgar/data/1527728/000173112224001578/e5986_10-k.htm#:~:text=Health%20Research%20Artificial%20Intelligence,Life Sciences,RENOVARO INC.,1527728
2024-12-04,ai_domestic,https://www.sec.gov/Archives/edgar/data/785557/000078555724000067/dlhc-20240930.htm#:~:text=Health%20Research%20Artificial%20Intelligence,Trade & Services,DLH Holdings Corp.,785557
2024-04-16,ai_domestic,https://www.sec.gov/Archives/edgar/data/1530766/000149315224014860/form10-k.htm#:~:text=Health%20Research%20Artificial%20Intelligence,Industrial Applications and Services,"BioSig Technologies, Inc.",1530766
2025-02-25,ai_domestic,https://www.sec.gov/Archives/edgar/data/1637207/000163720725000016/plnt-20241231.htm#:~:text=Health%20Research%20Artificial%20Intelligence,Trade & Services,"Planet Fitness, Inc.",1637207
2025-01-30,ai_domestic,https://www.sec.gov/Archives/edgar/data/1373715/000137371525000010/now-20241231.htm#:~:text=Health%20Research%20Artificial%20Intelligence,Technology,"ServiceNow, Inc.",1373715
2025-02-19,ai_domestic,https://www.sec.gov/Archives/edgar/data/1100682/000110068225000011/crl-20241228.htm#:~:text=Health%20Research%20Artificial%20Intelligence,Industrial Applications and Services,"CHARLES RIVER LABORATORIES INTERNATIONAL, INC.",1100682
2025-03-04,ai_domestic,https://www.sec.gov/Archives/edgar/data/1487428/000143774925006114/hrzn20241231_10k.htm#:~:text=Health%20Research%20Artificial%20Intelligence,,Horizon Technology Finance Corp,1487428
2025-02-27,ai_domestic,https://www.sec.gov/Archives/edgar/data/1816590/000162828025008412/cmps-20241231.htm#:~:text=Health%20Research%20Artificial%20Intelligence,Life Sciences,COMPASS Pathways plc,1816590
2025-02-07,ai_domestic,https://www.sec.gov/Archives/edgar/data/1521332/000152133225000010/aptv-20241231.htm#:~:text=Health%20Research%20Artificial%20Intelligence,Manufacturing,Aptiv PLC,1521332
