cik,date,value,component
726512,2001-01-01,1,alzheimer_domestic
740260,2001-01-01,1,alzheimer_domestic
787784,2001-01-01,1,alzheimer_domestic
858803,2001-01-01,1,alzheimer_domestic
864683,2001-01-01,1,alzheimer_domestic
876343,2001-01-01,1,alzheimer_domestic
882287,2001-01-01,1,alzheimer_domestic
918066,2001-01-01,1,alzheimer_domestic
1000693,2001-01-01,1,alzheimer_domestic
1011064,2001-01-01,1,alzheimer_domestic
1011693,2001-01-01,1,alzheimer_domestic
1012956,2001-01-01,1,alzheimer_domestic
1024096,2001-01-01,1,alzheimer_domestic
1108205,2001-01-01,1,alzheimer_domestic
70318,2002-01-01,1,alzheimer_domestic
78003,2002-01-01,1,alzheimer_domestic
202763,2002-01-01,1,alzheimer_domestic
740260,2002-01-01,1,alzheimer_domestic
815838,2002-01-01,1,alzheimer_domestic
822206,2002-01-01,1,alzheimer_domestic
849636,2002-01-01,1,alzheimer_domestic
856984,2002-01-01,1,alzheimer_domestic
858803,2002-01-01,1,alzheimer_domestic
861838,2002-01-01,1,alzheimer_domestic
864683,2002-01-01,1,alzheimer_domestic
886235,2002-01-01,1,alzheimer_domestic
918066,2002-01-01,1,alzheimer_domestic
918112,2002-01-01,1,alzheimer_domestic
1000693,2002-01-01,1,alzheimer_domestic
1011064,2002-01-01,1,alzheimer_domestic
1011693,2002-01-01,1,alzheimer_domestic
1012956,2002-01-01,1,alzheimer_domestic
1013218,2002-01-01,1,alzheimer_domestic
1060009,2002-01-01,1,alzheimer_domestic
1070698,2002-01-01,1,alzheimer_domestic
1077641,2002-01-01,1,alzheimer_domestic
1129552,2002-01-01,1,alzheimer_domestic
64978,2003-01-01,1,alzheimer_domestic
77551,2003-01-01,1,alzheimer_domestic
78003,2003-01-01,1,alzheimer_domestic
720154,2003-01-01,1,alzheimer_domestic
726512,2003-01-01,1,alzheimer_domestic
740112,2003-01-01,1,alzheimer_domestic
740260,2003-01-01,1,alzheimer_domestic
765880,2003-01-01,1,alzheimer_domestic
776325,2003-01-01,1,alzheimer_domestic
787784,2003-01-01,1,alzheimer_domestic
789944,2003-01-01,1,alzheimer_domestic
822206,2003-01-01,1,alzheimer_domestic
831547,2003-01-01,1,alzheimer_domestic
849043,2003-01-01,1,alzheimer_domestic
849636,2003-01-01,1,alzheimer_domestic
858803,2003-01-01,1,alzheimer_domestic
861838,2003-01-01,1,alzheimer_domestic
876343,2003-01-01,1,alzheimer_domestic
878736,2003-01-01,1,alzheimer_domestic
879106,2003-01-01,1,alzheimer_domestic
882287,2003-01-01,1,alzheimer_domestic
883975,2003-01-01,1,alzheimer_domestic
886235,2003-01-01,1,alzheimer_domestic
890465,2003-01-01,1,alzheimer_domestic
899394,2003-01-01,1,alzheimer_domestic
899923,2003-01-01,1,alzheimer_domestic
914475,2003-01-01,1,alzheimer_domestic
918066,2003-01-01,1,alzheimer_domestic
918112,2003-01-01,1,alzheimer_domestic
919623,2003-01-01,1,alzheimer_domestic
919956,2003-01-01,1,alzheimer_domestic
934448,2003-01-01,1,alzheimer_domestic
942133,2003-01-01,1,alzheimer_domestic
949322,2003-01-01,1,alzheimer_domestic
1001604,2003-01-01,1,alzheimer_domestic
1011064,2003-01-01,1,alzheimer_domestic
1011693,2003-01-01,1,alzheimer_domestic
1012956,2003-01-01,1,alzheimer_domestic
1030339,2003-01-01,1,alzheimer_domestic
1037649,2003-01-01,1,alzheimer_domestic
1048286,2003-01-01,1,alzheimer_domestic
1070698,2003-01-01,1,alzheimer_domestic
1075415,2003-01-01,1,alzheimer_domestic
1082038,2003-01-01,1,alzheimer_domestic
1098972,2003-01-01,1,alzheimer_domestic
1110803,2003-01-01,1,alzheimer_domestic
1129552,2003-01-01,1,alzheimer_domestic
1169358,2003-01-01,1,alzheimer_domestic
1198233,2003-01-01,1,alzheimer_domestic
1261734,2003-01-01,1,alzheimer_domestic
10081,2004-01-01,1,alzheimer_domestic
14272,2004-01-01,1,alzheimer_domestic
64978,2004-01-01,1,alzheimer_domestic
77551,2004-01-01,1,alzheimer_domestic
78003,2004-01-01,1,alzheimer_domestic
720154,2004-01-01,1,alzheimer_domestic
722104,2004-01-01,1,alzheimer_domestic
726990,2004-01-01,1,alzheimer_domestic
740260,2004-01-01,1,alzheimer_domestic
765880,2004-01-01,1,alzheimer_domestic
776325,2004-01-01,1,alzheimer_domestic
789944,2004-01-01,1,alzheimer_domestic
830156,2004-01-01,1,alzheimer_domestic
849636,2004-01-01,1,alzheimer_domestic
853274,2004-01-01,1,alzheimer_domestic
858803,2004-01-01,1,alzheimer_domestic
864683,2004-01-01,1,alzheimer_domestic
865231,2004-01-01,1,alzheimer_domestic
876343,2004-01-01,1,alzheimer_domestic
878736,2004-01-01,1,alzheimer_domestic
879106,2004-01-01,1,alzheimer_domestic
882287,2004-01-01,1,alzheimer_domestic
883975,2004-01-01,1,alzheimer_domestic
886235,2004-01-01,1,alzheimer_domestic
890465,2004-01-01,1,alzheimer_domestic
892025,2004-01-01,1,alzheimer_domestic
899394,2004-01-01,1,alzheimer_domestic
912240,2004-01-01,1,alzheimer_domestic
914475,2004-01-01,1,alzheimer_domestic
918112,2004-01-01,1,alzheimer_domestic
919623,2004-01-01,1,alzheimer_domestic
919956,2004-01-01,1,alzheimer_domestic
929548,2004-01-01,1,alzheimer_domestic
932903,2004-01-01,1,alzheimer_domestic
936402,2004-01-01,1,alzheimer_domestic
1011064,2004-01-01,1,alzheimer_domestic
1030339,2004-01-01,1,alzheimer_domestic
1030653,2004-01-01,1,alzheimer_domestic
1031329,2004-01-01,1,alzheimer_domestic
1037649,2004-01-01,1,alzheimer_domestic
1043000,2004-01-01,1,alzheimer_domestic
1055264,2004-01-01,1,alzheimer_domestic
1060009,2004-01-01,1,alzheimer_domestic
1070698,2004-01-01,1,alzheimer_domestic
1075415,2004-01-01,1,alzheimer_domestic
1082038,2004-01-01,1,alzheimer_domestic
1085770,2004-01-01,1,alzheimer_domestic
1098972,2004-01-01,1,alzheimer_domestic
1110803,2004-01-01,1,alzheimer_domestic
1118361,2004-01-01,1,alzheimer_domestic
1129552,2004-01-01,1,alzheimer_domestic
1159281,2004-01-01,1,alzheimer_domestic
1169358,2004-01-01,1,alzheimer_domestic
1198233,2004-01-01,1,alzheimer_domestic
1261734,2004-01-01,1,alzheimer_domestic
10081,2005-01-01,1,alzheimer_domestic
14272,2005-01-01,1,alzheimer_domestic
59478,2005-01-01,1,alzheimer_domestic
64670,2005-01-01,1,alzheimer_domestic
64978,2005-01-01,1,alzheimer_domestic
77551,2005-01-01,1,alzheimer_domestic
78003,2005-01-01,1,alzheimer_domestic
102198,2005-01-01,1,alzheimer_domestic
720154,2005-01-01,1,alzheimer_domestic
722104,2005-01-01,1,alzheimer_domestic
737207,2005-01-01,1,alzheimer_domestic
740260,2005-01-01,1,alzheimer_domestic
765880,2005-01-01,1,alzheimer_domestic
776325,2005-01-01,1,alzheimer_domestic
787784,2005-01-01,1,alzheimer_domestic
789944,2005-01-01,1,alzheimer_domestic
799698,2005-01-01,1,alzheimer_domestic
820081,2005-01-01,1,alzheimer_domestic
849636,2005-01-01,1,alzheimer_domestic
858803,2005-01-01,1,alzheimer_domestic
860451,2005-01-01,1,alzheimer_domestic
864683,2005-01-01,1,alzheimer_domestic
865231,2005-01-01,1,alzheimer_domestic
876343,2005-01-01,1,alzheimer_domestic
878736,2005-01-01,1,alzheimer_domestic
879106,2005-01-01,1,alzheimer_domestic
883975,2005-01-01,1,alzheimer_domestic
886235,2005-01-01,1,alzheimer_domestic
890465,2005-01-01,1,alzheimer_domestic
892025,2005-01-01,1,alzheimer_domestic
892112,2005-01-01,1,alzheimer_domestic
899394,2005-01-01,1,alzheimer_domestic
899923,2005-01-01,1,alzheimer_domestic
902622,2005-01-01,1,alzheimer_domestic
914475,2005-01-01,1,alzheimer_domestic
915913,2005-01-01,1,alzheimer_domestic
918112,2005-01-01,1,alzheimer_domestic
919623,2005-01-01,1,alzheimer_domestic
919956,2005-01-01,1,alzheimer_domestic
926617,2005-01-01,1,alzheimer_domestic
929548,2005-01-01,1,alzheimer_domestic
932903,2005-01-01,1,alzheimer_domestic
936402,2005-01-01,1,alzheimer_domestic
1001604,2005-01-01,1,alzheimer_domestic
1011064,2005-01-01,1,alzheimer_domestic
1019695,2005-01-01,1,alzheimer_domestic
1031329,2005-01-01,1,alzheimer_domestic
1037649,2005-01-01,1,alzheimer_domestic
1043000,2005-01-01,1,alzheimer_domestic
1043055,2005-01-01,1,alzheimer_domestic
1060009,2005-01-01,1,alzheimer_domestic
1062216,2005-01-01,1,alzheimer_domestic
1070698,2005-01-01,1,alzheimer_domestic
1075415,2005-01-01,1,alzheimer_domestic
1082038,2005-01-01,1,alzheimer_domestic
1085770,2005-01-01,1,alzheimer_domestic
1088856,2005-01-01,1,alzheimer_domestic
1098972,2005-01-01,1,alzheimer_domestic
1110803,2005-01-01,1,alzheimer_domestic
1133421,2005-01-01,1,alzheimer_domestic
1136174,2005-01-01,1,alzheimer_domestic
1145238,2005-01-01,1,alzheimer_domestic
1159281,2005-01-01,1,alzheimer_domestic
1178670,2005-01-01,1,alzheimer_domestic
1236736,2005-01-01,1,alzheimer_domestic
1261734,2005-01-01,1,alzheimer_domestic
1264899,2005-01-01,1,alzheimer_domestic
