filing_date,count,component
2001-12-31,14,alzheimer_domestic
2002-12-31,23,alzheimer_domestic
2003-12-31,50,alzheimer_domestic
2004-12-31,55,alzheimer_domestic
2005-12-31,71,alzheimer_domestic
2006-12-31,79,alzheimer_domestic
2007-12-31,89,alzheimer_domestic
2008-12-31,93,alzheimer_domestic
2009-12-31,120,alzheimer_domestic
2010-12-31,112,alzheimer_domestic
2011-12-31,103,alzheimer_domestic
2012-12-31,106,alzheimer_domestic
2013-12-31,100,alzheimer_domestic
2014-12-31,108,alzheimer_domestic
2015-12-31,107,alzheimer_domestic
2016-12-31,111,alzheimer_domestic
2017-12-31,104,alzheimer_domestic
2018-12-31,122,alzheimer_domestic
2019-12-31,132,alzheimer_domestic
2020-12-31,137,alzheimer_domestic
2021-12-31,167,alzheimer_domestic
2022-12-31,202,alzheimer_domestic
2023-12-31,198,alzheimer_domestic
2024-12-31,191,alzheimer_domestic
2025-12-31,128,alzheimer_domestic
2001-12-31,50,obesity_domestic
2002-12-31,51,obesity_domestic
2003-12-31,70,obesity_domestic
2004-12-31,101,obesity_domestic
2005-12-31,177,obesity_domestic
2006-12-31,192,obesity_domestic
2007-12-31,161,obesity_domestic
2008-12-31,194,obesity_domestic
2009-12-31,203,obesity_domestic
2010-12-31,201,obesity_domestic
2011-12-31,211,obesity_domestic
2012-12-31,205,obesity_domestic
2013-12-31,193,obesity_domestic
2014-12-31,207,obesity_domestic
2015-12-31,227,obesity_domestic
2016-12-31,211,obesity_domestic
2017-12-31,198,obesity_domestic
2018-12-31,180,obesity_domestic
2019-12-31,189,obesity_domestic
2020-12-31,193,obesity_domestic
2021-12-31,204,obesity_domestic
2022-12-31,227,obesity_domestic
2023-12-31,219,obesity_domestic
2024-12-31,223,obesity_domestic
2025-12-31,159,obesity_domestic
2002-12-31,1,nash_domestic
2003-12-31,1,nash_domestic
2004-12-31,2,nash_domestic
2005-12-31,4,nash_domestic
2006-12-31,2,nash_domestic
2007-12-31,2,nash_domestic
2008-12-31,2,nash_domestic
2009-12-31,4,nash_domestic
2010-12-31,5,nash_domestic
2011-12-31,5,nash_domestic
2012-12-31,6,nash_domestic
2013-12-31,4,nash_domestic
2014-12-31,10,nash_domestic
2015-12-31,14,nash_domestic
2016-12-31,19,nash_domestic
2017-12-31,29,nash_domestic
2018-12-31,30,nash_domestic
2019-12-31,35,nash_domestic
2020-12-31,38,nash_domestic
2021-12-31,47,nash_domestic
2022-12-31,48,nash_domestic
2023-12-31,47,nash_domestic
2024-12-31,35,nash_domestic
2025-12-31,17,nash_domestic
2001-12-31,1,ptsd_domestic
2002-12-31,1,ptsd_domestic
2003-12-31,1,ptsd_domestic
2004-12-31,1,ptsd_domestic
2005-12-31,1,ptsd_domestic
2006-12-31,1,ptsd_domestic
2007-12-31,1,ptsd_domestic
2008-12-31,1,ptsd_domestic
2009-12-31,3,ptsd_domestic
2010-12-31,2,ptsd_domestic
2011-12-31,2,ptsd_domestic
2012-12-31,3,ptsd_domestic
2013-12-31,6,ptsd_domestic
2014-12-31,8,ptsd_domestic
2015-12-31,11,ptsd_domestic
2016-12-31,12,ptsd_domestic
2017-12-31,16,ptsd_domestic
2018-12-31,18,ptsd_domestic
2019-12-31,29,ptsd_domestic
2020-12-31,33,ptsd_domestic
2021-12-31,35,ptsd_domestic
2022-12-31,43,ptsd_domestic
2023-12-31,50,ptsd_domestic
2024-12-31,47,ptsd_domestic
2025-12-31,25,ptsd_domestic
2001-12-31,2,alzheimer_international
2002-12-31,2,alzheimer_international
2003-12-31,10,alzheimer_international
2004-12-31,12,alzheimer_international
2005-12-31,10,alzheimer_international
2006-12-31,16,alzheimer_international
2007-12-31,15,alzheimer_international
2008-12-31,16,alzheimer_international
2009-12-31,13,alzheimer_international
2010-12-31,12,alzheimer_international
2011-12-31,8,alzheimer_international
2012-12-31,9,alzheimer_international
2013-12-31,12,alzheimer_international
2014-12-31,12,alzheimer_international
2015-12-31,14,alzheimer_international
2016-12-31,22,alzheimer_international
2017-12-31,27,alzheimer_international
2018-12-31,19,alzheimer_international
2019-12-31,23,alzheimer_international
