filing_date,component,url,ownerOrg,name,cik
2024-06-24,alzheimer_domestic,https://www.sec.gov/Archives/edgar/data/1326205/000118518524000650/igcpharma20240331_10k.htm#:~:text=Alzheimer,Life Sciences,"IGC Pharma, Inc.",1326205
2025-03-03,alzheimer_domestic,https://www.sec.gov/Archives/edgar/data/1069530/000143774925005919/sava20241231c_10k.htm#:~:text=Alzheimer,Life Sciences,CASSAVA SCIENCES INC,1069530
2024-07-30,alzheimer_domestic,https://www.sec.gov/Archives/edgar/data/1677077/000121465924013191/x71924010k.htm#:~:text=Alzheimer,Life Sciences,"Alzamend Neuro, Inc.",1677077
2024-12-23,alzheimer_domestic,https://www.sec.gov/Archives/edgar/data/1314052/000173112224002041/e6219_10-k.htm#:~:text=Alzheimer,Life Sciences,ANAVEX LIFE SCIENCES CORP.,1314052
2025-03-27,alzheimer_domestic,https://www.sec.gov/Archives/edgar/data/1711754/000101376225003354/ea0229965-10k_inmune.htm#:~:text=Alzheimer,Life Sciences,"Inmune Bio, Inc.",1711754
2025-03-17,alzheimer_domestic,https://www.sec.gov/Archives/edgar/data/1503274/000150327425000031/qtrx-20241231.htm#:~:text=Alzheimer,Industrial Applications and Services,Quanterix Corp,1503274
2025-03-28,alzheimer_domestic,https://www.sec.gov/Archives/edgar/data/1679628/000164117225001261/form10-k.htm#:~:text=Alzheimer,Life Sciences,"JUPITER NEUROSCIENCES, INC.",1679628
2025-02-26,alzheimer_domestic,https://www.sec.gov/Archives/edgar/data/1653087/000095017025027758/alec-20241231.htm#:~:text=Alzheimer,Life Sciences,"Alector, Inc.",1653087
2024-09-30,alzheimer_domestic,https://www.sec.gov/Archives/edgar/data/1728328/000121390024082843/ea0214241-10k_inmed.htm#:~:text=Alzheimer,Life Sciences,InMed Pharmaceuticals Inc.,1728328
2025-02-27,alzheimer_domestic,https://www.sec.gov/Archives/edgar/data/1559053/000155905325000009/prta-20241231.htm#:~:text=Alzheimer,Life Sciences,PROTHENA CORP PUBLIC LTD CO,1559053
2025-03-28,alzheimer_domestic,https://www.sec.gov/Archives/edgar/data/1720893/000155837025003985/btai-20241231x10k.htm#:~:text=Alzheimer,Life Sciences,"BioXcel Therapeutics, Inc.",1720893
2025-03-28,alzheimer_domestic,https://www.sec.gov/Archives/edgar/data/1514183/000101376225004139/ea0234891-10k_silopharma.htm#:~:text=Alzheimer,Life Sciences,"Silo Pharma, Inc.",1514183
2025-03-27,alzheimer_domestic,https://www.sec.gov/Archives/edgar/data/1571934/000141057825000518/snpx-20241231x10k.htm#:~:text=Alzheimer,Life Sciences,"Synaptogenix, Inc.",1571934
2025-01-28,alzheimer_domestic,https://www.sec.gov/Archives/edgar/data/793171/000149315225003942/form10-k.htm#:~:text=Alzheimer,Life Sciences,"Vitro Biopharma, Inc.",793171
2025-02-28,alzheimer_domestic,https://www.sec.gov/Archives/edgar/data/1721484/000095017025029968/lgvn-20241231.htm#:~:text=Alzheimer,Life Sciences,Longeveron Inc.,1721484
2025-02-26,alzheimer_domestic,https://www.sec.gov/Archives/edgar/data/1521036/000162828025007970/lnth-20241231.htm#:~:text=Alzheimer,Life Sciences,"Lantheus Holdings, Inc.",1521036
2024-09-30,alzheimer_domestic,https://www.sec.gov/Archives/edgar/data/1580149/000152013824000324/bivi-20240630_10k.htm#:~:text=Alzheimer,Life Sciences,BIOVIE INC.,1580149
2025-03-03,alzheimer_domestic,https://www.sec.gov/Archives/edgar/data/1593773/000147793225001401/kgnr_10k.htm#:~:text=Alzheimer,Technology,AMJ Global Technology,1593773
2024-05-17,alzheimer_domestic,https://www.sec.gov/Archives/edgar/data/1643301/000147793224003092/avrw_ex1037.htm#:~:text=Alzheimer,Life Sciences,"Avenir Wellness Solutions, Inc.",1643301
