filing_date,count,component
2001-08-31,1,general_domestic
2001-09-30,0,general_domestic
2001-10-31,0,general_domestic
2001-11-30,0,general_domestic
2001-12-31,0,general_domestic
2002-01-31,0,general_domestic
2002-02-28,0,general_domestic
2002-03-31,0,general_domestic
2002-04-30,0,general_domestic
2002-05-31,0,general_domestic
2002-06-30,0,general_domestic
2002-07-31,0,general_domestic
2002-08-31,0,general_domestic
2002-09-30,0,general_domestic
2002-10-31,0,general_domestic
2002-11-30,0,general_domestic
2002-12-31,2,general_domestic
2003-01-31,0,general_domestic
2003-02-28,0,general_domestic
2003-03-31,0,general_domestic
2003-04-30,1,general_domestic
2003-05-31,0,general_domestic
2003-06-30,0,general_domestic
2003-07-31,2,general_domestic
2003-08-31,0,general_domestic
2003-09-30,1,general_domestic
2003-10-31,1,general_domestic
2003-11-30,0,general_domestic
2003-12-31,0,general_domestic
2004-01-31,1,general_domestic
2004-02-29,0,general_domestic
2004-03-31,0,general_domestic
2004-04-30,1,general_domestic
2004-05-31,0,general_domestic
2004-06-30,1,general_domestic
2004-07-31,1,general_domestic
2004-08-31,2,general_domestic
2004-09-30,1,general_domestic
2004-10-31,5,general_domestic
2004-11-30,1,general_domestic
2004-12-31,1,general_domestic
2005-01-31,0,general_domestic
2005-02-28,0,general_domestic
2005-03-31,0,general_domestic
2005-04-30,0,general_domestic
2005-05-31,5,general_domestic
2005-06-30,1,general_domestic
2005-07-31,3,general_domestic
2005-08-31,3,general_domestic
2005-09-30,2,general_domestic
2005-10-31,6,general_domestic
2005-11-30,13,general_domestic
2005-12-31,3,general_domestic
2006-01-31,3,general_domestic
2006-02-28,9,general_domestic
2006-03-31,14,general_domestic
2006-04-30,12,general_domestic
2006-05-31,15,general_domestic
2006-06-30,6,general_domestic
2006-07-31,15,general_domestic
2006-08-31,19,general_domestic
2006-09-30,11,general_domestic
2006-10-31,20,general_domestic
2006-11-30,21,general_domestic
2006-12-31,20,general_domestic
2007-01-31,16,general_domestic
2007-02-28,26,general_domestic
2007-03-31,15,general_domestic
2007-04-30,25,general_domestic
2007-05-31,22,general_domestic
2007-06-30,11,general_domestic
2007-07-31,23,general_domestic
2007-08-31,21,general_domestic
2007-09-30,4,general_domestic
2007-10-31,25,general_domestic
2007-11-30,15,general_domestic
2007-12-31,16,general_domestic
2008-01-31,26,general_domestic
2008-02-29,23,general_domestic
2008-03-31,9,general_domestic
2008-04-30,24,general_domestic
2008-05-31,20,general_domestic
2008-06-30,3,general_domestic
2008-07-31,23,general_domestic
2008-08-31,22,general_domestic
2008-09-30,7,general_domestic
2008-10-31,22,general_domestic
2008-11-30,18,general_domestic
2008-12-31,11,general_domestic
2009-01-31,16,general_domestic
2009-02-28,20,general_domestic
2009-03-31,10,general_domestic
2009-04-30,28,general_domestic
2009-05-31,30,general_domestic
2009-06-30,16,general_domestic
2009-07-31,44,general_domestic
2009-08-31,29,general_domestic
2009-09-30,22,general_domestic
2009-10-31,40,general_domestic
2009-11-30,38,general_domestic
2009-12-31,14,general_domestic
2010-01-31,29,general_domestic
2010-02-28,34,general_domestic
2010-03-31,26,general_domestic
2010-04-30,30,general_domestic
2010-05-31,29,general_domestic
2010-06-30,15,general_domestic
2010-07-31,32,general_domestic
2010-08-31,35,general_domestic
2010-09-30,9,general_domestic
2010-10-31,32,general_domestic
2010-11-30,38,general_domestic
2010-12-31,16,general_domestic
2011-01-31,19,general_domestic
2011-02-28,44,general_domestic
2011-03-31,26,general_domestic
2011-04-30,25,general_domestic
2011-05-31,40,general_domestic
2011-06-30,14,general_domestic
2011-07-31,30,general_domestic
2011-08-31,22,general_domestic
2011-09-30,10,general_domestic
2011-10-31,19,general_domestic
2011-11-30,22,general_domestic
2011-12-31,8,general_domestic
2012-01-31,15,general_domestic
2012-02-29,31,general_domestic
2012-03-31,18,general_domestic
2012-04-30,17,general_domestic
2012-05-31,30,general_domestic
2012-06-30,8,general_domestic
2012-07-31,25,general_domestic
2012-08-31,29,general_domestic
2012-09-30,9,general_domestic
2012-10-31,9,general_domestic
2012-11-30,39,general_domestic
2012-12-31,13,general_domestic
2013-01-31,19,general_domestic
2013-02-28,30,general_domestic
2013-03-31,20,general_domestic
2013-04-30,25,general_domestic
2013-05-31,27,general_domestic
2013-06-30,14,general_domestic
2013-07-31,29,general_domestic
2013-08-31,28,general_domestic
2013-09-30,11,general_domestic
2013-10-31,20,general_domestic
2013-11-30,33,general_domestic
2013-12-31,16,general_domestic
2014-01-31,23,general_domestic
2014-02-28,33,general_domestic
2014-03-31,12,general_domestic
2014-04-30,23,general_domestic
2014-05-31,24,general_domestic
2014-06-30,11,general_domestic
2014-07-31,28,general_domestic
2014-08-31,21,general_domestic
2014-09-30,12,general_domestic
2014-10-31,29,general_domestic
2014-11-30,29,general_domestic
2014-12-31,21,general_domestic
2015-01-31,14,general_domestic
2015-02-28,31,general_domestic
2015-03-31,16,general_domestic
2015-04-30,29,general_domestic
2015-05-31,38,general_domestic
2015-06-30,12,general_domestic
2015-07-31,25,general_domestic
2015-08-31,25,general_domestic
2015-09-30,15,general_domestic
2015-10-31,24,general_domestic
2015-11-30,32,general_domestic
2015-12-31,14,general_domestic
2016-01-31,10,general_domestic
2016-02-29,40,general_domestic
2016-03-31,19,general_domestic
2016-04-30,21,general_domestic
2016-05-31,26,general_domestic
2016-06-30,17,general_domestic
2016-07-31,28,general_domestic
2016-08-31,25,general_domestic
2016-09-30,11,general_domestic
2016-10-31,16,general_domestic
2016-11-30,37,general_domestic
2016-12-31,19,general_domestic
2017-01-31,17,general_domestic
2017-02-28,42,general_domestic
2017-03-31,22,general_domestic
2017-04-30,25,general_domestic
2017-05-31,42,general_domestic
2017-06-30,7,general_domestic
2017-07-31,19,general_domestic
2017-08-31,29,general_domestic
2017-09-30,14,general_domestic
2017-10-31,20,general_domestic
2017-11-30,26,general_domestic
2017-12-31,16,general_domestic
2018-01-31,16,general_domestic
2018-02-28,34,general_domestic
2018-03-31,19,general_domestic
2018-04-30,19,general_domestic
2018-05-31,32,general_domestic
2018-06-30,17,general_domestic
2018-07-31,19,general_domestic
2018-08-31,35,general_domestic
2018-09-30,14,general_domestic
2018-10-31,31,general_domestic
2018-11-30,24,general_domestic
2018-12-31,7,general_domestic
2019-01-31,17,general_domestic
2019-02-28,23,general_domestic
2019-03-31,15,general_domestic
2019-04-30,11,general_domestic
2019-05-31,44,general_domestic
2019-06-30,8,general_domestic
2019-07-31,19,general_domestic
2019-08-31,36,general_domestic
2019-09-30,16,general_domestic
2019-10-31,26,general_domestic
2019-11-30,25,general_domestic
2019-12-31,15,general_domestic
2020-01-31,19,general_domestic
2020-02-29,64,general_domestic
2020-03-31,1353,general_domestic
2020-04-30,3101,general_domestic
2020-05-31,3916,general_domestic
2020-06-30,1561,general_domestic
2020-07-31,2415,general_domestic
2020-08-31,2951,general_domestic
2020-09-30,1312,general_domestic
2020-10-31,2393,general_domestic
2020-11-30,2839,general_domestic
2020-12-31,1333,general_domestic
2021-01-31,1857,general_domestic
2021-02-28,2923,general_domestic
2021-03-31,2326,general_domestic
2021-04-30,2232,general_domestic
2021-05-31,2943,general_domestic
2021-06-30,1222,general_domestic
2021-07-31,2084,general_domestic
2021-08-31,2885,general_domestic
2021-09-30,1218,general_domestic
2021-10-31,2010,general_domestic
2021-11-30,3041,general_domestic
2021-12-31,1230,general_domestic
2022-01-31,1636,general_domestic
2022-02-28,2497,general_domestic
2022-03-31,1902,general_domestic
2022-04-30,1697,general_domestic
2022-05-31,2830,general_domestic
2022-06-30,1006,general_domestic
2022-07-31,1468,general_domestic
2022-08-31,2627,general_domestic
2022-09-30,911,general_domestic
2022-10-31,1619,general_domestic
2022-11-30,2522,general_domestic
2022-12-31,895,general_domestic
2023-01-31,1334,general_domestic
2023-02-28,1864,general_domestic
2023-03-31,1376,general_domestic
2023-04-30,1072,general_domestic
2023-05-31,1893,general_domestic
2023-06-30,640,general_domestic
2023-07-31,857,general_domestic
2023-08-31,1425,general_domestic
2023-09-30,533,general_domestic
2023-10-31,857,general_domestic
2023-11-30,1159,general_domestic
2023-12-31,432,general_domestic
2024-01-31,626,general_domestic
2024-02-29,793,general_domestic
2024-03-31,454,general_domestic
2024-04-30,551,general_domestic
