ownerOrg,period,count,component
Crypto Assets,0,14,general_domestic
Crypto Assets,1,2,general_domestic
Energy & Transportation,0,33,general_domestic
Energy & Transportation,1,60,general_domestic
Finance,0,22,general_domestic
Finance,1,43,general_domestic
Industrial Applications and Services,0,26,general_domestic
Industrial Applications and Services,1,35,general_domestic
Life Sciences,0,43,general_domestic
Life Sciences,1,42,general_domestic
Manufacturing,0,29,general_domestic
Manufacturing,1,63,general_domestic
Office of Structured Finance,0,25,general_domestic
Office of Structured Finance,1,7,general_domestic
Real Estate & Construction,0,31,general_domestic
Real Estate & Construction,1,65,general_domestic
Technology,0,13,general_domestic
Technology,1,37,general_domestic
Trade & Services,0,37,general_domestic
Trade & Services,1,64,general_domestic
Crypto Assets,0,14,covid-19_domestic
Crypto Assets,1,2,covid-19_domestic
Energy & Transportation,0,21,covid-19_domestic
Energy & Transportation,1,35,covid-19_domestic
Finance,0,11,covid-19_domestic
Finance,1,28,covid-19_domestic
Industrial Applications and Services,0,36,covid-19_domestic
Industrial Applications and Services,1,37,covid-19_domestic
Life Sciences,0,54,covid-19_domestic
Life Sciences,1,61,covid-19_domestic
Manufacturing,0,27,covid-19_domestic
Manufacturing,1,54,covid-19_domestic
Office of Structured Finance,0,6,covid-19_domestic
Office of Structured Finance,1,6,covid-19_domestic
Real Estate & Construction,0,15,covid-19_domestic
Real Estate & Construction,1,50,covid-19_domestic
Technology,0,10,covid-19_domestic
Technology,1,22,covid-19_domestic
Trade & Services,0,34,covid-19_domestic
Trade & Services,1,48,covid-19_domestic
Crypto Assets,0,2,general_international
Crypto Assets,1,2,general_international
Energy & Transportation,0,30,general_international
Energy & Transportation,1,50,general_international
Finance,0,20,general_international
Finance,1,24,general_international
Industrial Applications and Services,0,12,general_international
Industrial Applications and Services,1,17,general_international
Life Sciences,0,23,general_international
Life Sciences,1,15,general_international
Manufacturing,0,17,general_international
Manufacturing,1,17,general_international
Real Estate & Construction,0,2,general_international
Real Estate & Construction,1,4,general_international
Technology,0,19,general_international
Technology,1,25,general_international
Trade & Services,0,9,general_international
Trade & Services,1,15,general_international
Crypto Assets,0,1,covid-19_international
Crypto Assets,1,3,covid-19_international
Energy & Transportation,0,42,covid-19_international
Energy & Transportation,1,42,covid-19_international
Finance,0,24,covid-19_international
Finance,1,11,covid-19_international
Industrial Applications and Services,0,10,covid-19_international
Industrial Applications and Services,1,21,covid-19_international
Life Sciences,0,24,covid-19_international
Life Sciences,1,19,covid-19_international
Manufacturing,0,19,covid-19_international
Manufacturing,1,12,covid-19_international
Real Estate & Construction,0,3,covid-19_international
Real Estate & Construction,1,3,covid-19_international
Technology,0,13,covid-19_international
Technology,1,19,covid-19_international
Trade & Services,0,13,covid-19_international
Trade & Services,1,12,covid-19_international
