cik,date,value,component
6281,2001-01-01,1,domestic
319815,2001-01-01,1,domestic
726512,2001-01-01,1,domestic
769397,2001-01-01,1,domestic
772406,2001-01-01,1,domestic
795403,2001-01-01,1,domestic
798757,2001-01-01,1,domestic
815094,2001-01-01,1,domestic
851478,2001-01-01,1,domestic
855654,2001-01-01,1,domestic
866535,2001-01-01,1,domestic
875320,2001-01-01,1,domestic
877931,2001-01-01,1,domestic
878903,2001-01-01,1,domestic
882100,2001-01-01,1,domestic
886163,2001-01-01,1,domestic
886235,2001-01-01,1,domestic
887137,2001-01-01,1,domestic
890465,2001-01-01,1,domestic
890801,2001-01-01,1,domestic
896264,2001-01-01,1,domestic
911326,2001-01-01,1,domestic
914923,2001-01-01,1,domestic
919583,2001-01-01,1,domestic
934473,2001-01-01,1,domestic
941604,2001-01-01,1,domestic
944950,2001-01-01,1,domestic
946840,2001-01-01,1,domestic
947427,2001-01-01,1,domestic
948708,2001-01-01,1,domestic
1010552,2001-01-01,1,domestic
1015739,2001-01-01,1,domestic
1018710,2001-01-01,1,domestic
1022622,2001-01-01,1,domestic
1027443,2001-01-01,1,domestic
1028751,2001-01-01,1,domestic
1034072,2001-01-01,1,domestic
1038074,2001-01-01,1,domestic
1045609,2001-01-01,1,domestic
1045610,2001-01-01,1,domestic
1046832,2001-01-01,1,domestic
1048695,2001-01-01,1,domestic
1050776,2001-01-01,1,domestic
1051490,2001-01-01,1,domestic
1052196,2001-01-01,1,domestic
1054374,2001-01-01,1,domestic
1058057,2001-01-01,1,domestic
1066026,2001-01-01,1,domestic
1069502,2001-01-01,1,domestic
1075531,2001-01-01,1,domestic
1076914,2001-01-01,1,domestic
1077634,2001-01-01,1,domestic
1078295,2001-01-01,1,domestic
1082038,2001-01-01,1,domestic
1082337,2001-01-01,1,domestic
1085095,2001-01-01,1,domestic
1094087,2001-01-01,1,domestic
1097002,2001-01-01,1,domestic
1097264,2001-01-01,1,domestic
1097641,2001-01-01,1,domestic
1098972,2001-01-01,1,domestic
1099674,2001-01-01,1,domestic
1103345,2001-01-01,1,domestic
1103354,2001-01-01,1,domestic
1106851,2001-01-01,1,domestic
1108341,2001-01-01,1,domestic
1109279,2001-01-01,1,domestic
1114483,2001-01-01,1,domestic
6281,2002-01-01,1,domestic
30697,2002-01-01,1,domestic
61442,2002-01-01,1,domestic
67215,2002-01-01,1,domestic
319815,2002-01-01,1,domestic
350917,2002-01-01,1,domestic
351721,2002-01-01,1,domestic
352988,2002-01-01,1,domestic
726512,2002-01-01,1,domestic
769397,2002-01-01,1,domestic
771266,2002-01-01,1,domestic
772406,2002-01-01,1,domestic
795403,2002-01-01,1,domestic
815094,2002-01-01,1,domestic
836690,2002-01-01,1,domestic
840824,2002-01-01,1,domestic
855109,2002-01-01,1,domestic
855654,2002-01-01,1,domestic
875320,2002-01-01,1,domestic
877931,2002-01-01,1,domestic
878748,2002-01-01,1,domestic
878903,2002-01-01,1,domestic
882100,2002-01-01,1,domestic
886235,2002-01-01,1,domestic
887137,2002-01-01,1,domestic
896264,2002-01-01,1,domestic
896878,2002-01-01,1,domestic
899636,2002-01-01,1,domestic
907237,2002-01-01,1,domestic
918765,2002-01-01,1,domestic
919583,2002-01-01,1,domestic
934473,2002-01-01,1,domestic
946581,2002-01-01,1,domestic
947427,2002-01-01,1,domestic
948708,2002-01-01,1,domestic
949858,2002-01-01,1,domestic
1005387,2002-01-01,1,domestic
1009405,2002-01-01,1,domestic
1015739,2002-01-01,1,domestic
1015923,2002-01-01,1,domestic
1027443,2002-01-01,1,domestic
1027702,2002-01-01,1,domestic
1028751,2002-01-01,1,domestic
1030485,2002-01-01,1,domestic
1034072,2002-01-01,1,domestic
1038339,2002-01-01,1,domestic
1040161,2002-01-01,1,domestic
1043866,2002-01-01,1,domestic
1045609,2002-01-01,1,domestic
1045610,2002-01-01,1,domestic
1045810,2002-01-01,1,domestic
1046327,2002-01-01,1,domestic
1046832,2002-01-01,1,domestic
1047499,2002-01-01,1,domestic
1048695,2002-01-01,1,domestic
1050776,2002-01-01,1,domestic
