filing_date,count,component
2001-12-31,68,outsourcing
2002-12-31,93,outsourcing
2003-12-31,129,outsourcing
2004-12-31,137,outsourcing
2005-12-31,173,outsourcing
2006-12-31,238,outsourcing
2007-12-31,265,outsourcing
2008-12-31,293,outsourcing
2009-12-31,331,outsourcing
2010-12-31,344,outsourcing
2011-12-31,381,outsourcing
2012-12-31,384,outsourcing
2013-12-31,400,outsourcing
2014-12-31,466,outsourcing
2015-12-31,513,outsourcing
2016-12-31,534,outsourcing
2017-12-31,530,outsourcing
2018-12-31,584,outsourcing
2019-12-31,638,outsourcing
2020-12-31,707,outsourcing
2021-12-31,870,outsourcing
2022-12-31,1014,outsourcing
2023-12-31,1048,outsourcing
2024-12-31,1229,outsourcing
2025-12-31,871,outsourcing
