filing_date,component,url,ownerOrg,name,cik
2025-02-27,domestic,https://www.sec.gov/Archives/edgar/data/1846069/000184606925000017/kind-20241231.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Technology,"Nextdoor Holdings, Inc.",1846069
2025-03-26,domestic,https://www.sec.gov/Archives/edgar/data/1166388/000116638825000014/vrnt-20250131.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Technology,VERINT SYSTEMS INC,1166388
2024-12-20,domestic,https://www.sec.gov/Archives/edgar/data/936395/000093639524000044/cien-20241102.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Manufacturing,CIENA CORP,936395
2025-02-14,domestic,https://www.sec.gov/Archives/edgar/data/1759509/000175950925000025/lyft-20241231.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Energy & Transportation,"Lyft, Inc.",1759509
2025-02-21,domestic,https://www.sec.gov/Archives/edgar/data/1532961/000162828025007077/nvee-20241228.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Trade & Services,"NV5 Global, Inc.",1532961
2025-03-12,domestic,https://www.sec.gov/Archives/edgar/data/1664740/000149315225009930/form10-k.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Real Estate & Construction,MBC FUNDING II CORP.,1664740
2025-03-13,domestic,https://www.sec.gov/Archives/edgar/data/1015739/000095017025038714/awre-20241231.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Technology,AWARE INC /MA/,1015739
2025-02-13,domestic,https://www.sec.gov/Archives/edgar/data/1932393/000193239325000005/gehc-20241231.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Industrial Applications and Services,GE HealthCare Technologies Inc.,1932393
2025-02-25,domestic,https://www.sec.gov/Archives/edgar/data/1831097/000162828025007721/agl-20241231.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Industrial Applications and Services,"agilon health, inc.",1831097
2025-02-26,domestic,https://www.sec.gov/Archives/edgar/data/1856314/000185631425000008/you-20241231.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Technology,"Clear Secure, Inc.",1856314
