cik,date,value,component
887733,2001-01-01,1,domestic
1052958,2001-01-01,1,domestic
1059562,2001-01-01,1,domestic
1092657,2001-01-01,1,domestic
1096199,2001-01-01,1,domestic
1100962,2001-01-01,1,domestic
6260,2002-01-01,1,domestic
866374,2002-01-01,1,domestic
887733,2002-01-01,1,domestic
912609,2002-01-01,1,domestic
914271,2002-01-01,1,domestic
1027882,2002-01-01,1,domestic
1034239,2002-01-01,1,domestic
1052958,2002-01-01,1,domestic
1059562,2002-01-01,1,domestic
1096199,2002-01-01,1,domestic
1100962,2002-01-01,1,domestic
1130950,2002-01-01,1,domestic
1168468,2002-01-01,1,domestic
3116,2003-01-01,1,domestic
6260,2003-01-01,1,domestic
54050,2003-01-01,1,domestic
72243,2003-01-01,1,domestic
105016,2003-01-01,1,domestic
866374,2003-01-01,1,domestic
887733,2003-01-01,1,domestic
912609,2003-01-01,1,domestic
914271,2003-01-01,1,domestic
926423,2003-01-01,1,domestic
1014022,2003-01-01,1,domestic
1027882,2003-01-01,1,domestic
1034239,2003-01-01,1,domestic
1059562,2003-01-01,1,domestic
1095315,2003-01-01,1,domestic
1096199,2003-01-01,1,domestic
1100962,2003-01-01,1,domestic
1130950,2003-01-01,1,domestic
1137789,2003-01-01,1,domestic
1140761,2003-01-01,1,domestic
1168468,2003-01-01,1,domestic
3116,2004-01-01,1,domestic
6260,2004-01-01,1,domestic
54050,2004-01-01,1,domestic
54476,2004-01-01,1,domestic
72243,2004-01-01,1,domestic
105016,2004-01-01,1,domestic
887733,2004-01-01,1,domestic
926423,2004-01-01,1,domestic
1014022,2004-01-01,1,domestic
1034239,2004-01-01,1,domestic
1059562,2004-01-01,1,domestic
1095315,2004-01-01,1,domestic
1096199,2004-01-01,1,domestic
1100962,2004-01-01,1,domestic
1130950,2004-01-01,1,domestic
1137789,2004-01-01,1,domestic
1143068,2004-01-01,1,domestic
1168468,2004-01-01,1,domestic
1277021,2004-01-01,1,domestic
3116,2005-01-01,1,domestic
9389,2005-01-01,1,domestic
54476,2005-01-01,1,domestic
72243,2005-01-01,1,domestic
105016,2005-01-01,1,domestic
837472,2005-01-01,1,domestic
882289,2005-01-01,1,domestic
887733,2005-01-01,1,domestic
895812,2005-01-01,1,domestic
926423,2005-01-01,1,domestic
1014022,2005-01-01,1,domestic
1034239,2005-01-01,1,domestic
1059562,2005-01-01,1,domestic
1095315,2005-01-01,1,domestic
1096199,2005-01-01,1,domestic
1100962,2005-01-01,1,domestic
1130950,2005-01-01,1,domestic
1137789,2005-01-01,1,domestic
1140761,2005-01-01,1,domestic
1143068,2005-01-01,1,domestic
