filing_date,count,component
2001-12-31,6,domestic
2002-12-31,13,domestic
2003-12-31,21,domestic
2004-12-31,19,domestic
2005-12-31,26,domestic
2006-12-31,35,domestic
2007-12-31,33,domestic
2008-12-31,41,domestic
2009-12-31,46,domestic
2010-12-31,44,domestic
2011-12-31,41,domestic
2012-12-31,39,domestic
2013-12-31,43,domestic
2014-12-31,38,domestic
2015-12-31,48,domestic
2016-12-31,56,domestic
2017-12-31,60,domestic
2018-12-31,57,domestic
2019-12-31,64,domestic
2020-12-31,65,domestic
2021-12-31,66,domestic
2022-12-31,81,domestic
2023-12-31,78,domestic
2024-12-31,85,domestic
2025-12-31,50,domestic
2003-12-31,2,international
2004-12-31,1,international
2005-12-31,1,international
2006-12-31,1,international
2007-12-31,2,international
2008-12-31,5,international
2009-12-31,5,international
2010-12-31,4,international
2011-12-31,5,international
2012-12-31,4,international
2013-12-31,1,international
2014-12-31,1,international
2015-12-31,4,international
2016-12-31,3,international
2017-12-31,2,international
2018-12-31,4,international
2019-12-31,8,international
2020-12-31,10,international
2021-12-31,10,international
2022-12-31,12,international
2023-12-31,16,international
2024-12-31,22,international
2025-12-31,4,international
