filing_date,component,url,ownerOrg,name
2025-02-28,domestic,https://www.sec.gov/Archives/edgar/data/105016/000119312525041730/d898605d10k.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Trade & Services,WATSCO INC
2025-03-17,domestic,https://www.sec.gov/Archives/edgar/data/89140/000143774925007993/svt20241231c_10k.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Manufacturing,SERVOTRONICS INC /DE/
2024-09-05,domestic,https://www.sec.gov/Archives/edgar/data/788920/000155335024000079/pdex_10k-063024.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Industrial Applications and Services,PRO DEX INC
2024-10-10,domestic,https://www.sec.gov/Archives/edgar/data/1935033/000149315224040685/form10-k.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Trade & Services,KEEMO Fashion Group Ltd
2025-03-21,domestic,https://www.sec.gov/Archives/edgar/data/101295/000117184325001611/ug20241231_10k.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Industrial Applications and Services,UNITED GUARDIAN INC
2024-08-26,domestic,https://www.sec.gov/Archives/edgar/data/779152/000077915224000079/jkhy-20240630.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Technology,JACK HENRY & ASSOCIATES INC
2024-04-30,domestic,https://www.sec.gov/Archives/edgar/data/926423/000143774924013973/mind20240131_10k.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Manufacturing,"MIND TECHNOLOGY, INC"
2025-02-20,domestic,https://www.sec.gov/Archives/edgar/data/277135/000027713525000010/gww-20241231.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Trade & Services,"W.W. GRAINGER, INC."
2025-02-25,domestic,https://www.sec.gov/Archives/edgar/data/107263/000010726325000031/wmb-20241231.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Energy & Transportation,"WILLIAMS COMPANIES, INC."
2025-02-25,domestic,https://www.sec.gov/Archives/edgar/data/110019/000010726325000031/wmb-20241231.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Energy & Transportation,NORTHWEST PIPELINE LLC
2025-02-25,domestic,https://www.sec.gov/Archives/edgar/data/99250/000010726325000031/wmb-20241231.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Energy & Transportation,"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC"
2025-03-03,domestic,https://www.sec.gov/Archives/edgar/data/834365/000162828025009511/blfs-20241231.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Industrial Applications and Services,BIOLIFE SOLUTIONS INC
2025-02-24,domestic,https://www.sec.gov/Archives/edgar/data/1818383/000181838325000022/max-20241231.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Trade & Services,"MediaAlpha, Inc."
2024-09-12,domestic,https://www.sec.gov/Archives/edgar/data/65312/000117494724001056/ea0212437-10k_eviindus.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Trade & Services,"EVI INDUSTRIES, INC."
2025-03-06,domestic,https://www.sec.gov/Archives/edgar/data/918541/000091854125000018/nnbr-20241231.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Technology,NN INC
2025-02-27,domestic,https://www.sec.gov/Archives/edgar/data/1552800/000155280025000003/ttsh-20241231x10k.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Trade & Services,"TILE SHOP HOLDINGS, INC."
2024-11-29,domestic,https://www.sec.gov/Archives/edgar/data/1868941/000186894124000070/flnc-20240930.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Manufacturing,"Fluence Energy, Inc."
2024-07-01,domestic,https://www.sec.gov/Archives/edgar/data/1849221/000149315224025792/form10-k.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Manufacturing,Perfect Moment Ltd.
2025-03-05,domestic,https://www.sec.gov/Archives/edgar/data/1758766/000175876625000005/stem-20241231.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Manufacturing,"STEM, INC."
2024-06-27,domestic,https://www.sec.gov/Archives/edgar/data/32621/000143774924021403/msn20240331_10k.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Manufacturing,EMERSON RADIO CORP
2025-02-25,domestic,https://www.sec.gov/Archives/edgar/data/1759631/000175963125000051/hyln-20241231.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Manufacturing,Hyliion Holdings Corp.
2024-08-05,domestic,https://www.sec.gov/Archives/edgar/data/355948/000095017024090651/rell-20240601.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Trade & Services,"RICHARDSON ELECTRONICS, LTD."
2024-12-27,domestic,https://www.sec.gov/Archives/edgar/data/38264/000168316824009011/forward_i10k-093024.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Industrial Applications and Services,"Forward Industries, Inc."
2025-02-11,domestic,https://www.sec.gov/Archives/edgar/data/91142/000009114225000036/aos-20241231.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Manufacturing,SMITH A O CORP
2024-11-20,domestic,https://www.sec.gov/Archives/edgar/data/80420/000008042024000086/powl-20240930.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Manufacturing,POWELL INDUSTRIES INC
2024-06-28,domestic,https://www.sec.gov/Archives/edgar/data/1376321/000117184324003699/cnet20231231_10k.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Technology,ZW Data Action Technologies Inc.
2025-02-25,domestic,https://www.sec.gov/Archives/edgar/data/1567683/000156768325000007/cwen-20241231.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Energy & Transportation,"Clearway Energy, Inc."
2024-11-08,domestic,https://www.sec.gov/Archives/edgar/data/1772177/000095017024124091/krus-20240831.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Trade & Services,"KURA SUSHI USA, INC."
2024-04-01,domestic,https://www.sec.gov/Archives/edgar/data/1518461/000149315224012177/form10-k.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Manufacturing,"AmpliTech Group, Inc."
2024-08-27,domestic,https://www.sec.gov/Archives/edgar/data/918965/000091896524000029/scsc-20240630.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Trade & Services,"SCANSOURCE, INC."
