filing_date,count,component
2001-03-31,3,consumer-confidence-international
2001-06-30,4,consumer-confidence-international
2001-09-30,4,consumer-confidence-international
2001-12-31,3,consumer-confidence-international
2002-03-31,5,consumer-confidence-international
2002-06-30,15,consumer-confidence-international
2002-09-30,6,consumer-confidence-international
2002-12-31,5,consumer-confidence-international
2003-03-31,19,consumer-confidence-international
2003-06-30,62,consumer-confidence-international
2003-09-30,12,consumer-confidence-international
2003-12-31,7,consumer-confidence-international
2004-03-31,14,consumer-confidence-international
2004-06-30,65,consumer-confidence-international
2004-09-30,10,consumer-confidence-international
2004-12-31,9,consumer-confidence-international
2005-03-31,14,consumer-confidence-international
2005-06-30,57,consumer-confidence-international
2005-09-30,18,consumer-confidence-international
2005-12-31,2,consumer-confidence-international
2006-03-31,16,consumer-confidence-international
2006-06-30,48,consumer-confidence-international
2006-09-30,15,consumer-confidence-international
2006-12-31,5,consumer-confidence-international
2007-03-31,18,consumer-confidence-international
2007-06-30,32,consumer-confidence-international
2007-09-30,16,consumer-confidence-international
2007-12-31,7,consumer-confidence-international
2008-03-31,15,consumer-confidence-international
2008-06-30,43,consumer-confidence-international
2008-09-30,10,consumer-confidence-international
2008-12-31,7,consumer-confidence-international
2009-03-31,33,consumer-confidence-international
2009-06-30,102,consumer-confidence-international
2009-09-30,23,consumer-confidence-international
2009-12-31,13,consumer-confidence-international
2010-03-31,36,consumer-confidence-international
2010-06-30,111,consumer-confidence-international
2010-09-30,13,consumer-confidence-international
2010-12-31,10,consumer-confidence-international
2011-03-31,40,consumer-confidence-international
2011-06-30,108,consumer-confidence-international
2011-09-30,15,consumer-confidence-international
2011-12-31,10,consumer-confidence-international
2012-03-31,41,consumer-confidence-international
2012-06-30,104,consumer-confidence-international
2012-09-30,15,consumer-confidence-international
2012-12-31,10,consumer-confidence-international
2013-03-31,44,consumer-confidence-international
2013-06-30,107,consumer-confidence-international
2013-09-30,12,consumer-confidence-international
2013-12-31,7,consumer-confidence-international
2014-03-31,41,consumer-confidence-international
2014-06-30,107,consumer-confidence-international
2014-09-30,12,consumer-confidence-international
2014-12-31,5,consumer-confidence-international
2015-03-31,37,consumer-confidence-international
2015-06-30,110,consumer-confidence-international
2015-09-30,7,consumer-confidence-international
2015-12-31,7,consumer-confidence-international
2016-03-31,40,consumer-confidence-international
2016-06-30,96,consumer-confidence-international
2016-09-30,12,consumer-confidence-international
2016-12-31,5,consumer-confidence-international
2017-03-31,41,consumer-confidence-international
2017-06-30,80,consumer-confidence-international
2017-09-30,13,consumer-confidence-international
2017-12-31,6,consumer-confidence-international
2018-03-31,44,consumer-confidence-international
2018-06-30,84,consumer-confidence-international
2018-09-30,14,consumer-confidence-international
2018-12-31,5,consumer-confidence-international
2019-03-31,42,consumer-confidence-international
2019-06-30,92,consumer-confidence-international
2019-09-30,15,consumer-confidence-international
2019-12-31,8,consumer-confidence-international
2020-03-31,41,consumer-confidence-international
2020-06-30,103,consumer-confidence-international
2020-09-30,19,consumer-confidence-international
2020-12-31,9,consumer-confidence-international
2021-03-31,55,consumer-confidence-international
2021-06-30,120,consumer-confidence-international
2021-09-30,18,consumer-confidence-international
2021-12-31,7,consumer-confidence-international
2022-03-31,64,consumer-confidence-international
2022-06-30,148,consumer-confidence-international
2022-09-30,25,consumer-confidence-international
2022-12-31,10,consumer-confidence-international
2023-03-31,94,consumer-confidence-international
2023-06-30,158,consumer-confidence-international
2023-09-30,24,consumer-confidence-international
2023-12-31,12,consumer-confidence-international
2024-03-31,96,consumer-confidence-international
2024-06-30,174,consumer-confidence-international
2024-09-30,28,consumer-confidence-international
2024-12-31,21,consumer-confidence-international
2025-03-31,89,consumer-confidence-international
