filing_date,component,url,ownerOrg,name
2025-03-13,consumer-confidence-international,https://www.sec.gov/Archives/edgar/data/1734107/000119312525053425/d901296dex441.htm#:~:text=consumer%20confidence,Technology,Sohu.com Ltd
2025-01-30,consumer-confidence-international,https://www.sec.gov/Archives/edgar/data/1967822/000121390025008172/ea0227461-20f_creative.htm#:~:text=consumer%20confidence,Trade & Services,Creative Global Technology Holdings Ltd
2025-03-10,consumer-confidence-international,https://www.sec.gov/Archives/edgar/data/1985487/000095017025035904/kspi-20241231.htm#:~:text=consumer%20confidence,Trade & Services,Joint Stock Co Kaspi.kz
2025-03-07,consumer-confidence-international,https://www.sec.gov/Archives/edgar/data/1988894/000162828025011314/as-20241231.htm#:~:text=consumer%20confidence,Manufacturing,"Amer Sports, Inc."
2025-03-04,consumer-confidence-international,https://www.sec.gov/Archives/edgar/data/1858985/000185898525000003/onholdingag-20241231.htm#:~:text=consumer%20confidence,Manufacturing,On Holding AG
2025-01-30,consumer-confidence-international,https://www.sec.gov/Archives/edgar/data/1955104/000095017025011073/zapp-20240930.htm#:~:text=consumer%20confidence,Manufacturing,Zapp Electric Vehicles Group Ltd
2025-03-13,consumer-confidence-international,https://www.sec.gov/Archives/edgar/data/1843586/000095017025038739/otly-20241231.htm#:~:text=consumer%20confidence,Manufacturing,Oatly Group AB
2025-02-18,consumer-confidence-international,https://www.sec.gov/Archives/edgar/data/1979610/000173112225000239/e6355_20-f.htm#:~:text=consumer%20confidence,Real Estate & Construction,WF International Ltd.
2025-03-11,consumer-confidence-international,https://www.sec.gov/Archives/edgar/data/1745201/000095017025036852/vik-20241231.htm#:~:text=consumer%20confidence,Energy & Transportation,Viking Holdings Ltd
2025-03-26,consumer-confidence-international,https://www.sec.gov/Archives/edgar/data/930157/000110465925027944/rto-20241231x20f.htm#:~:text=consumer%20confidence,Trade & Services,RENTOKIL INITIAL PLC /FI
2025-03-07,consumer-confidence-international,https://www.sec.gov/Archives/edgar/data/1756708/000175670825000018/jmia-20241231.htm#:~:text=consumer%20confidence,Trade & Services,Jumia Technologies AG
2025-02-27,consumer-confidence-international,https://www.sec.gov/Archives/edgar/data/1167831/000116010625000012/lbk-20241231_d2.htm#:~:text=consumer%20confidence,,
2025-02-25,consumer-confidence-international,https://www.sec.gov/Archives/edgar/data/1907085/000141057825000198/odd-20241231x20f.htm#:~:text=consumer%20confidence,Industrial Applications and Services,Oddity Tech Ltd
2025-03-25,consumer-confidence-international,https://www.sec.gov/Archives/edgar/data/1338940/000117891325001021/zk2532820.htm#:~:text=consumer%20confidence,Technology,Perion Network Ltd.
