ownerOrg,period,count,component
Energy & Transportation,0,8,consumer-confidence-international
Finance,0,10,consumer-confidence-international
Industrial Applications and Services,0,11,consumer-confidence-international
Life Sciences,0,7,consumer-confidence-international
Life Sciences,1,1,consumer-confidence-international
Manufacturing,0,20,consumer-confidence-international
Manufacturing,1,5,consumer-confidence-international
Real Estate & Construction,0,5,consumer-confidence-international
Real Estate & Construction,1,2,consumer-confidence-international
Technology,0,15,consumer-confidence-international
Technology,1,6,consumer-confidence-international
Trade & Services,0,12,consumer-confidence-international
Trade & Services,1,5,consumer-confidence-international
