ownerOrg,period,count,component
Industrial Applications and Services,1,1,aapl_us-domestic
Trade & Services,1,1,aapl_us-domestic
Technology,0,1,aapl_us-international
Technology,1,1,aapl_us-international
Real Estate & Construction,1,1,msft_us-domestic
Technology,0,1,msft_us-domestic
Technology,1,1,msft_us-domestic
Industrial Applications and Services,0,1,msft_us-international
Technology,0,1,msft_us-international
Life Sciences,0,2,goog_us-domestic
Manufacturing,1,1,goog_us-domestic
Real Estate & Construction,1,1,goog_us-domestic
Technology,0,1,goog_us-domestic
Trade & Services,0,1,goog_us-domestic
Real Estate & Construction,0,2,amzn_us-domestic
Technology,0,2,amzn_us-domestic
Trade & Services,1,1,amzn_us-domestic
Technology,0,1,fb_us-domestic
Technology,1,1,fb_us-domestic
Technology,1,1,tsla_us-domestic
Trade & Services,0,1,tsla_us-domestic
Manufacturing,1,1,tsla_us-international
Manufacturing,0,1,nvda_us-domestic
Technology,0,2,nvda_us-domestic
Technology,1,1,nvda_us-domestic
Manufacturing,0,1,nvda_us-international
Technology,1,1,nvda_us-international
Industrial Applications and Services,1,1,intc_us-domestic
Life Sciences,0,1,intc_us-domestic
Manufacturing,0,1,intc_us-domestic
Manufacturing,1,1,intc_us-domestic
Technology,0,1,intc_us-domestic
Trade & Services,0,1,intc_us-domestic
Manufacturing,1,1,intc_us-international
Industrial Applications and Services,1,1,crm_us-domestic
Finance,1,1,jpm_us-domestic
Industrial Applications and Services,1,1,jpm_us-domestic
Life Sciences,0,1,jpm_us-domestic
Life Sciences,1,1,jpm_us-international
Crypto Assets,0,1,gs_us-domestic
Life Sciences,1,1,gs_us-domestic
Technology,1,1,gs_us-domestic
Technology,0,1,v_us-domestic
Trade & Services,0,1,v_us-international
Finance,1,1,brk_us-domestic
Manufacturing,0,1,wmt_us-domestic
Trade & Services,0,1,wmt_us-domestic
Trade & Services,0,1,cost_us-domestic
Manufacturing,0,1,sbux_us-domestic
Industrial Applications and Services,0,1,nke_us-domestic
Real Estate & Construction,0,1,nke_us-domestic
Technology,0,1,nke_us-domestic
Trade & Services,1,1,sap_germany-domestic
Technology,0,1,sap_germany-international
Technology,1,1,sap_germany-international
Energy & Transportation,0,1,shell_netherlands-domestic
Real Estate & Construction,1,1,tte_france-domestic
Crypto Assets,0,1,san_spain-domestic
Energy & Transportation,1,1,san_spain-domestic
Finance,1,1,san_spain-domestic
Technology,0,1,san_spain-domestic
Crypto Assets,0,1,dbk_germany-domestic
Energy & Transportation,0,1,dbk_germany-domestic
Energy & Transportation,1,2,dbk_germany-domestic
Life Sciences,0,1,dbk_germany-domestic
Technology,0,2,dbk_germany-domestic
Trade & Services,1,1,dbk_germany-domestic
Technology,1,1,dbk_germany-international
Energy & Transportation,1,1,baba_china-international
Technology,0,1,bytd_china-domestic
Trade & Services,0,1,xiacf_china-international
Energy & Transportation,1,1,icbc_china-domestic
Industrial Applications and Services,1,1,icbc_china-domestic
Manufacturing,0,1,icbc_china-domestic
Crypto Assets,1,2,icbc_china-international
Trade & Services,1,1,icbc_china-international
Trade & Services,1,1,cichy_china-domestic
Manufacturing,0,1,cichy_china-international
Trade & Services,1,1,cichy_china-international
