filing_date,count,component
2001-03-31,7,layoffs-international
2001-06-30,16,layoffs-international
2001-09-30,17,layoffs-international
2001-12-31,21,layoffs-international
2002-03-31,24,layoffs-international
2002-06-30,18,layoffs-international
2002-09-30,22,layoffs-international
2002-12-31,69,layoffs-international
2003-03-31,78,layoffs-international
2003-06-30,72,layoffs-international
2003-09-30,73,layoffs-international
2003-12-31,85,layoffs-international
2004-03-31,72,layoffs-international
2004-06-30,70,layoffs-international
2004-09-30,62,layoffs-international
2004-12-31,61,layoffs-international
2005-03-31,72,layoffs-international
2005-06-30,59,layoffs-international
2005-09-30,56,layoffs-international
2005-12-31,64,layoffs-international
2006-03-31,46,layoffs-international
2006-06-30,60,layoffs-international
2006-09-30,55,layoffs-international
2006-12-31,70,layoffs-international
2007-03-31,54,layoffs-international
2007-06-30,61,layoffs-international
2007-09-30,42,layoffs-international
2007-12-31,56,layoffs-international
2008-03-31,35,layoffs-international
2008-06-30,47,layoffs-international
2008-09-30,30,layoffs-international
2008-12-31,49,layoffs-international
2009-03-31,62,layoffs-international
2009-06-30,77,layoffs-international
2009-09-30,67,layoffs-international
2009-12-31,44,layoffs-international
2010-03-31,49,layoffs-international
2010-06-30,45,layoffs-international
2010-09-30,30,layoffs-international
2010-12-31,30,layoffs-international
2011-03-31,41,layoffs-international
2011-06-30,37,layoffs-international
2011-09-30,34,layoffs-international
2011-12-31,36,layoffs-international
2012-03-31,31,layoffs-international
2012-06-30,32,layoffs-international
2012-09-30,42,layoffs-international
2012-12-31,43,layoffs-international
2013-03-31,28,layoffs-international
2013-06-30,29,layoffs-international
2013-09-30,38,layoffs-international
2013-12-31,39,layoffs-international
2014-03-31,42,layoffs-international
2014-06-30,38,layoffs-international
2014-09-30,27,layoffs-international
2014-12-31,25,layoffs-international
2015-03-31,30,layoffs-international
2015-06-30,24,layoffs-international
2015-09-30,29,layoffs-international
2015-12-31,30,layoffs-international
2016-03-31,42,layoffs-international
2016-06-30,34,layoffs-international
2016-09-30,27,layoffs-international
2016-12-31,29,layoffs-international
2017-03-31,25,layoffs-international
2017-06-30,25,layoffs-international
2017-09-30,17,layoffs-international
2017-12-31,20,layoffs-international
2018-03-31,22,layoffs-international
2018-06-30,13,layoffs-international
2018-09-30,21,layoffs-international
2018-12-31,16,layoffs-international
2019-03-31,23,layoffs-international
2019-06-30,13,layoffs-international
2019-09-30,23,layoffs-international
2019-12-31,15,layoffs-international
2020-03-31,24,layoffs-international
2020-06-30,30,layoffs-international
2020-09-30,39,layoffs-international
2020-12-31,36,layoffs-international
2021-03-31,52,layoffs-international
2021-06-30,40,layoffs-international
2021-09-30,38,layoffs-international
2021-12-31,42,layoffs-international
2022-03-31,39,layoffs-international
2022-06-30,42,layoffs-international
2022-09-30,46,layoffs-international
2022-12-31,56,layoffs-international
2023-03-31,59,layoffs-international
2023-06-30,49,layoffs-international
2023-09-30,56,layoffs-international
2023-12-31,50,layoffs-international
2024-03-31,42,layoffs-international
2024-06-30,50,layoffs-international
2024-09-30,51,layoffs-international
2024-12-31,47,layoffs-international
2025-03-31,44,layoffs-international
