filing_date,component,url,ownerOrg,name
2025-03-21,layoffs-international,https://www.sec.gov/Archives/edgar/data/1723935/000095010325003702/dp226586_ex9901.htm#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Trade & Services,Sunlands Technology Group
2025-01-03,layoffs-international,https://www.sec.gov/Archives/edgar/data/1834974/000162828025000200/exhibit991-prxjanuary32025.htm#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Manufacturing,Lion Electric Co
2025-01-13,layoffs-international,https://www.sec.gov/Archives/edgar/data/1836934/000129281425000078/zenv20250113_6k.htm#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Technology,Zenvia Inc.
2025-01-29,layoffs-international,https://www.sec.gov/Archives/edgar/data/1778016/000095017025010200/workforce_reduction_1.28.htm#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Life Sciences,I-Mab
2025-02-12,layoffs-international,https://www.sec.gov/Archives/edgar/data/1631487/000121390025012476/ea023074701ex99-1_collplant.htm#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Industrial Applications and Services,CollPlant Biotechnologies Ltd
2025-02-12,layoffs-international,https://www.sec.gov/Archives/edgar/data/1981462/000121390025012638/ea023079901ex99-1_leddar.htm#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Technology,LeddarTech Holdings Inc.
2025-02-06,layoffs-international,https://www.sec.gov/Archives/edgar/data/718940/000071894025000003/q42024release-unlinked.htm#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Technology,BCE INC
2025-03-06,layoffs-international,https://www.sec.gov/Archives/edgar/data/1992818/000149315225009331/ex99-1.htm#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Technology,ZOOZ Power Ltd.
2025-03-14,layoffs-international,https://www.sec.gov/Archives/edgar/data/1737339/000110465925023656/tm259104d1_ex99-1.htm#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Technology,Aurora Mobile Ltd
2025-03-25,layoffs-international,https://www.sec.gov/Archives/edgar/data/1792267/000119312525061952/d940667dex991.htm#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Industrial Applications and Services,Burning Rock Biotech Ltd
2025-02-10,layoffs-international,https://www.sec.gov/Archives/edgar/data/1756594/000117184325000721/exh_991.htm#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Life Sciences,Inventiva S.A.
2025-03-24,layoffs-international,https://www.sec.gov/Archives/edgar/data/1874315/000143774925008985/ex_793487.htm#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Manufacturing,Satellogic Inc.
2025-03-26,layoffs-international,https://www.sec.gov/Archives/edgar/data/1756594/000117184325001725/exh_991.htm#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Life Sciences,Inventiva S.A.
2025-02-11,layoffs-international,https://www.sec.gov/Archives/edgar/data/1709048/000170904825000017/globalfoundries4q2024earni.htm#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Manufacturing,GLOBALFOUNDRIES Inc.
2025-03-26,layoffs-international,https://www.sec.gov/Archives/edgar/data/1631487/000101376225002498/ea023567301ex99-1_collplant.htm#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Industrial Applications and Services,CollPlant Biotechnologies Ltd
2025-03-04,layoffs-international,https://www.sec.gov/Archives/edgar/data/1840706/000184070625000007/sophiageneticssaex991q42024.htm#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Technology,SOPHiA GENETICS SA
2025-02-13,layoffs-international,https://www.sec.gov/Archives/edgar/data/1886190/000188619025000004/q42024earningrelease.htm#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Manufacturing,Gogoro Inc.
2025-03-26,layoffs-international,https://www.sec.gov/Archives/edgar/data/1748797/000119312525063127/d877151dex991.htm#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Manufacturing,BRP Inc.
2025-01-30,layoffs-international,https://www.sec.gov/Archives/edgar/data/16868/000001686825000005/a2024q4pressreleasestatssu.htm#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Energy & Transportation,CANADIAN NATIONAL RAILWAY CO
2025-03-12,layoffs-international,https://www.sec.gov/Archives/edgar/data/1792829/000095010325003328/dp226134_ex9901.htm#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Trade & Services,Vasta Platform Ltd
2025-02-26,layoffs-international,https://www.sec.gov/Archives/edgar/data/1649009/000121390025017273/ea023219101ex2-1_siyata.htm#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Technology,Siyata Mobile Inc.
2025-03-06,layoffs-international,https://www.sec.gov/Archives/edgar/data/1050140/000141057825000279/dsgx-20250131xex99d1.htm#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Technology,DESCARTES SYSTEMS GROUP INC
2025-03-03,layoffs-international,https://www.sec.gov/Archives/edgar/data/1751876/000192998025000106/pavs_ex101.htm#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Technology,Paranovus Entertainment Technology Ltd.
2025-02-20,layoffs-international,https://www.sec.gov/Archives/edgar/data/1625297/000162529725000003/exhibit992q42024pressrelea.htm#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Life Sciences,INDIVIOR PLC
2025-02-06,layoffs-international,https://www.sec.gov/Archives/edgar/data/311337/000110465925009769/tm251009d1_ex99-2.htm#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Energy & Transportation,SUNCOR ENERGY INC
2025-02-21,layoffs-international,https://www.sec.gov/Archives/edgar/data/1920294/000095017025024898/rzlv-ex10_1.htm#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Technology,REZOLVE AI Ltd
2025-02-06,layoffs-international,https://www.sec.gov/Archives/edgar/data/1690511/000169051125000004/cg6-kmdaq32025.htm#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Manufacturing,Canada Goose Holdings Inc.
