ownerOrg,period,count,component
Energy & Transportation,0,7,layoffs-international
Energy & Transportation,1,6,layoffs-international
Finance,0,2,layoffs-international
Industrial Applications and Services,0,4,layoffs-international
Industrial Applications and Services,1,2,layoffs-international
Life Sciences,0,4,layoffs-international
Life Sciences,1,11,layoffs-international
Manufacturing,0,7,layoffs-international
Manufacturing,1,9,layoffs-international
Real Estate & Construction,0,1,layoffs-international
Technology,0,16,layoffs-international
Technology,1,12,layoffs-international
Trade & Services,0,3,layoffs-international
Trade & Services,1,6,layoffs-international
