filing_date,count,component
2001-06-30,1,outsourcing-international
2001-09-30,1,outsourcing-international
2001-12-31,0,outsourcing-international
2002-03-31,2,outsourcing-international
2002-06-30,1,outsourcing-international
2002-09-30,0,outsourcing-international
2002-12-31,1,outsourcing-international
2003-03-31,2,outsourcing-international
2003-06-30,11,outsourcing-international
2003-09-30,1,outsourcing-international
2003-12-31,0,outsourcing-international
2004-03-31,3,outsourcing-international
2004-06-30,8,outsourcing-international
2004-09-30,1,outsourcing-international
2004-12-31,0,outsourcing-international
2005-03-31,3,outsourcing-international
2005-06-30,22,outsourcing-international
2005-09-30,3,outsourcing-international
2005-12-31,0,outsourcing-international
2006-03-31,0,outsourcing-international
2006-06-30,28,outsourcing-international
2006-09-30,2,outsourcing-international
2006-12-31,3,outsourcing-international
2007-03-31,4,outsourcing-international
2007-06-30,26,outsourcing-international
2007-09-30,3,outsourcing-international
2007-12-31,5,outsourcing-international
2008-03-31,4,outsourcing-international
2008-06-30,28,outsourcing-international
2008-09-30,3,outsourcing-international
2008-12-31,3,outsourcing-international
2009-03-31,10,outsourcing-international
2009-06-30,26,outsourcing-international
2009-09-30,2,outsourcing-international
2009-12-31,2,outsourcing-international
2010-03-31,12,outsourcing-international
2010-06-30,20,outsourcing-international
2010-09-30,2,outsourcing-international
2010-12-31,2,outsourcing-international
2011-03-31,13,outsourcing-international
2011-06-30,23,outsourcing-international
2011-09-30,4,outsourcing-international
2011-12-31,2,outsourcing-international
2012-03-31,17,outsourcing-international
2012-06-30,27,outsourcing-international
2012-09-30,4,outsourcing-international
2012-12-31,0,outsourcing-international
2013-03-31,18,outsourcing-international
2013-06-30,27,outsourcing-international
2013-09-30,1,outsourcing-international
2013-12-31,3,outsourcing-international
2014-03-31,16,outsourcing-international
2014-06-30,31,outsourcing-international
2014-09-30,3,outsourcing-international
2014-12-31,2,outsourcing-international
2015-03-31,16,outsourcing-international
2015-06-30,41,outsourcing-international
2015-09-30,3,outsourcing-international
2015-12-31,3,outsourcing-international
2016-03-31,17,outsourcing-international
2016-06-30,45,outsourcing-international
2016-09-30,3,outsourcing-international
2016-12-31,2,outsourcing-international
2017-03-31,20,outsourcing-international
2017-06-30,40,outsourcing-international
2017-09-30,3,outsourcing-international
2017-12-31,3,outsourcing-international
2018-03-31,26,outsourcing-international
2018-06-30,49,outsourcing-international
2018-09-30,4,outsourcing-international
2018-12-31,5,outsourcing-international
2019-03-31,24,outsourcing-international
2019-06-30,59,outsourcing-international
2019-09-30,4,outsourcing-international
2019-12-31,5,outsourcing-international
2020-03-31,25,outsourcing-international
2020-06-30,73,outsourcing-international
2020-09-30,7,outsourcing-international
2020-12-31,2,outsourcing-international
2021-03-31,46,outsourcing-international
2021-06-30,82,outsourcing-international
2021-09-30,4,outsourcing-international
2021-12-31,4,outsourcing-international
2022-03-31,50,outsourcing-international
2022-06-30,113,outsourcing-international
2022-09-30,11,outsourcing-international
2022-12-31,7,outsourcing-international
2023-03-31,58,outsourcing-international
2023-06-30,118,outsourcing-international
2023-09-30,8,outsourcing-international
2023-12-31,13,outsourcing-international
2024-03-31,69,outsourcing-international
2024-06-30,121,outsourcing-international
2024-09-30,15,outsourcing-international
2024-12-31,14,outsourcing-international
2025-03-31,62,outsourcing-international
