filing_date,component,url,ownerOrg,name
2025-02-24,outsourcing-international,https://www.sec.gov/Archives/edgar/data/1986247/000121390025016603/ea0231351-20f_parkhabio.htm#:~:text=we%20rely%20on%20third%20party&text=we%20engage%20third%20party,Industrial Applications and Services,"Park Ha Biological Technology Co., Ltd."
2025-03-18,outsourcing-international,https://www.sec.gov/Archives/edgar/data/1876183/000155837025003172/tmb-20241231x20f.htm#:~:text=we%20rely%20on%20third%20party&text=we%20engage%20third%20party,Manufacturing,IHS Holding Ltd
2025-03-12,outsourcing-international,https://www.sec.gov/Archives/edgar/data/1835654/000117891325000817/zk2532805.htm#:~:text=we%20rely%20on%20third%20party&text=we%20engage%20third%20party,Manufacturing,Innoviz Technologies Ltd.
2025-03-20,outsourcing-international,https://www.sec.gov/Archives/edgar/data/1836470/000141057825000399/srad-20241231x20f.htm#:~:text=we%20rely%20on%20third%20party&text=we%20engage%20third%20party,Technology,Sportradar Group AG
2025-03-11,outsourcing-international,https://www.sec.gov/Archives/edgar/data/1745201/000095017025036852/vik-20241231.htm#:~:text=we%20rely%20on%20third%20party&text=we%20engage%20third%20party,Energy & Transportation,Viking Holdings Ltd
2025-03-04,outsourcing-international,https://www.sec.gov/Archives/edgar/data/1840706/000184070625000009/soph-20241231.htm#:~:text=we%20rely%20on%20third%20party&text=we%20engage%20third%20party,Technology,SOPHiA GENETICS SA
2025-02-05,outsourcing-international,https://www.sec.gov/Archives/edgar/data/1639920/000163992025000003/ck0001639920-20241231.htm#:~:text=we%20rely%20on%20third%20party&text=we%20engage%20third%20party,Technology,Spotify Technology S.A.
2025-02-27,outsourcing-international,https://www.sec.gov/Archives/edgar/data/1842731/000184273125000013/smwb-20241231.htm#:~:text=we%20rely%20on%20third%20party&text=we%20engage%20third%20party,Technology,SIMILARWEB LTD.
2025-03-12,outsourcing-international,https://www.sec.gov/Archives/edgar/data/1654126/000117891325000793/zk2532795.htm#:~:text=we%20rely%20on%20third%20party&text=we%20engage%20third%20party,Energy & Transportation,ZIM Integrated Shipping Services Ltd.
2025-02-26,outsourcing-international,https://www.sec.gov/Archives/edgar/data/1611842/000121390025017412/ea0231533-20f_polypid.htm#:~:text=we%20rely%20on%20third%20party&text=we%20engage%20third%20party,Industrial Applications and Services,PolyPid Ltd.
2025-01-24,outsourcing-international,https://www.sec.gov/Archives/edgar/data/1837821/000121390025006519/ea0227825-20f_jinmedical.htm#:~:text=we%20rely%20on%20third%20party&text=we%20engage%20third%20party,Industrial Applications and Services,Jin Medical International Ltd.
2025-03-13,outsourcing-international,https://www.sec.gov/Archives/edgar/data/1612940/000155837025002851/tmb-20241231x20f.htm#:~:text=we%20rely%20on%20third%20party&text=we%20engage%20third%20party,Life Sciences,ProQR Therapeutics N.V.
2025-03-17,outsourcing-international,https://www.sec.gov/Archives/edgar/data/1922446/000192244625000003/dec-20241231.htm#:~:text=we%20rely%20on%20third%20party&text=we%20engage%20third%20party,Energy & Transportation,Diversified Energy Co PLC
2025-03-13,outsourcing-international,https://www.sec.gov/Archives/edgar/data/1734107/000119312525053425/d901296d20f.htm#:~:text=we%20rely%20on%20third%20party&text=we%20engage%20third%20party,Technology,Sohu.com Ltd
2025-03-14,outsourcing-international,https://www.sec.gov/Archives/edgar/data/1855612/000185561225000013/ck0001855612-20241231.htm#:~:text=we%20rely%20on%20third%20party&text=we%20engage%20third%20party,Trade & Services,Grab Holdings Ltd
2025-03-26,outsourcing-international,https://www.sec.gov/Archives/edgar/data/1708441/000162828025014832/mynd-20241231.htm#:~:text=we%20rely%20on%20third%20party&text=we%20engage%20third%20party,Technology,"Mynd.ai, Inc."
2025-03-05,outsourcing-international,https://www.sec.gov/Archives/edgar/data/1567529/000121390025020360/ea0230605-20f_kamada.htm#:~:text=we%20rely%20on%20third%20party&text=we%20engage%20third%20party,Life Sciences,KAMADA LTD
2025-03-20,outsourcing-international,https://www.sec.gov/Archives/edgar/data/1331284/000114036125009685/ef20038952_20f.htm#:~:text=we%20rely%20on%20third%20party&text=we%20engage%20third%20party,Energy & Transportation,"DHT Holdings, Inc."
2025-03-10,outsourcing-international,https://www.sec.gov/Archives/edgar/data/1614744/000121390025022192/ea0232483-20f_purple.htm#:~:text=we%20rely%20on%20third%20party&text=we%20engage%20third%20party,Life Sciences,PURPLE BIOTECH LTD.
2025-03-17,outsourcing-international,https://www.sec.gov/Archives/edgar/data/1845338/000117891325000852/zk2532825.htm#:~:text=we%20rely%20on%20third%20party&text=we%20engage%20third%20party,Technology,monday.com Ltd.
