ownerOrg,period,count,component
Energy & Transportation,0,6,outsourcing-international
Energy & Transportation,1,1,outsourcing-international
Finance,0,1,outsourcing-international
Industrial Applications and Services,0,8,outsourcing-international
Life Sciences,0,14,outsourcing-international
Life Sciences,1,1,outsourcing-international
Manufacturing,0,11,outsourcing-international
Manufacturing,1,3,outsourcing-international
Real Estate & Construction,0,1,outsourcing-international
Technology,0,16,outsourcing-international
Technology,1,4,outsourcing-international
Trade & Services,0,5,outsourcing-international
Trade & Services,1,4,outsourcing-international
