cik,date,value,component
1060383,2001-01-01,1,industrial-solvents_domestic
882184,2001-03-01,1,industrial-solvents_domestic
876013,2001-04-01,1,industrial-solvents_domestic
882184,2001-05-01,1,industrial-solvents_domestic
882184,2001-08-01,1,industrial-solvents_domestic
1081316,2001-08-01,1,industrial-solvents_domestic
1043533,2001-10-01,1,industrial-solvents_domestic
19731,2001-11-01,1,industrial-solvents_domestic
95676,2001-12-01,1,industrial-solvents_domestic
876013,2001-12-01,1,industrial-solvents_domestic
311046,2002-02-01,1,industrial-solvents_domestic
913275,2002-04-01,1,industrial-solvents_domestic
60714,2002-06-01,1,industrial-solvents_domestic
906345,2002-08-01,1,industrial-solvents_domestic
882184,2002-12-01,1,industrial-solvents_domestic
882184,2003-04-01,1,industrial-solvents_domestic
1005201,2003-04-01,1,industrial-solvents_domestic
882184,2003-06-01,1,industrial-solvents_domestic
780127,2003-09-01,1,industrial-solvents_domestic
882184,2004-01-01,1,industrial-solvents_domestic
842635,2004-03-01,1,industrial-solvents_domestic
1018099,2004-03-01,1,industrial-solvents_domestic
319240,2004-04-01,1,industrial-solvents_domestic
882184,2004-07-01,1,industrial-solvents_domestic
882184,2004-09-01,1,industrial-solvents_domestic
882184,2004-10-01,1,industrial-solvents_domestic
895417,2004-11-01,1,industrial-solvents_domestic
882184,2004-12-01,1,industrial-solvents_domestic
906345,2005-01-01,1,industrial-solvents_domestic
1024022,2005-01-01,1,industrial-solvents_domestic
882184,2005-02-01,1,industrial-solvents_domestic
880208,2005-03-01,1,industrial-solvents_domestic
922717,2005-03-01,1,industrial-solvents_domestic
1111711,2005-03-01,1,industrial-solvents_domestic
1127732,2005-03-01,1,industrial-solvents_domestic
1035354,2005-05-01,1,industrial-solvents_domestic
882184,2005-07-01,1,industrial-solvents_domestic
933454,2005-08-01,1,industrial-solvents_domestic
1075066,2005-08-01,1,industrial-solvents_domestic
1081316,2005-09-01,1,industrial-solvents_domestic
723612,2005-11-01,1,industrial-solvents_domestic
1111711,2005-12-01,1,industrial-solvents_domestic
709283,2006-02-01,1,industrial-solvents_domestic
1279704,2006-03-01,1,industrial-solvents_domestic
882184,2006-04-01,1,industrial-solvents_domestic
895417,2006-04-01,1,industrial-solvents_domestic
1103021,2006-05-01,1,industrial-solvents_domestic
874443,2006-07-01,1,industrial-solvents_domestic
911583,2006-10-01,1,industrial-solvents_domestic
1283193,2006-10-01,1,industrial-solvents_domestic
1111711,2006-11-01,1,industrial-solvents_domestic
1043873,2007-01-01,1,industrial-solvents_domestic
874443,2007-02-01,1,industrial-solvents_domestic
772320,2007-03-01,1,industrial-solvents_domestic
1310383,2007-05-01,1,industrial-solvents_domestic
1360604,2007-09-01,1,industrial-solvents_domestic
1360604,2007-10-01,1,industrial-solvents_domestic
892160,2007-11-01,1,industrial-solvents_domestic
922717,2007-11-01,1,industrial-solvents_domestic
1340122,2007-11-01,1,industrial-solvents_domestic
1361658,2007-11-01,1,industrial-solvents_domestic
744667,2008-01-01,1,industrial-solvents_domestic
895417,2008-01-01,1,industrial-solvents_domestic
892160,2008-04-01,1,industrial-solvents_domestic
894237,2008-05-01,1,industrial-solvents_domestic
1043873,2008-06-01,1,industrial-solvents_domestic
1279704,2008-08-01,1,industrial-solvents_domestic
1111711,2008-09-01,1,industrial-solvents_domestic
882184,2009-05-01,1,industrial-solvents_domestic
933454,2009-07-01,1,industrial-solvents_domestic
1140028,2009-10-01,1,industrial-solvents_domestic
926617,2009-12-01,1,industrial-solvents_domestic
1002554,2010-02-01,1,industrial-solvents_domestic
922717,2010-06-01,1,industrial-solvents_domestic
933454,2010-09-01,1,industrial-solvents_domestic
1445941,2010-10-01,1,industrial-solvents_domestic
43300,2011-01-01,1,industrial-solvents_domestic
1306830,2011-05-01,1,industrial-solvents_domestic
882184,2012-05-01,1,industrial-solvents_domestic
882184,2012-09-01,1,industrial-solvents_domestic
882184,2013-02-01,1,industrial-solvents_domestic
805264,2013-03-01,1,industrial-solvents_domestic
946822,2013-05-01,1,industrial-solvents_domestic
882184,2013-08-01,1,industrial-solvents_domestic
882184,2014-02-01,1,industrial-solvents_domestic
1327467,2014-07-01,1,industrial-solvents_domestic
1043961,2014-10-01,1,industrial-solvents_domestic
1043961,2015-01-01,1,industrial-solvents_domestic
1326732,2015-01-01,1,industrial-solvents_domestic
882184,2015-02-01,1,industrial-solvents_domestic
805264,2015-03-01,1,industrial-solvents_domestic
1365916,2015-11-01,1,industrial-solvents_domestic
846377,2016-10-01,1,industrial-solvents_domestic
1111711,2016-11-01,1,industrial-solvents_domestic
1322505,2017-02-01,1,industrial-solvents_domestic
1419793,2017-03-01,1,industrial-solvents_domestic
784539,2017-04-01,1,industrial-solvents_domestic
846377,2017-04-01,1,industrial-solvents_domestic
882184,2017-12-01,1,industrial-solvents_domestic
1111711,2018-04-01,1,industrial-solvents_domestic
1091596,2018-05-01,1,industrial-solvents_domestic
1692787,2018-11-01,1,industrial-solvents_domestic
1111711,2019-02-01,1,industrial-solvents_domestic
1111711,2019-04-01,1,industrial-solvents_domestic
19612,2019-06-01,1,industrial-solvents_domestic
45876,2019-06-01,1,industrial-solvents_domestic
882184,2019-10-01,1,industrial-solvents_domestic
1111711,2020-04-01,1,industrial-solvents_domestic
882184,2020-05-01,1,industrial-solvents_domestic
882184,2020-10-01,1,industrial-solvents_domestic
1575858,2021-06-01,1,industrial-solvents_domestic
1818331,2021-07-01,1,industrial-solvents_domestic
882184,2021-08-01,1,industrial-solvents_domestic
1286613,2021-09-01,1,industrial-solvents_domestic
1756761,2022-01-01,1,industrial-solvents_domestic
1111711,2022-02-01,1,industrial-solvents_domestic
1091596,2022-05-01,1,industrial-solvents_domestic
1716583,2022-06-01,1,industrial-solvents_domestic
1091596,2022-08-01,1,industrial-solvents_domestic
1499961,2022-09-01,1,industrial-solvents_domestic
1111711,2022-12-01,1,industrial-solvents_domestic
1843724,2023-02-01,1,industrial-solvents_domestic
1091596,2023-08-01,1,industrial-solvents_domestic
784539,2023-10-01,1,industrial-solvents_domestic
1111711,2023-11-01,1,industrial-solvents_domestic
1091596,2023-12-01,1,industrial-solvents_domestic
1091596,2024-05-01,1,industrial-solvents_domestic
882184,2024-08-01,1,industrial-solvents_domestic
1091596,2024-09-01,1,industrial-solvents_domestic
882184,2025-02-01,1,industrial-solvents_domestic
311337,2001-04-01,1,industrial-solvents_intl
1095442,2002-03-01,1,industrial-solvents_intl
311337,2002-04-01,1,industrial-solvents_intl
313807,2004-11-01,1,industrial-solvents_intl
745026,2001-01-01,1,adhesives_domestic
762153,2001-01-01,1,adhesives_domestic
920371,2001-01-01,1,adhesives_domestic
275866,2001-02-01,1,adhesives_domestic
720032,2001-02-01,1,adhesives_domestic
915389,2001-02-01,1,adhesives_domestic
39368,2001-03-01,1,adhesives_domestic
833444,2001-03-01,1,adhesives_domestic
7694,2001-04-01,1,adhesives_domestic
29915,2001-04-01,1,adhesives_domestic
1098432,2001-04-01,1,adhesives_domestic
20388,2001-05-01,1,adhesives_domestic
9892,2001-06-01,1,adhesives_domestic
39368,2001-06-01,1,adhesives_domestic
1072548,2001-06-01,1,adhesives_domestic
61138,2001-07-01,1,adhesives_domestic
858155,2001-07-01,1,adhesives_domestic
890096,2001-07-01,1,adhesives_domestic
1048914,2001-07-01,1,adhesives_domestic
2969,2001-08-01,1,adhesives_domestic
9892,2001-08-01,1,adhesives_domestic
890096,2001-08-01,1,adhesives_domestic
1042351,2001-08-01,1,adhesives_domestic
39368,2001-09-01,1,adhesives_domestic
49146,2001-09-01,1,adhesives_domestic
875296,2001-09-01,1,adhesives_domestic
886142,2001-09-01,1,adhesives_domestic
275866,2001-10-01,1,adhesives_domestic
19731,2001-11-01,1,adhesives_domestic
890096,2001-11-01,1,adhesives_domestic
752714,2001-12-01,1,adhesives_domestic
889429,2001-12-01,1,adhesives_domestic
1043382,2001-12-01,1,adhesives_domestic
9892,2002-01-01,1,adhesives_domestic
13239,2002-01-01,1,adhesives_domestic
39368,2002-01-01,1,adhesives_domestic
715787,2002-01-01,1,adhesives_domestic
804212,2002-01-01,1,adhesives_domestic
1158045,2002-01-01,1,adhesives_domestic
1158046,2002-01-01,1,adhesives_domestic
1158047,2002-01-01,1,adhesives_domestic
1158048,2002-01-01,1,adhesives_domestic
1158049,2002-01-01,1,adhesives_domestic
1158050,2002-01-01,1,adhesives_domestic
1158051,2002-01-01,1,adhesives_domestic
1158052,2002-01-01,1,adhesives_domestic
1158053,2002-01-01,1,adhesives_domestic
1158054,2002-01-01,1,adhesives_domestic
1158055,2002-01-01,1,adhesives_domestic
1158056,2002-01-01,1,adhesives_domestic
1158057,2002-01-01,1,adhesives_domestic
1158058,2002-01-01,1,adhesives_domestic
1158059,2002-01-01,1,adhesives_domestic
1158060,2002-01-01,1,adhesives_domestic
1158061,2002-01-01,1,adhesives_domestic
1158062,2002-01-01,1,adhesives_domestic
1158063,2002-01-01,1,adhesives_domestic
1158064,2002-01-01,1,adhesives_domestic
