filing_date,component,url,ownerOrg,name,cik
2025-03-19,adhesives_domestic,https://www.sec.gov/Archives/edgar/data/39368/000143774925008315/ex_788896.htm#:~:text=Adhesives,Industrial Applications and Services,FULLER H B CO,39368
2025-03-27,adhesives_domestic,https://www.sec.gov/Archives/edgar/data/39368/000143774925009470/ex_795002.htm#:~:text=Adhesives,Industrial Applications and Services,FULLER H B CO,39368
2025-03-10,adhesives_domestic,https://www.sec.gov/Archives/edgar/data/1653477/000114036125007884/ef20045156_ex99-1.htm#:~:text=Adhesives,Industrial Applications and Services,Ingevity Corp,1653477
2025-03-19,adhesives_domestic,https://www.sec.gov/Archives/edgar/data/1604950/000119312525057823/d901463dex991.htm#:~:text=Adhesives,Life Sciences,scPharmaceuticals Inc.,1604950
2025-03-20,adhesives_domestic,https://www.sec.gov/Archives/edgar/data/1561921/000110465925026142/tm259858d1_ex99-2.htm#:~:text=Adhesives,Industrial Applications and Services,"TELA Bio, Inc.",1561921
2025-03-11,adhesives_domestic,https://www.sec.gov/Archives/edgar/data/1000623/000119312525052044/d933567dex102.htm#:~:text=Adhesives,Manufacturing,"Mativ Holdings, Inc.",1000623
2025-03-11,adhesives_domestic,https://www.sec.gov/Archives/edgar/data/1452857/000121390025022824/ea023392101ex99-1_steelpart.htm#:~:text=Adhesives,Manufacturing,STEEL PARTNERS HOLDINGS L.P.,1452857
2025-03-07,adhesives_intl,https://www.sec.gov/Archives/edgar/data/886977/000162828025011262/a2024annual_glossypdf.htm#:~:text=Adhesives,Industrial Applications and Services,METHANEX CORP,886977
2025-03-25,adhesives_intl,https://www.sec.gov/Archives/edgar/data/1076378/000119312525062668/d924047dex991.htm#:~:text=Adhesives,Manufacturing,CEMEX SAB DE CV,1076378
2025-03-10,adhesives_intl,https://www.sec.gov/Archives/edgar/data/845982/000155837025002553/tmb-20250310xex99d1.htm#:~:text=Adhesives,Industrial Applications and Services,SMITH & NEPHEW PLC,845982
2025-03-14,adhesives_intl,https://www.sec.gov/Archives/edgar/data/924613/000110465925023588/tm259167d1_ex99-1.pdf#:~:text=Adhesives,Manufacturing,NOKIA CORP,924613
2025-03-05,adhesives_intl,https://www.sec.gov/Archives/edgar/data/937966/000093796625000011/a2024annualreportbasedon.htm#:~:text=Adhesives,Technology,ASML HOLDING NV,937966
2025-03-21,specialty-lubricants_domestic,https://www.sec.gov/Archives/edgar/data/1915657/000191565725000026/dino-irpresentation_marc.htm#:~:text=Specialty%20lubricants,Energy & Transportation,HF Sinclair Corp,1915657
