cik,date,value,component
732485,2001-01-01,1,microchips_domestic
1096385,2001-01-01,1,microchips_domestic
929994,2001-03-01,1,microchips_domestic
1121786,2001-03-01,1,microchips_domestic
1052958,2001-04-01,1,microchips_domestic
1072548,2001-06-01,1,microchips_domestic
1018946,2001-07-01,1,microchips_domestic
1077241,2001-09-01,1,microchips_domestic
706270,2002-01-01,1,microchips_domestic
1029863,2002-01-01,1,microchips_domestic
917524,2002-04-01,1,microchips_domestic
918580,2002-04-01,1,microchips_domestic
771252,2002-05-01,1,microchips_domestic
934549,2002-05-01,1,microchips_domestic
918580,2002-09-01,1,microchips_domestic
1041380,2002-09-01,1,microchips_domestic
1076310,2002-09-01,1,microchips_domestic
1101169,2002-09-01,1,microchips_domestic
771252,2002-10-01,1,microchips_domestic
1010775,2003-02-01,1,microchips_domestic
1140761,2003-02-01,1,microchips_domestic
712770,2003-03-01,1,microchips_domestic
771252,2003-04-01,1,microchips_domestic
771252,2003-05-01,1,microchips_domestic
924642,2003-05-01,1,microchips_domestic
1076310,2003-05-01,1,microchips_domestic
924642,2003-06-01,1,microchips_domestic
771252,2003-08-01,1,microchips_domestic
924642,2003-08-01,1,microchips_domestic
771252,2003-09-01,1,microchips_domestic
1035066,2003-10-01,1,microchips_domestic
771252,2003-11-01,1,microchips_domestic
924642,2003-11-01,1,microchips_domestic
771252,2004-01-01,1,microchips_domestic
771252,2004-02-01,1,microchips_domestic
1005356,2004-02-01,1,microchips_domestic
771252,2004-03-01,1,microchips_domestic
771252,2004-04-01,1,microchips_domestic
917524,2004-04-01,1,microchips_domestic
771252,2004-05-01,1,microchips_domestic
771252,2004-08-01,1,microchips_domestic
771252,2004-10-01,1,microchips_domestic
924642,2004-10-01,1,microchips_domestic
771252,2004-11-01,1,microchips_domestic
912241,2004-11-01,1,microchips_domestic
924642,2004-11-01,1,microchips_domestic
771252,2005-01-01,1,microchips_domestic
744452,2005-02-01,1,microchips_domestic
771252,2005-03-01,1,microchips_domestic
924642,2005-03-01,1,microchips_domestic
771252,2005-04-01,1,microchips_domestic
771252,2005-05-01,1,microchips_domestic
866609,2005-05-01,1,microchips_domestic
744452,2005-07-01,1,microchips_domestic
771252,2005-07-01,1,microchips_domestic
866609,2005-07-01,1,microchips_domestic
1005356,2005-07-01,1,microchips_domestic
771252,2005-08-01,1,microchips_domestic
1005356,2005-08-01,1,microchips_domestic
356213,2005-09-01,1,microchips_domestic
771252,2005-09-01,1,microchips_domestic
912241,2005-09-01,1,microchips_domestic
924642,2005-09-01,1,microchips_domestic
1030339,2005-09-01,1,microchips_domestic
771252,2005-10-01,1,microchips_domestic
1023966,2005-10-01,1,microchips_domestic
1039065,2005-10-01,1,microchips_domestic
918580,2005-11-01,1,microchips_domestic
29002,2005-12-01,1,microchips_domestic
771252,2006-01-01,1,microchips_domestic
918580,2006-01-01,1,microchips_domestic
924642,2006-01-01,1,microchips_domestic
771252,2006-03-01,1,microchips_domestic
918580,2006-03-01,1,microchips_domestic
771252,2006-05-01,1,microchips_domestic
918580,2006-05-01,1,microchips_domestic
1058289,2006-05-01,1,microchips_domestic
1162862,2006-06-01,1,microchips_domestic
