filing_date,component,url,ownerOrg,name,cik
2025-03-05,microchips_intl,https://www.sec.gov/Archives/edgar/data/937966/000093796625000011/asmlpublishes2024annualrep.htm#:~:text=Microchips,Technology,ASML HOLDING NV,937966
2025-03-21,microchips_intl,https://www.sec.gov/Archives/edgar/data/1951222/000119380525000339/e664309_ex99-2.pdf#:~:text=Microchips,Manufacturing,SEALSQ Corp,1951222
2025-03-04,circuit-boards_domestic,https://www.sec.gov/Archives/edgar/data/1227636/000119312525044817/d894924dex991.htm#:~:text=Circuit%20boards,Industrial Applications and Services,"Neuronetics, Inc.",1227636
2025-03-11,circuit-boards_intl,https://www.sec.gov/Archives/edgar/data/1024672/000117891325000765/exhibit_99-1.htm#:~:text=Circuit%20boards,Manufacturing,ELTEK LTD,1024672
2025-03-13,circuit-boards_intl,https://www.sec.gov/Archives/edgar/data/1997403/000137647425000269/zt_ex99z3.htm#:~:text=Circuit%20boards,Technology,"ZenaTech, Inc.",1997403
2025-03-07,circuit-boards_intl,https://www.sec.gov/Archives/edgar/data/1000184/000110465925021471/tm251055d2_ex99-1.htm#:~:text=Circuit%20boards,Technology,SAP SE,1000184
2025-03-12,circuit-boards_intl,https://www.sec.gov/Archives/edgar/data/1290109/000119312525052422/d916698d6k.htm#:~:text=Circuit%20boards,Manufacturing,"LG Display Co., Ltd.",1290109
2025-03-05,capacitors_domestic,https://www.sec.gov/Archives/edgar/data/1160791/000155837025002270/goro-20250305xex96d1.htm#:~:text=Capacitors,Energy & Transportation,GOLD RESOURCE CORP,1160791
2025-03-27,transistors_intl,https://www.sec.gov/Archives/edgar/data/932787/000093278725000010/stm_arxmaster-dar2024sec.htm#:~:text=Transistors,Manufacturing,STMicroelectronics N.V.,932787
2025-03-05,transistors_intl,https://www.sec.gov/Archives/edgar/data/937966/000093796625000011/a2024annualreportbasedon.htm#:~:text=Transistors,Technology,ASML HOLDING NV,937966
2025-03-10,transistors_intl,https://www.sec.gov/Archives/edgar/data/1780652/000110465925022174/tm258715d1_ex10-1.htm#:~:text=Transistors,Crypto Assets,Canaan Inc.,1780652
