ownerOrg,period,count,component
Manufacturing,0,1,microchips_intl
Manufacturing,1,1,microchips_intl
Technology,1,2,microchips_intl
Industrial Applications and Services,1,3,circuit-boards_domestic
Life Sciences,1,1,circuit-boards_domestic
Manufacturing,1,2,circuit-boards_domestic
Energy & Transportation,1,1,circuit-boards_intl
Industrial Applications and Services,1,1,circuit-boards_intl
Life Sciences,1,1,circuit-boards_intl
Manufacturing,1,4,circuit-boards_intl
Technology,0,1,circuit-boards_intl
Technology,1,1,circuit-boards_intl
Energy & Transportation,1,1,capacitors_domestic
Manufacturing,1,1,capacitors_domestic
Manufacturing,1,1,resistors_domestic
Manufacturing,1,2,transistors_domestic
Crypto Assets,1,1,transistors_intl
Manufacturing,0,1,transistors_intl
Technology,1,1,transistors_intl
