cik,date,value,component
66895,2001-08-01,1,ammonium-nitrate_domestic
98410,2001-10-01,1,ammonium-nitrate_domestic
722079,2001-10-01,1,ammonium-nitrate_domestic
60714,2001-12-01,1,ammonium-nitrate_domestic
1053518,2001-12-01,1,ammonium-nitrate_domestic
46989,2002-02-01,1,ammonium-nitrate_domestic
60714,2002-12-01,1,ammonium-nitrate_domestic
855931,2003-02-01,1,ammonium-nitrate_domestic
722079,2003-04-01,1,ammonium-nitrate_domestic
855931,2003-04-01,1,ammonium-nitrate_domestic
66895,2003-05-01,1,ammonium-nitrate_domestic
34616,2003-06-01,1,ammonium-nitrate_domestic
722079,2003-07-01,1,ammonium-nitrate_domestic
855931,2003-07-01,1,ammonium-nitrate_domestic
879215,2003-07-01,1,ammonium-nitrate_domestic
1105055,2003-07-01,1,ammonium-nitrate_domestic
66895,2003-09-01,1,ammonium-nitrate_domestic
66895,2003-10-01,1,ammonium-nitrate_domestic
722079,2003-10-01,1,ammonium-nitrate_domestic
855931,2003-10-01,1,ammonium-nitrate_domestic
841555,2003-12-01,1,ammonium-nitrate_domestic
722079,2004-01-01,1,ammonium-nitrate_domestic
855931,2004-02-01,1,ammonium-nitrate_domestic
66895,2004-04-01,1,ammonium-nitrate_domestic
722079,2004-04-01,1,ammonium-nitrate_domestic
855931,2004-04-01,1,ammonium-nitrate_domestic
722079,2004-07-01,1,ammonium-nitrate_domestic
855931,2004-07-01,1,ammonium-nitrate_domestic
66895,2004-08-01,1,ammonium-nitrate_domestic
722079,2004-08-01,1,ammonium-nitrate_domestic
722079,2004-10-01,1,ammonium-nitrate_domestic
855931,2004-10-01,1,ammonium-nitrate_domestic
722079,2004-12-01,1,ammonium-nitrate_domestic
855931,2005-01-01,1,ammonium-nitrate_domestic
722079,2005-02-01,1,ammonium-nitrate_domestic
722079,2005-04-01,1,ammonium-nitrate_domestic
855931,2005-04-01,1,ammonium-nitrate_domestic
722079,2005-07-01,1,ammonium-nitrate_domestic
855931,2005-07-01,1,ammonium-nitrate_domestic
879575,2005-07-01,1,ammonium-nitrate_domestic
722079,2005-09-01,1,ammonium-nitrate_domestic
722079,2005-10-01,1,ammonium-nitrate_domestic
855931,2005-10-01,1,ammonium-nitrate_domestic
722079,2005-11-01,1,ammonium-nitrate_domestic
1324404,2005-11-01,1,ammonium-nitrate_domestic
855931,2006-01-01,1,ammonium-nitrate_domestic
722079,2006-02-01,1,ammonium-nitrate_domestic
722079,2006-04-01,1,ammonium-nitrate_domestic
855931,2006-04-01,1,ammonium-nitrate_domestic
868725,2006-04-01,1,ammonium-nitrate_domestic
60714,2006-05-01,1,ammonium-nitrate_domestic
722079,2006-07-01,1,ammonium-nitrate_domestic
855931,2006-07-01,1,ammonium-nitrate_domestic
60714,2006-08-01,1,ammonium-nitrate_domestic
722079,2006-10-01,1,ammonium-nitrate_domestic
855931,2006-10-01,1,ammonium-nitrate_domestic
1324404,2006-10-01,1,ammonium-nitrate_domestic
722079,2006-11-01,1,ammonium-nitrate_domestic
879575,2006-11-01,1,ammonium-nitrate_domestic
722079,2007-01-01,1,ammonium-nitrate_domestic
855931,2007-01-01,1,ammonium-nitrate_domestic
722079,2007-02-01,1,ammonium-nitrate_domestic
1324404,2007-02-01,1,ammonium-nitrate_domestic
722079,2007-04-01,1,ammonium-nitrate_domestic
855931,2007-04-01,1,ammonium-nitrate_domestic
60714,2007-06-01,1,ammonium-nitrate_domestic
722079,2007-07-01,1,ammonium-nitrate_domestic
855931,2007-07-01,1,ammonium-nitrate_domestic
1324404,2007-07-01,1,ammonium-nitrate_domestic
